,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.5161360514426931,34610D,276.79285,20.893473,-3.8737943,159.51233092112733,68966.54029289274,0.3756556444678446,0.883465294212954,67.78375185915527,89.974833647683,1763.7816224990522,0.0027841228375754,73058.20758235783,0.3980143490440171,0.5648645988262939,0.8798489412537782,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,24.0785612725642,3.5447465185497253,0.4782709720499853,44.98780651169835,17.12299465632683,28.5619137862283,1565988516203789.8,29.1229280919286,825.480650613389,1221.04045690511,0.278412283758,0.018460241519543,0.441732647106477,44.9874168238415,23.9288660789641,23.862430142245028,15.133339034383232,0.768005298026551,811427610779978.0,0.0016001385480391634,1.2297387950007964e-05,3.0968000000000004,35.8,2023-05-04 15:00:00,0.002784122837575402,0.3980147450975143,0.0,730.5820758235783,0,0.002784122837575402,20.893473,-3.8737943,0.3980147450975143,0.12757464,0.0,0.9195102914561463,0.0,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.533725457656686,244.81649983040603,0.4122266873445556,inf,0.0,235.9212114621113,0.0,0.0,0.0,0 days,0.0027293365,1.2176443e-07,26530.059,0.4052532,-223.20856,0.0,0.0,1.0,-8.720304261602486e-13,6.6485923e-12,2.203235e-16,0.0,0.0,0.0,7.48e-16,7.606362513923872e-14,5.7765616645680456e-12,1213.6694713050874,4.899680319457876e-13,1.2278787970156622e-13,1.0173852889558344e-13,0.0,0.0027293365,1.2176443e-07,26530.059,0.4052532,-223.20856,0.0,0.0,0.0,-8.720304261602486e-13,6.6485923e-12,2.203235e-16,0.0,0.0,0.0,7.48e-16,7.606362513923872e-14,5.7765616645680456e-12,1213.6694713050874,4.899680319457876e-13,1.2278787970156622e-13,1.0173852889558344e-13,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.5163785727941468,34610D,273.41742,23.82667,-2.4256516,173.83660902467773,68898.75654103358,0.3948519438957433,0.95366875472291,74.60565302432555,93.6756022926836,2124.169560766838,0.00225191231905,68339.94069049528,0.3960461122019104,0.6217137752027129,0.9972855803779844,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,25.22433077113089,3.72684663446633,0.5244274026202267,46.83795507386432,19.76962882819036,36.16549242133086,1451755697799525.0,30.9032814587136,842.105211316436,1245.75472254404,0.225191231905,0.0190025515891596,0.476834377361455,46.8378011463418,25.0931763097264,25.03679564119246,15.110668941898508,0.8274371692220693,861825315795575.6,0.001757109174528368,1.34340856206163e-05,3.0968000000000004,35.8,2023-05-04 15:01:00,0.0022519123190500603,0.39604602045286547,0.0,683.3994069049528,1,0.0022519123190500603,23.82667,-2.4256516,0.39604602045286547,0.120603986,0.0,0.8707447515746641,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.338101242216478,244.38567197423257,0.3970342529013173,inf,0.0,235.44243358729457,0.0,0.0,0.0,0 days,0.002203723,1.6295014e-07,31819.443,0.37931868,-224.29405,0.0,0.0,1.0000000000000002,-8.431692329840373e-13,5.967493e-12,2.2349825e-16,0.0,0.0,0.0,7.480000000000001e-16,6.75877068232402e-14,5.124323737538678e-12,1214.0410026760362,5.152097936180961e-13,1.3254506441521077e-13,1.0982305337260323e-13,0.0,0.002203723,1.6295014e-07,31819.443,0.37931868,-224.29405,0.0,0.0,0.0,-8.431692329840373e-13,5.967493e-12,2.2349825e-16,0.0,0.0,0.0,7.480000000000001e-16,6.75877068232402e-14,5.124323737538678e-12,1214.0410026760362,5.152097936180961e-13,1.3254506441521077e-13,1.0982305337260323e-13,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.5167381870726524,34610D,269.7392,26.242931,-3.6206615,186.71515768779912,68824.15088800926,0.4116382703571632,1.00679713667964,71.92590792731994,95.987358885761,2512.8477015842227,0.0011892917373908,62994.42896063308,0.2619376165589404,0.5993825660609995,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,25.81656840228188,3.8417818288536623,0.5671067043985448,47.993480303808354,19.852779271998955,36.28235538999999,1450000000000000.0,31.9861343053196,857.457403105986,1270.41441364214,0.118929173739,0.0196207545714279,0.50339856833982,47.9936794428805,25.6564326569213,25.625955919283754,15.110689250726836,0.8779034218225852,850697875295851.5,0.0019247686459753788,1.4586434151652355e-05,3.0968000000000004,35.8,2023-05-04 15:02:00,0.0011892917373908397,0.2619374211009395,0.0,629.9442896063307,2,0.0011892917373908397,26.242931,-3.6206615,0.2619374211009395,0.113817036,1.2376572e-09,0.8135804930641373,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.05631486446562,243.73979466771002,0.25338385717314665,inf,0.0,234.12691983158027,0.0,0.0,0.0,0 days,0.0011576604,2.4176245e-07,38196.9,0.24931017,-225.54108,0.0,0.0,1.0000000000000002,-8.083509095574287e-13,5.2572113e-12,2.2957335e-16,0.0,0.0,0.0,7.48e-16,5.881276048168172e-14,4.448860547707497e-12,1214.4825591321387,5.17273881566589e-13,1.399290798543836e-13,1.1594123759363213e-13,0.0,0.0011576604,2.4176245e-07,38196.9,0.24931017,-225.54108,0.0,0.0,0.0,-8.083509095574287e-13,5.2572113e-12,2.2957335e-16,0.0,0.0,0.0,7.48e-16,5.881276048168172e-14,4.448860547707497e-12,1214.4825591321387,5.17273881566589e-13,1.399290798543836e-13,1.1594123759363213e-13,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.5171189678384379,34610D,265.2603,26.90182,-7.545258,196.912775653878,68752.22498008194,0.42026997772939834,0.79992641495686,63.824887146727576,73.831282527761,1309.6690743242534,0.0014361603141154,57124.037489563314,0.4214324925768711,0.5318740595560632,0.9260074362888032,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,22.23389666019858,3.303153059018267,0.6031078352829355,36.91518549437812,17.6536248105361,33.59290137848858,1490405173201639.5,26.809402118894,827.553513283316,1212.33257577901,0.143616031412,0.0181148700703583,0.39996320747843,36.9156412638805,22.0792755302671,22.04761162542963,15.125524798383935,0.7754693268960657,685342204143767.9,0.0016143223048613502,1.0426740857043392e-05,3.0968000000000004,35.8,2023-05-04 15:03:00,0.0014361603141154037,0.42143304176898677,0.0,571.2403748956332,3,0.0014361603141154037,26.90182,-7.545258,0.42143304176898677,0.107313864,2.1566441e-08,0.750220777486204,0.0,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.6543802311399,242.76096976986665,0.3902458965940943,inf,0.0,233.91904443423545,0.0,0.0,0.0,0 days,0.0014187375,3.0876456e-07,45733.066,0.42828533,-227.71501,0.0,0.0,0.9999999999999999,-7.671667747887405e-13,4.4894544e-12,2.347381e-16,0.0,0.0,0.0,7.479999999999999e-16,4.937247576841044e-14,3.722287512426301e-12,1214.9371265665318,2.884041140812437e-13,1.1117728002810759e-13,9.211831773757487e-14,0.0,0.0014187375,3.0876456e-07,45733.066,0.42828533,-227.71501,0.0,0.0,0.0,-7.671667747887405e-13,4.4894544e-12,2.347381e-16,0.0,0.0,0.0,7.479999999999999e-16,4.937247576841044e-14,3.722287512426301e-12,1214.9371265665318,2.884041140812437e-13,1.1117728002810759e-13,9.211831773757487e-14,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.5175397217855142,34610D,262.9615,26.855165,-8.811441,207.7184597680489,68688.4000929352,0.42713673339483155,0.713157785751884,57.36639139044459,63.4181191603032,1310.6965099060546,0.0016343611197208,54249.21360051817,0.5577569573159871,0.4780532615870382,0.8554858202146784,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.66072428229964,3.0653415578726824,0.6389785017555011,31.708983378006725,15.83145052596838,29.203197286147528,1556354155186763.5,24.5874743888085,815.223481818053,1185.52661007548,0.163436111972,0.0173899680133787,0.356578892875942,31.7090595801516,20.5048619181826,20.471404251008664,15.137208894177029,0.7318235858189872,584230039944938.2,0.0015001885888364505,8.676082413136079e-06,3.0968000000000004,35.8,2023-05-04 15:04:00,0.0016343611197208797,0.5577565394219558,0.0,542.4921360051817,4,0.0016343611197208797,26.855165,-8.811441,0.5577565394219558,0.102833636,9.159594e-09,0.7186935171535938,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.47389075615128,242.29682888328725,0.5049875646267833,inf,0.0,234.15661939434244,0.0,0.0,0.0,0 days,0.0016485238,2.7005115e-07,49644.52,0.5482906,-229.99968,0.0,0.0,1.0,-7.458281269085037e-13,4.1264674e-12,2.3175396e-16,0.0,0.0,0.0,7.48e-16,4.492806685006913e-14,3.380639454221027e-12,1215.4170206912313,2.1701092174542093e-13,9.91177955475296e-14,8.21261734536674e-14,0.0,0.0016485238,2.7005115e-07,49644.52,0.5482906,-229.99968,0.0,0.0,0.0,-7.458281269085037e-13,4.1264674e-12,2.3175396e-16,0.0,0.0,0.0,7.48e-16,4.492806685006913e-14,3.380639454221027e-12,1215.4170206912313,2.1701092174542093e-13,9.91177955475296e-14,8.21261734536674e-14,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.5180696454191921,34610D,260.4812,26.772827,-9.477871,209.4141190708588,68631.03370154476,0.430495902723135,0.683592877773404,55.15599528367236,60.7710155340816,1952.9782330452103,0.0012762476376307,51492.67974234382,0.5165164036998183,0.459633294030603,0.8376848614939987,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.970680940914782,2.970114606764497,0.6472543475235131,30.38587141178133,15.523788389649589,29.00308832232115,1559360504173583.5,23.690909574651,811.25936919988,1178.87545517306,0.127624763763,0.017252623787771,0.341796438886702,30.3855077670408,19.8112729455664,19.78602108290124,15.13880156540523,0.7181239298648707,561468000559915.25,0.001467647788872976,8.26782490572143e-06,3.0968000000000004,35.8,2023-05-04 15:05:00,0.001276247637630765,0.5165165769168447,0.0,514.9267974234381,5,0.001276247637630765,26.772827,-9.477871,0.5165165769168447,0.100208625,1.7936119e-09,0.6886706246501367,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.270291900321526,241.75291127526842,0.45640486401326286,inf,0.0,233.36403089349307,0.0,0.0,0.0,0 days,0.0012622015,2.6960805e-07,53615.637,0.48844445,-232.768,0.0,0.0,1.0,-7.241603985226695e-13,3.7812275e-12,2.3171979e-16,0.0,0.0,0.0,7.48e-16,4.0721591648554256e-14,3.0570670662103646e-12,1215.960755912362,1.8402447637341425e-13,9.500873502412388e-14,7.872152330570265e-14,0.0,0.0012622015,2.6960805e-07,53615.637,0.48844445,-232.768,0.0,0.0,0.0,-7.241603985226695e-13,3.7812275e-12,2.3171979e-16,0.0,0.0,0.0,7.48e-16,4.0721591648554256e-14,3.0570670662103646e-12,1215.960755912362,1.8402447637341425e-13,9.500873502412388e-14,7.872152330570265e-14,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.5188857240893362,34610D,256.43777,25.977953,-11.896204,200.21633950723697,68575.87770626109,0.4302391300082967,0.686407307641354,55.41146562416973,63.7864143315474,1514.9470296503898,0.0008373352079846,47596.28928252322,0.4545247180523076,0.4617622135347477,0.8527848978653059,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.59142759008264,2.9223095464165385,0.6236855864356111,31.89340935418389,15.61366793148066,32.7232748486001,1503470059386898.5,23.3732814831665,811.763480732319,1189.01847647191,0.0837335207985,0.0176496170703743,0.343203653820677,31.8932071657737,19.445388104015,19.429119418265945,15.124608423596069,0.7198621710123857,580363926026871.8,0.001480557377140299,8.555470109286452e-06,3.0968000000000004,35.8,2023-05-04 15:06:00,0.0008373352079846057,0.45452512903666864,0.0,475.96289282523225,6,0.0008373352079846057,25.977953,-11.896204,0.45452512903666864,0.10242821,5.573147e-11,0.6465968025181628,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.943893064040062,240.83101042746748,0.38596228104899316,inf,0.0,232.1293801662018,0.0,0.0,0.0,0 days,0.0008169145,2.43419e-07,59517.234,0.42197075,-235.18434,0.0,0.0,0.9999999999999999,-6.919272637318103e-13,3.2913028e-12,2.2970104e-16,0.0,0.0,0.0,7.48e-16,3.4769582849145705e-14,2.599375522708841e-12,1216.7443803912029,1.5849932479606135e-13,9.539989682563212e-14,7.904562879838091e-14,0.0,0.0008169145,2.43419e-07,59517.234,0.42197075,-235.18434,0.0,0.0,0.0,-6.919272637318103e-13,3.2913028e-12,2.2970104e-16,0.0,0.0,0.0,7.48e-16,3.4769582849145705e-14,2.599375522708841e-12,1216.7443803912029,1.5849932479606135e-13,9.539989682563212e-14,7.904562879838091e-14,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.520040743865111,34610D,253.21094,24.925848,-14.074659,201.03479365181613,68520.46624063692,0.42752134057608465,0.552974421578392,44.85405620854246,50.8542805089378,769.6379219367504,0.0005422742713156,44739.09919617161,0.3756175417950081,0.3737838017378538,0.7010356300781293,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.003017001198007,2.541232251525209,0.6302128216157624,25.426544751011217,14.180133092619789,24.652434154578668,1522327111962233.8,19.757374779124,782.979542104657,1136.87576730632,0.0542274271316,0.0164130700327151,0.276487210789196,25.4271402544689,16.8455511514964,16.836421193462154,15.147887904763286,0.6219391315206998,439553981143389.44,0.0012879208276284058,6.001421442577296e-06,3.0968000000000004,35.8,2023-05-04 15:07:00,0.0005422742713156294,0.3756175575456562,0.0,447.3909919617161,7,0.0005422742713156294,24.925848,-14.074659,0.3756175575456562,0.10530819,1.4365195e-10,0.6155271571386111,0.0,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.688604775564475,240.06160565995478,0.30896433266702533,inf,0.0,231.03964652933135,0.0,0.0,0.0,0 days,0.0005315455,2.0444588e-07,64027.89,0.37078738,-236.06808,0.0,0.0,1.0,-6.673370673206988e-13,2.9372338e-12,2.2669688e-16,0.0,0.0,0.0,7.48e-16,3.048335463784802e-14,2.269896751407687e-12,1217.8330982973544,9.699549487365987e-14,7.685480935082913e-14,6.367969917640129e-14,0.0,0.0005315455,2.0444588e-07,64027.89,0.37078738,-236.06808,0.0,0.0,0.0,-6.673370673206988e-13,2.9372338e-12,2.2669688e-16,0.0,0.0,0.0,7.48e-16,3.048335463784802e-14,2.269896751407687e-12,1217.8330982973544,9.699549487365987e-14,7.685480935082913e-14,6.367969917640129e-14,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.52127242928564,34610D,251.46817,24.814825,-15.080225,202.16132462701268,68475.61218442838,0.4331038315793951,0.900425978732262,63.5384902660666,83.421475936602,2663.997612053356,0.0004937330761152,43340.512388800154,0.3920552885944042,0.5294874188838883,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,22.078057848146187,3.300808009805912,0.6359365215086201,41.71047307462268,18.66351277588301,36.28235539,1450000000000000.0,27.683409376906,864.092557751298,1296.52145713457,0.0493733076115,0.0205271687283401,0.450212989366131,41.710737968301,21.9325419557038,21.921718478205825,15.10662355506596,0.8985728066530644,722067799700348.6,0.0019235836086994485,1.3160220658936977e-05,3.0968000000000004,35.8,2023-05-04 15:08:00,0.0004937330761152776,0.39205570023397335,0.0,433.4051238880015,8,0.0004937330761152776,24.814825,-15.080225,0.39205570023397335,0.10760465,7.486717e-10,0.6004176756000379,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.608332374517782,239.80992231085153,0.3169811251793193,inf,0.0,230.84826593849357,0.0,0.0,0.0,0 days,0.00048299733,1.866697e-07,66439.695,0.397015,-236.88417,0.0,0.0,1.0,-6.54249122910511e-13,2.7827335e-12,2.2532662e-16,0.0,0.0,0.0,7.480000000000001e-16,2.864362343461737e-14,2.128484370317261e-12,1218.9833320716245,2.2119779842464573e-13,1.2514514999170058e-13,1.0369169570740906e-13,0.0,0.00048299733,1.866697e-07,66439.695,0.397015,-236.88417,0.0,0.0,0.0,-6.54249122910511e-13,2.7827335e-12,2.2532662e-16,0.0,0.0,0.0,7.480000000000001e-16,2.864362343461737e-14,2.128484370317261e-12,1218.9833320716245,2.2119779842464573e-13,1.2514514999170058e-13,1.0369169570740906e-13,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.522482414806489,34610D,245.6387,26.475786,-18.505022,204.01964015825544,68412.07369416232,0.4332567041675754,0.860106483093614,61.91195146838818,78.9880581215164,2427.8603778261468,0.0004458572898947,38763.39764052093,0.5658864582547842,0.5159329289032348,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.84104694078512,3.1168649084101805,0.6493529184248923,39.49480040608567,18.343190696326097,36.28235538999999,1450000000000000.0,26.1934881845709,864.73061323878,1303.13253005648,0.0445857289895,0.020786889102776,0.430053241546807,39.4940290607582,20.688677339861,20.679457253093645,15.116861902697549,0.9005537246936288,686817130534101.5,0.0018959175084929784,1.2589835223971471e-05,3.0968000000000004,35.8,2023-05-04 15:09:00,0.00044585728989473113,0.5658864418295494,0.0,387.6339764052093,9,0.00044585728989473113,26.475786,-18.505022,0.5658864418295494,0.10895843,4.2286039e-10,0.5497528567124883,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.228000051332508,238.5455608746237,0.43188564143968505,inf,0.0,230.27757577448097,0.0,0.0,0.0,0 days,0.00042882617,2.0262264e-07,74451.71,0.55833393,-237.52242,0.0,0.0,1.0,-6.103545099029376e-13,2.3081743e-12,2.2655633e-16,0.0,0.0,0.0,7.48e-16,2.3046212935076953e-14,1.697819739052432e-12,1220.1247950577167,1.661171560209783e-13,1.195413697271724e-13,9.904856348822857e-14,0.0,0.00042882617,2.0262264e-07,74451.71,0.55833393,-237.52242,0.0,0.0,0.0,-6.103545099029376e-13,2.3081743e-12,2.2655633e-16,0.0,0.0,0.0,7.48e-16,2.3046212935076953e-14,1.697819739052432e-12,1220.1247950577167,1.661171560209783e-13,1.195413697271724e-13,9.904856348822857e-14,0.0
