,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
11,13,3c49c8,EWG1VT,52.06219482421875,7.594757080078125,202.691110936,7383.780000000001,-0.3207957947827431,34610D,240.60155,2.0648255,10.478039,191.74431979876664,66047.36675212446,0.3184844683706748,0.683946697896407,41.03680187378443,48996.77165027994,1051.322776689821,2023-08-05 22:13:00,4.190480237048047e-05,0.3888969949636692,0.0901450428084658,0.3419733489482035,0.6056127507018142,0.0135836396686059,0.0004617839004333,9.511635011190388e-05,2.4428968854775095e-05,1511779492835311.8,129.635257119285,50.76252391787134,0.0492441622485413,0.0010049829030314,0.0008207360374756,0.5574291298054614,0.0189501344305859,0.0039032708144997,0.0010024867548742,6.203859552433299e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,12.412845604042635,0.9304432624613048,0.6166383382127588,24.49838582513997,13.583639668605958,24.428968854775096,1511779492835311.8,17.830204363871,773.332082248951,1378.45443295642,0.00419048023705,0.0220138888344122,0.273871100279522,24.4985616992477,12.4408323463233,12.440311037547843,7.48345092358934,0.5877774088304459,3.6971048382997798,550631225525438.6,7.577687643327673,16.088649021441945,1047515008549774.2
12,14,3c49c8,EWG1VT,52.15414790783898,7.687683105468751,208.34999982,7703.820000000001,-0.3206102576961345,34610D,238.23152,0.46524945,14.260676,189.13265285646725,66006.32995025069,0.3187968866317646,0.7099415865273637,42.59649519164182,51611.87444782137,1250.4189078881957,2023-08-05 22:14:00,3.752743478344247e-05,0.3715147479473951,0.0994599653382906,0.3549707932636818,0.6329116456338899,0.0137582869665266,0.0004682816961725,9.710760859454203e-05,2.7030430655587347e-05,1588996844616946.5,134.5623283103965,52.691864552060935,0.0511157942299701,0.001043179474081,0.0008519299038328,0.5860548046148824,0.0199471590193485,0.0041364437825692,0.0011514016094487,6.768569645125979e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,11.537815545331927,0.8649031812794737,0.6112573725742121,25.80593722391069,13.758286966526686,27.03043065558735,1588996844616946.5,18.1469904496387,777.055136630942,1407.76177363097,0.00375274347834,0.0226177415922467,0.285239318890812,25.8068085025445,12.6113085927461,12.610835340445297,6.862165829767468,0.6001751070928218,4.2125146382491305,593059256598139.4,8.276103350942853,15.066543718884942,992707509282501.2
13,15,3c49c8,EWG1VT,52.266998291015625,7.692794799804687,210.407777596,8084.820000000001,-0.3197672085276434,34610D,235.60104,-0.51086783,18.506573,185.8863145056196,65963.73345505905,0.3167620324948643,0.7136884186074158,42.82130511644495,52453.420205471055,1552.3284507785097,2023-08-05 22:15:00,3.456637151965988e-05,0.3516474379666741,0.1156926720411978,0.3568442093037079,0.6433088455313558,0.0137255749130378,0.0004774638392159,9.925885672677346e-05,2.9562911007034274e-05,1550949974586082.0,135.2725028628496,52.9699544290424,0.0513855661397339,0.0010486850232598,0.0008564261023288,0.5877470312498153,0.0204456247411355,0.0042503937894066,0.0012659224323625,6.641370208209315e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,11.020883093256426,0.8261852800547557,0.6041100029039683,26.226710102735527,13.725574913037832,29.56291100703428,1550949974586082.0,17.954074988036,777.736400187157,1422.09787416087,0.00345663715197,0.0229930725180749,0.28605323789322,26.2261694615327,12.4408444181766,12.440414398190654,6.644596181305068,0.6022136318899347,4.3822229494955796,607597346481825.5,8.49769026276405,13.891123409190925,929522576542882.1
14,16,3c49c8,EWG1VT,52.379227977688025,7.700788225446429,206.806666488,8557.26,-0.3189270780478882,34610D,233.22865,-1.3218374,26.094044,178.5047560484062,65920.9121499426,0.3127041668743172,0.6553033562086915,39.31820137252149,49511.45930026152,1332.770206510993,2023-08-05 22:16:00,3.296603658424656e-05,0.3282158172593669,0.1343143786195242,0.3276516781043457,0.6059388618932208,0.0131196494740563,0.0004954306219543,0.0001020551691068,2.856564867369187e-05,1565932404898592.2,124.2061981357954,48.63661509780909,0.0471818416470257,0.0009628947274903,0.0007863640274504,0.5158410199578422,0.019479440960113,0.0040126256900504,0.0011231499268889,6.156964563155971e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,10.748782585358937,0.8058043491419752,0.5830637698235336,24.75572965013076,13.119649474056322,28.565648673691868,1565932404898592.2,16.6149199327519,768.795218726175,1401.69490448714,0.00329660365842,0.0226901359088463,0.262286035937727,24.7557841034481,11.5594739930785,11.559092935597903,6.974469459794773,0.5726279178788697,3.9447061805814116,551650251884636.06,7.453509250867783,12.301006247024672,844912348603533.2
15,17,3c49c8,EWG1VT,52.49025506488347,7.711225237165179,204.234444268,8961.12,-0.3180971060344335,34610D,231.91371,-3.1665564,34.107197,171.17595039047427,65881.59394857008,0.3064789064712587,0.6346460052985823,38.07876031791493,49008.21114038429,1087.3267651639085,2023-08-05 22:17:00,3.1554215096109825e-05,0.3092029281591529,0.1406524889576383,0.3173230026492911,0.6065716394317082,0.0128519970713107,0.0005167898885021,0.0001064720271472,3.0064300648239823e-05,1543417317322672.2,120.29080384429328,47.10342651326078,0.0456945123814979,0.0009325410690101,0.0007615752063582,0.4893881160849875,0.0196787182989938,0.0040543228023026,0.00114481129851,5.87714180968493e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,11.833288650516527,0.8871232586533667,0.5607080039952714,24.504105570192145,12.851997071310771,30.06430064823983,1543417317322672.2,15.9647668692892,769.020825978349,1386.6036256056,0.00315542150961,0.0227746666995208,0.251184616642404,24.5035769544248,11.0291237169977,11.028775712636616,8.046870170708049,0.5733750413074634,3.1925819660963164,527027836937578.94,7.127549495788569,10.977680252693254,774393092889790.0
16,18,3c49c8,EWG1VT,52.59853557004767,7.739161900111608,202.691110936,9288.78,-0.3173516659946527,34610D,231.00998,-6.102321,38.245434,166.26208443872312,65843.51518825216,0.2995443006258939,0.6370964814207011,38.22578888524207,49505.392083776846,889.1781640807953,2023-08-05 22:18:00,3.010008754907724e-05,0.2944415627541902,0.1417356242289296,0.3185482407103505,0.6279313799004999,0.0128130963194553,0.0005362751857662,0.0001110730877357,3.284304378999096e-05,1501670703532378.8,120.75526708847968,47.28530085104444,0.0458709466622904,0.0009361417686181,0.0007645157777048,0.4897907148737739,0.0204995420354941,0.0042458564026205,0.0012554512582649,5.740254728838164e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,10.778681589175273,0.8080766799286477,0.5456762603276235,24.752696041888424,12.81309631945539,32.84304378999096,1501670703532378.8,15.6315507346914,771.905389835132,1412.21861909694,0.00301000875491,0.0233288080251284,0.251028665616185,24.7521518274505,10.7604582859867,10.76013440499907,7.512922520193631,0.582979534903981,3.5241213111445893,536587226634469.7,7.342806725659089,10.026280848189625,723112474867500.6
17,19,3c49c8,EWG1VT,52.706451416015625,7.7671051025390625,203.719999824,9555.48,-0.3165933084528381,34610D,230.15572,-8.177645,39.683567,164.10492271537416,65805.28939936691,0.259577958359543,0.8907092123484488,53.442552740906926,60766.13380685834,1276.8565847537598,2023-08-05 22:19:00,2.801257818202072e-05,0.28285243706121,0.139877850357014,0.4453546061742244,0.899900907627578,0.015483929428628,0.0005519071298638,0.0001196965741274,3.628235539e-05,1450000000000000.0,168.82502410852496,66.10843774050187,0.0641310632890883,0.0013087972099813,0.0010688510548181,0.827500715125937,0.0294953258958326,0.0063968904757094,0.0019390216914944,7.749170147431504e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,10.581862539561516,0.7933432652154128,0.5395950017216599,30.38306690342917,15.48392942862808,36.28235539,1450000000000000.0,17.9157172048188,815.086106742536,1544.33559506166,0.0028012578182,0.0265940722789476,0.315096816781158,30.3823576518027,11.8483853648317,11.848053470307558,6.698781042207365,0.7332717805212943,4.693173881911934,731315060611899.1,11.358535215341274,9.378487801072712,687505653797754.5
18,20,3c49c8,EWG1VT,52.8138427734375,7.795257568359375,199.604444272,9936.48,-0.3158252981255691,34610D,229.10637,-9.102221,38.702667,164.38330533384675,65751.84684662601,0.2758953929252685,0.737271813460475,44.2363088076285,53369.58534473942,821.9677435054807,2023-08-05 22:20:00,2.3888727011577532e-05,0.2669398306230875,0.1272343720405485,0.3686359067302375,0.7760568697828248,0.0135821878928779,0.0005767217178743,0.0001233845407989,3.628235539e-05,1450000000000000.0,139.74249952329842,54.720313995036456,0.0530835705691541,0.0010833381748806,0.0008847261761525,0.6008258579125804,0.0255120400079555,0.0054580766488717,0.0016049974773001,6.414264777106132e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,10.229181457138342,0.7669442471619942,0.5417467558810534,26.68479267236971,13.582187892877911,36.28235538999999,1450000000000000.0,16.0647432805776,795.646520119973,1489.34594801574,0.00238887270116,0.025323280033177,0.273216767890848,26.6847753842225,10.789153993199,10.788896260201483,7.111033062664585,0.6605928113082669,4.011992458423871,617161918519928.0,9.114200836717592,8.638662816619531,645647623485532.0
19,21,3c49c8,EWG1VT,52.91965290651483,7.823285784040179,199.604444272,10180.32,-0.3150632446942072,34610D,228.66885,-7.56504,36.85423,165.683857691846,65707.61053781839,0.2716058318781341,0.7472609078899674,44.83565447339805,52833.64993347231,749.0971059901291,2023-08-05 22:21:00,2.1471725543103795e-05,0.2571419779246873,0.1159703493641913,0.3736304539449837,0.811481338121283,0.0136373143145348,0.0005953769529585,0.0001282485304329,3.628235539e-05,1450000000000000.0,141.6358324814644,55.46170458359339,0.0538027853680776,0.0010980160279199,0.0008967130894679,0.611437912551609,0.0266941153442735,0.005750106797214,0.001626743149747,6.501169898642717e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,9.242186297183023,0.6929655266011353,0.5465550531030142,26.416824966736154,13.637314314534835,36.28235539,1450000000000000.0,15.8315912199516,800.940971937685,1517.77236011416,0.00214717255431,0.0258660401474788,0.274066724627079,26.4165638992523,10.5956197030721,10.595392201718722,6.54240083573373,0.6797264848202063,4.507755203939766,620856698161335.9,9.305661114886592,8.226824345059256,621875242684681.6
20,22,3c49c8,EWG1VT,53.0255126953125,7.851409912109375,199.089999828,10401.3,-0.3142824241208666,34610D,228.55882,-5.0715394,34.39087,167.70075713041294,65662.77488334499,0.2748315661367687,0.716944028487362,43.016641709241725,50675.2966041953,623.7705884524703,2023-08-05 22:22:00,1.9468752029839027e-05,0.2485161635473102,0.1029492582158326,0.358472014243681,0.8053116194219525,0.0133676021013181,0.000615484322615,0.0001324250783587,3.628235539e-05,1450000000000000.0,135.8895711594946,53.21158579433202,0.05161997005109,0.0010534687765528,0.0008603328341848,0.5750293501041079,0.0264760685835863,0.0056964821490787,0.001560745082179,6.23741304784005e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,9.436775483627128,0.7075744390301827,0.5533415020192256,25.337648302097648,13.367602101318113,36.28235539,1450000000000000.0,15.3164661356224,800.639004742698,1508.13443037646,0.00194687520298,0.0257641518885692,0.263825634449753,25.3371649717954,10.2400279112935,10.239828554610543,6.911969198883326,0.678613750448219,4.156214399409203,588813018616621.2,8.818072673569898,7.893744012230952,602298986205599.2
21,23,3c49c8,EWG1VT,53.13166809082031,7.879943847656251,200.118888716,10584.18,-0.31347997824197,34610D,228.76315,-2.5338542,32.093567,170.03301215810262,65619.75824163575,0.2967861948895526,0.5739530508087151,34.437183048522904,43208.209905750766,287.189085888271,2023-08-05 22:23:00,1.7647536089514315e-05,0.2415561047700016,0.0885510290897077,0.2869765254043575,0.6666331029509334,0.0120921457397613,0.0006354494576618,0.0001328239301952,3.628235539e-05,1450000000000000.0,108.78706125028384,42.59879543102284,0.0413246196582274,0.0008433595848617,0.0006887436609704,0.4164194362895765,0.0218830892915865,0.0045740819973584,0.0012494621139969,4.993391542035821e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,9.62224536589197,0.721498593519541,0.5607863493487492,21.60410495287538,12.092145739761309,36.28235539,1450000000000000.0,13.589847920683,779.254803743398,1433.19745143209,0.00176475360895,0.0240997301083981,0.222889071048014,21.6034955375062,9.24861274568145,9.248449533334538,7.8030571855892115,0.6067571059583541,3.250041577693912,466609844938227.7,6.557462054338555,7.646753736346484,587503598481091.4
22,24,3c49c8,EWG1VT,53.238046937069655,7.90817709530101,201.662222048,10668.0,-0.3126548742367221,34610D,228.81871,-1.4130434,31.363396,171.59444861315998,65585.32105858721,0.2913889086263174,0.6130049079792073,36.78029447875244,44896.57310251696,340.53325090383333,2023-08-05 22:24:00,1.6868391444426408e-05,0.238419280160665,0.0829985858542423,0.3065024539896036,0.7228513332102389,0.0124490012518446,0.0006444943865716,0.0001363937007825,3.628235539e-05,1450000000000000.0,116.18895025837897,45.49722427021677,0.0441363533745029,0.0009007419056021,0.000735605889575,0.4578779320092032,0.0237046933280073,0.0050166004798281,0.0013344757156269,5.333142699419103e+16,climb,7.5,GTF2035_wi,0,43031,1.237,3.16,3.16,9.57617705892234,0.7180517447160045,0.5658673830362395,22.44828655125848,12.449001251844628,36.28235539,1450000000000000.0,13.9961457466045,789.025452833814,1461.46987157149,0.00168683914444,0.0247753408726162,0.233991981814709,22.4478136310565,9.44455146017131,9.444392148467596,7.6046297647250185,0.6370740392669492,3.4596201774875284,500597111077193.56,7.24578728813489,7.555776334191672,581801733475692.5
