Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,2,461f63,FIN43D,60.37413024902344,25.075630977235992,118.32222212,845.82,0.1724720242888172,34610D,276.97778,-2.438152,4.0086255,115.61686911869604,67815.4314383453,0.2068074319737681,1.73504426527457,81.57249220984536,133.54786062179,2597.036443480348,0.0055725599110266,91568.03740577507,0.9837992142278528,0.679770768415378,0.5856791239573969,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.3465420529451772,66.77361654852427,18.121596572039863,134.13699142759435,1886995480479202.8,22.8715566378429,744.260791355062,1426.77706467896,0.557255991103,0.019925501183473,0.867522132637285,66.773930310895,43.5382841640562,43.29700898750507,0.55725599110266,0.7690842487613448,1338436907460883.2,0.0218574787251308,4.662892676622336e-05,3.16,35.8,2023-11-06 08:02:00,0.0055725599110266,0.9838003833760453,0.0,0,915.6803740577508,0.0055725599110266,-2.438152,4.0086255,0.9838003833760453,4.0805106,0.0,1.1517054573224323,239.0634636013836,6727.090235406854,0.9159880604940928,0.4012055246781505,5.370259499693354,244.45744686069548,1.0207452157100134,inf,0.0,244.45744686069548,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005448974,4.1874864e-07,6283.278,0.9950118,-171.43297,0.0,0.0,1.0,-6.779770390801213e-13,7.793256e-12,2.4321603e-16,0.0,-0.0,0.0,7.480000000000003e-16,9.348983699088739e-14,7.115278534823061e-12,329.9723761010814,6.727090235406854,1.619025837511299e-11,0.005448974,4.1874864e-07,6283.278,0.9950118,-171.43297,0.0,0.0,0.0,-6.779770390801213e-13,7.793256e-12,2.4321603e-16,0.0,-0.0,0.0,7.480000000000003e-16,9.348983699088739e-14,7.115278534823061e-12,329.9723761010814,6.727090235406854,0.0
1,1,3,461f63,FIN43D,60.429134045617054,25.12445722307477,130.668888776,1653.5400000000002,0.1728921517160124,34610D,271.883,-3.2284892,3.922025,137.34339973920345,67733.85894613546,0.2271515437847723,1.302806488571324,63.19277741840045,92.719109287429,1496.978553444714,0.0042987801956661,82974.78838491326,1.0420458596309872,0.5266064784866704,0.4715272856811202,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4155028203384092,46.35976257721676,15.40048026100638,88.84533375419227,1831833166701055.5,18.1486963907745,705.129117544531,1340.78045525137,0.429878019567,0.0182068977821356,0.651403244285662,46.3595546437145,35.777827287239,35.62468459860964,0.42987801956661,0.6130664226474053,999212095216213.0,0.0172822515451528,3.023634594276933e-05,3.16,35.8,2023-11-06 08:03:00,0.0042987807381902,1.042046198244789,1.0,1,829.7478838491327,0.0042987807381902,-3.2284892,3.922025,1.042046198244789,4.073044,9.599654e-06,1.0631793895462245,239.64588660322408,8544.990800005955,0.7447234338120295,-0.6673732142746063,4.98892156844153,243.58060190433895,1.0292293259504468,inf,0.0,243.58060190433895,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.004137965,9.2283886e-07,14073.553,0.9908409,-171.85338,0.0,0.0,1.0,-6.594190876165428e-13,6.6462487e-12,2.8207298e-16,0.0,-0.0,0.0,7.479999999999999e-16,7.88588586859078e-14,5.986829668510316e-12,328.7057876800056,8.544990800005955,8.087762461883408e-12,0.004137965,9.2283886e-07,14073.553,0.9908409,-171.85338,0.0,0.0,0.0,-6.594190876165428e-13,6.6462487e-12,2.8207298e-16,0.0,-0.0,0.0,7.479999999999999e-16,7.88588586859078e-14,5.986829668510316e-12,328.7057876800056,8.544990800005955,0.0
2,2,4,461f63,FIN43D,60.486236572265625,25.02050991716056,151.76111098,2118.36,0.1726363606547762,34610D,269.76083,-3.8618634,2.7357926,157.1709144337348,67670.66616871706,0.2452335107561515,1.245668068752592,62.94983104110841,83.6356441916638,1501.3910994416542,0.00383268514312,78333.6820030578,1.0477664360203152,0.5245819253425701,0.4883106711107555,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.4773533291023007,41.81785319198092,15.702438471782385,88.6719314315679,1736880097813692.8,17.4995375235847,704.041526279347,1333.51808405721,0.383268514312,0.0179980713721976,0.622834034376296,41.8178220958319,34.6055986497761,34.473472683191474,0.3832685143119999,0.6089938646258991,930931512645429.4,0.0171521917732194,2.802941291434012e-05,3.16,35.8,2023-11-06 08:04:00,0.0038326898273386,1.0477697332024898,1.0,2,783.336820030578,0.0038326898273386,-3.8618634,2.7357926,1.0477697332024898,3.5843616,1.4429837e-05,1.0116076391323678,239.2914187742481,10590.383165001072,0.5754203859833056,-0.8178577990059297,4.82077441860634,243.17494170495377,1.0137680906466098,inf,0.0,243.17494170495377,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003681442,8.3937067e-07,18563.035,0.98139805,-174.43814,0.0,0.0,1.0000000000000002,-6.48579821543212e-13,6.146038e-12,2.75639e-16,0.0,-0.0,0.0,7.48e-16,7.249059482881481e-14,5.497458140816802e-12,327.3908711915746,10.590383165001072,7.047500856054779e-12,0.003681442,8.3937067e-07,18563.035,0.98139805,-174.43814,0.0,0.0,0.0,-6.48579821543212e-13,6.146038e-12,2.75639e-16,0.0,-0.0,0.0,7.48e-16,7.249059482881481e-14,5.497458140816802e-12,327.3908711915746,10.590383165001072,0.0
3,3,5,,,60.54089218520622,24.86228326150616,156.5968887536,2583.378890701468,0.172189639286382,34610D,267.29932,-4.370934,2.2821069,171.28887264603668,67607.71633767594,0.2587992345241344,1.288944058940296,66.47057452385964,83.8010276288872,1645.4162407863723,0.0032769570329425,73903.20336720873,1.0424766515297292,0.553921454365497,0.5326233954590834,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5226216794068254,41.90098515369637,16.723777734119246,96.85104822141348,1599179503672640.0,17.7624477497093,712.729111881767,1357.76819449153,0.327695703294,0.0185216386691717,0.644472029470148,41.9005138144436,34.795626941089,34.68197559723929,0.32769570329425,0.641738520496769,966264154411014.8,0.018167893542434,3.0214953915527707e-05,3.16,35.8,2023-11-06 08:05:00,0.0032769599030103,1.042479002418493,1.0,3,739.0320336720873,0.0032769599030103,-4.370934,2.2821069,1.042479002418493,2.9020889,1.6044078e-05,0.9631808921804936,238.6723019268606,12087.831524169216,0.4509723047668072,-0.8925379433577679,4.629144555054239,242.69704402078537,0.9847504871835244,inf,0.0,240.8893396020456,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0031520242,7.709656e-07,23059.09,0.9727533,-176.54822,0.0,0.0,1.0,-6.377832212373883e-13,5.628715e-12,2.7036611e-16,0.0,-0.0,0.0,7.48e-16,6.590047718755545e-14,4.990931621820186e-12,326.1312819515268,12.087831524169216,7.012478063988835e-12,0.0031520242,7.709656e-07,23059.09,0.9727533,-176.54822,0.0,0.0,0.0,-6.377832212373883e-13,5.628715e-12,2.7036611e-16,0.0,-0.0,0.0,7.48e-16,6.590047718755545e-14,4.990931621820186e-12,326.1312819515268,12.087831524169216,0.0
4,4,6,,,60.58972609021037,24.6648793684984,161.4326665272,3092.041859706362,0.1716676900067026,34610D,264.53876,-4.1518216,3.0951467,183.8347600186433,67541.24576315208,0.2696200767209686,1.259318423071646,66.09919464966542,79.4770229812134,1648.6011101346533,0.0027146714324122,69291.54882889376,1.0293390950919077,0.5508266220805452,0.5479302721972008,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5638196300826205,39.73844306984604,17.007349999621216,96.23437510344374,1486464105798123.5,17.3127937802634,713.370643115978,1360.71902820832,0.271467143241,0.0185874606340394,0.629659211535823,39.7385114906067,33.8754832590053,33.783771419852684,0.27146714324122,0.6441247290230685,938419606644160.2,0.0182758941471107,2.941928027462773e-05,3.16,35.8,2023-11-06 08:06:00,0.0027146703835891,1.029338071121611,1.0,4,692.9154882889376,0.0027146703835891,-4.1518216,3.0951467,1.029338071121611,2.1680503,1.2807769e-05,0.9125011159217624,237.9489110920833,12073.289009639417,0.4515150911983963,-0.8922634826216436,4.402452607701994,242.10852534032807,0.9464606070459252,inf,0.0,238.8988344555132,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026229483,8.984286e-07,27981.52,0.96509236,-178.51642,0.0,0.0,1.0,-6.260767658503059e-13,5.0897338e-12,2.8019138e-16,0.0,-0.0,0.0,7.48e-16,5.905573500098077e-14,4.463657201878595e-12,325.00555306040155,12.073289009639415,6.163909812289038e-12,0.0026229483,8.984286e-07,27981.52,0.96509236,-178.51642,0.0,0.0,0.0,-6.260767658503059e-13,5.0897338e-12,2.8019138e-16,0.0,-0.0,0.0,7.48e-16,5.905573500098077e-14,4.463657201878595e-12,325.00555306040155,12.073289009639415,0.0
5,5,7,,,60.63855999521452,24.467475475490644,166.2684443008,3600.7048287112566,0.1711446175586174,34610D,261.7963,-3.1532502,2.9799197,193.0454446017595,67475.14656850242,0.2771817097371377,1.201012633260298,63.833158537270656,74.205146356954,1651.4856469117328,0.0021983538901425,64915.7329138443,0.9962065903692868,0.5319429878105888,0.546843177732595,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.5951617654271782,37.102544949519,16.875269714891875,91.03791909066015,1385071183662075.8,16.5735484923448,710.565510045158,1355.43729573535,0.219835389014,0.0184857006259308,0.600506316630149,37.102573178477,32.4849097571011,32.41365307676606,0.21983538901425,0.6336476954308322,886603501449452.2,0.0179803619692598,2.747964109617712e-05,3.16,35.8,2023-11-06 08:07:00,0.0021983538901425,0.9962056595498372,0.0,5,649.1573291384431,0.0021983538901425,-3.1532502,2.9799197,0.9962056595498372,1.5738549,4.666358e-06,0.8638312463571519,237.22396292074973,12058.744006481982,0.4520592798614447,-0.8919878964936419,4.165729589212955,241.46458201285608,0.8917075335788949,inf,0.0,237.1148621892765,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0021487528,8.585021e-07,32900.008,0.9473521,-180.37202,0.0,0.0,1.0,-6.144188151975243e-13,4.5894785e-12,2.771137e-16,0.0,-0.0,0.0,7.48e-16,5.270088767194142e-14,3.9750595359006055e-12,323.8798241692764,12.058744006481982,5.1503992267353966e-12,0.0021487528,8.585021e-07,32900.008,0.9473521,-180.37202,0.0,0.0,0.0,-6.144188151975243e-13,4.5894785e-12,2.771137e-16,0.0,-0.0,0.0,7.48e-16,5.270088767194142e-14,3.9750595359006055e-12,323.8798241692764,12.058744006481982,0.0
6,6,8,,,60.68739390021867,24.270071582482885,171.1042220744,4109.367797716151,0.1706204234040914,34610D,258.9159,-1.1404039,3.4281163,198.00523613295945,67411.31340996515,0.2804119778102576,1.126639426789532,60.1384092036993,68.65722872802,1653.440263031467,0.0017623095226023,60766.41582646767,0.9708172940198114,0.5011534100308275,0.5301001658555125,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.613839088001898,34.32894991858417,16.357844362510786,82.4313854206538,1286970763797080.8,15.6127880689353,704.520165487664,1345.08369976951,0.17623095226,0.0183124206176863,0.563319713394766,34.32861436401,30.7616194033195,30.70750327787756,0.17623095226023,0.6107790781023364,830704444081226.0,0.0172819041800374,2.506693982998706e-05,3.16,35.8,2023-11-06 08:08:00,0.0017623095226023,0.9708167740907292,0.0,6,607.6641582646766,0.0017623095226023,-1.1404039,3.4281163,0.9708167740907292,1.3347335,2.2746847e-06,0.8176121728790873,236.49745943765407,12044.196548020338,0.4526048749417953,-0.8917111792385032,3.915496817392576,240.7476446115522,0.8447353972098545,inf,0.0,235.71222598072745,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.001718957,8.059909e-07,37865.066,0.92800057,-181.75117,0.0,0.0,1.0,-6.026928631215146e-13,4.1171983e-12,2.7306598e-16,0.0,-0.0,0.0,7.479999999999997e-16,4.670963844398866e-14,3.5145055747181693e-12,322.7540952781513,12.044196548020338,4.105745495501331e-12,0.001718957,8.059909e-07,37865.066,0.92800057,-181.75117,0.0,0.0,0.0,-6.026928631215146e-13,4.1171983e-12,2.7306598e-16,0.0,-0.0,0.0,7.479999999999997e-16,4.670963844398866e-14,3.5145055747181693e-12,322.7540952781513,12.044196548020338,0.0
7,7,9,,,60.736227805222825,24.07266768947513,175.939999848,4618.030766721044,0.1700951090090127,34610D,255.86093,-0.008096609,3.6330929,198.68749087929112,67351.17500076145,0.2826465890671735,1.10333688472827,58.84656611307853,67.5402710599974,1654.1698622791737,0.0011155940173246,56834.51722472721,0.7632871932191069,0.4903880509423211,0.5308966150778653,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6196204937300878,33.770621843309165,16.340099635334134,79.04598816411253,1162754287666105.2,15.1307613502826,703.99681037847,1352.72368371918,0.111559401732,0.018556046836634,0.551668442364135,33.7701355299987,29.729847484272,29.696718003333302,0.11155940173246,0.608827084664146,825889479037096.9,0.017285903393126,2.48615532394411e-05,3.16,35.8,2023-11-06 08:09:00,0.0011155940173246,0.7632880304899029,0.0,7,568.3451722472721,0.0011155940173246,-0.008096609,3.6330929,0.7632880304899029,1.2673488,4.2634386e-07,0.7738390648659131,235.7694026730315,12029.6466676958,0.4531518806367609,-0.8914333250868327,3.671505877039775,240.0084035655213,0.6444751209538504,inf,0.0,233.00301976160563,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0010881004,7.104783e-07,42838.855,0.7152998,-182.53397,0.0,0.0,1.0000000000000002,-5.909866251541315e-13,3.668903e-12,2.6570354e-16,0.0,-0.0,0.0,7.480000000000001e-16,4.102661230028493e-14,3.077916058546544e-12,321.62836638702606,12.0296466676958,3.5221531852046018e-12,0.0010881004,7.104783e-07,42838.855,0.7152998,-182.53397,0.0,0.0,0.0,-5.909866251541315e-13,3.668903e-12,2.6570354e-16,0.0,-0.0,0.0,7.480000000000001e-16,4.102661230028493e-14,3.077916058546544e-12,321.62836638702606,12.0296466676958,0.0
8,8,10,,,60.78506171022698,23.87526379646737,180.7757776216,5126.693735725938,0.1695686758431549,34610D,252.58861,1.1918296,4.1902313,199.2788116674517,67292.32843464837,0.2850166032119833,1.072285179704644,57.26416054336734,65.993441570467,1652.968849876538,0.0007239369346378,53111.21215722206,0.6320067245789077,0.4772013378613945,0.527215563916345,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6254771897717658,32.996244615148434,16.157401953326463,75.08880631129776,1051973839027272.0,14.6186865474696,702.231186762884,1355.74204293498,0.0723936934638,0.0186916462694356,0.536142589852322,32.9967207852335,28.6835403433145,28.66279029077323,0.07239369346378,0.6022534710040299,812402404287738.8,0.0170831845470056,2.4253647041629223e-05,3.16,35.8,2023-11-06 08:10:00,0.0007239369346378,0.6320065874185022,0.0,8,531.1121215722205,0.0007239369346378,1.1918296,4.1902313,0.6320065874185022,1.2956219,8.1087606e-08,0.7325122623782186,235.0397946625058,12015.094399064026,0.4537003011554713,-0.8911543282346973,3.44119178976394,239.2695636488316,0.5166719606355651,inf,0.0,231.436780350998,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0007071007,5.17891e-07,47791.93,0.60291094,-182.48666,0.0,0.0,1.0,-5.793676331699037e-13,3.2435124e-12,2.5085826e-16,0.0,-0.0,0.0,7.48e-16,3.563274164584908e-14,2.6641448756876637e-12,320.5017795644439,12.015094399064026,2.928115640975536e-12,0.0007071007,5.17891e-07,47791.93,0.60291094,-182.48666,0.0,0.0,0.0,-5.793676331699037e-13,3.2435124e-12,2.5085826e-16,0.0,-0.0,0.0,7.48e-16,3.563274164584908e-14,2.6641448756876637e-12,320.5017795644439,12.015094399064026,0.0
9,9,11,,,60.833895615231135,23.677859903459616,185.6115553952,5635.356704730832,0.1690411253802559,34610D,248.94203,2.2610414,5.7539635,199.3607684395729,67235.06427410501,0.2876798629209998,1.061313091087594,56.83711189526982,65.901412647385,1648.4320589156089,0.0005768625622249,49587.92701339632,0.6717739404811128,0.4736425991272485,0.5309758696037006,climb,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.6303006760415565,32.950976747512954,16.113285816294372,73.53583045994701,942669142695073.8,14.3352467607269,702.229627316435,1362.66357478794,0.0576862562225,0.0189083726468518,0.530656545543797,32.9507063236925,28.0646333481348,28.048453245529146,0.05768625622249,0.6022477087286203,814353574408501.1,0.0170305247339016,2.431171835220292e-05,3.16,35.8,2023-11-06 08:11:00,0.0005768625622249,0.6717740428315887,0.0,9,495.8792701339633,0.0005768625622249,2.2610414,5.7539635,0.6717740428315887,1.3516681,8.242485e-07,0.6939372096120437,234.3086374471982,12000.539775799562,0.4542501407185694,-0.8908741828435482,3.2245141687035863,238.5333751667155,0.5297378625671875,inf,0.0,230.8374992919776,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000563993,2.959299e-07,52690.59,0.65152085,-182.0032,0.0,0.0,1.0,-5.67913053070255e-13,2.8234463e-12,2.3374875000000003e-16,0.0,-0.0,0.0,7.48e-16,3.030368195181067e-14,2.255533322486001e-12,319.3748557474863,12.00053977579956,2.446087839398273e-12,0.000563993,2.959299e-07,52690.59,0.65152085,-182.0032,0.0,0.0,0.0,-5.67913053070255e-13,2.8234463e-12,2.3374875000000003e-16,0.0,-0.0,0.0,7.48e-16,3.030368195181067e-14,2.255533322486001e-12,319.3748557474863,12.00053977579956,0.0
