,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.485176334813361,34610D,275.8161,13.559059,12.75305,160.39296601491716,69648.93709372853,0.3656637322680603,0.9133756487967908,67.74059422611118,89.6040081436634,1757.52313059406,0.005115519476511,73058.20758235783,0.7910877226472297,0.5645049518842599,0.8681378445674948,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,24.05176786258622,3.48472789244235,0.4817621937379387,44.8023299382088,16.21914056928197,28.1900759853668,1571574843645128.8,29.0910341616486,822.029235940655,1220.16925905063,0.511551947651,0.0185101063531763,0.443601279713533,44.8020040718317,23.9653555333253,23.843384236875632,15.126624446683977,0.7557076671289088,924252659112942.4,0.9133756487967908,0.0015132167696888428,1.4540181665995725e-05,3.16,35.8,2023-11-06 01:00:00,0.005115519476511054,0.7910890994841202,0.0,730.5820758235783,0,0.005115519476511054,13.559059,12.75305,0.7910890994841202,5.7613635,1.5376484e-07,0.9227665614026063,672.40279955826,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.3556113183785055,244.42480060295725,0.811659172997645,inf,0.0,238.7618639677918,0.0,0.0,0.0,0 days,0.004999018,2.384677e-07,26997.512,0.7913303,-143.98245,0.0,0.0,1.0,-7.349391790624266e-13,6.501596e-12,2.293194e-16,0.0,-0.0,0.0,7.48e-16,7.59438623272835e-14,5.7666571491163715e-12,717.8395344463328,4.78218041406955e-13,1.2953566521287992e-13,0.0,0.004999018,2.384677e-07,26997.512,0.7913303,-143.98245,0.0,0.0,0.0,-7.349391790624266e-13,6.501596e-12,2.293194e-16,0.0,-0.0,0.0,7.48e-16,7.59438623272835e-14,5.7666571491163715e-12,717.8395344463328,4.78218041406955e-13,1.2953566521287992e-13,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4863243899448088,34610D,272.4418,15.2548685,14.436587,173.9516170787078,69581.19649950242,0.3968825050079888,0.9712694179882954,75.81133521768999,95.3574520231342,2114.344855429817,0.0043915516493729,68339.94069049528,0.8370614793111633,0.6317611268140833,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.474151288205903,3.709251642124788,0.5257131183382637,47.67889017844888,19.15550261827501,36.28235539,1450000000000000.0,31.287133592887,841.42193543544,1250.23984831484,0.439155164937,0.0191992787464272,0.487756795924808,47.6787260115671,25.4049541322261,25.293874774740058,15.103779209921743,0.8249772907440883,980900899954073.6,0.9712694179882954,0.0016905892787500239,1.5958064462987437e-05,3.16,35.8,2023-11-06 01:01:00,0.004391551649372981,0.8370626678609882,0.0,683.3994069049528,1,0.004391551649372981,15.2548685,14.436587,0.8370626678609882,5.4957986,3.631544e-07,0.8738629074322868,673.9941199597388,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.265773323035711,244.22282942000302,0.8312588283723101,inf,0.0,238.82339073733962,0.0,0.0,0.0,0 days,0.004298619,1.7496296e-07,32261.08,0.80537045,-144.4798,0.0,0.0,1.0000000000000002,-7.155855522049164e-13,5.834027e-12,2.2442424e-16,0.0,-0.0,0.0,7.480000000000001e-16,6.751216277945975e-14,5.118441426383746e-12,718.5377450265488,5.04274274310814e-13,1.3774620587463446e-13,0.0,0.004298619,1.7496296e-07,32261.08,0.80537045,-144.4798,0.0,0.0,0.0,-7.155855522049164e-13,5.834027e-12,2.2442424e-16,0.0,-0.0,0.0,7.480000000000001e-16,6.751216277945975e-14,5.118441426383746e-12,718.5377450265488,5.04274274310814e-13,1.3774620587463446e-13,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4875045174448486,34610D,268.2026,17.123575,16.460327,187.79674627266988,69505.38516428473,0.4307692397280444,1.0258992020225175,73.4221314170203,101.2611256979908,2500.4847561947863,0.0030681374137576,62994.42896063308,0.7699737711730957,0.6118510951418358,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,26.658121240928622,3.916927406979513,0.5720233610421264,50.63147851635059,19.338003450770533,36.28235539,1450000000000000.0,33.2789884746984,862.228713936331,1285.42442088522,0.306813741376,0.0201035217581887,0.534059529544911,50.6305628489954,26.5654712626346,26.484214054619656,15.09648202793109,0.892780604146652,956793270540660.8,1.0258992020225175,0.0019209510914372685,1.791171881965064e-05,3.16,35.8,2023-11-06 01:02:00,0.0030681374137576396,0.7699742195310094,0.0,629.9442896063307,2,0.0030681374137576396,17.123575,16.460327,0.7699742195310094,5.195325,4.596544e-07,0.8182416998743708,675.6298904069372,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.1369946065891225,243.92791599925206,0.7337703550886256,inf,0.0,237.43815613815158,0.0,0.0,0.0,0 days,0.0030088082,2.3659307e-07,38598.508,0.7304687,-145.26746,0.0,0.0,1.0000000000000002,-6.92246710975865e-13,5.0752124e-12,2.291749e-16,0.0,-0.0,0.0,7.48e-16,5.79557291024748e-14,4.382965708435915e-12,719.3697734158776,5.182512076997648e-13,1.4549384555019507e-13,0.0,0.0030088082,2.3659307e-07,38598.508,0.7304687,-145.26746,0.0,0.0,0.0,-6.92246710975865e-13,5.0752124e-12,2.291749e-16,0.0,-0.0,0.0,7.48e-16,5.79557291024748e-14,4.382965708435915e-12,719.3697734158776,5.182512076997648e-13,1.4549384555019507e-13,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4886882011196681,34610D,264.16476,19.908968,17.881569,202.12277487156868,69431.9630328677,0.40781333140962384,0.8826794089665075,67.31623992280328,76.6356069259744,1305.7193587881234,0.0025842722891231,57124.037489563314,0.8348481252725184,0.5609686660233606,0.9654863028570972,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.03492198000037,3.395709786445027,0.6203474786886829,38.31785789173152,18.26669903189776,36.07130278254585,1453170761471414.8,27.9252045010938,832.610909926292,1222.85920345968,0.258427228912,0.0184359298388503,0.422381545334467,38.3178034629872,22.9107806889337,22.851725607687108,15.11817937516923,0.7935059476975227,805741392313515.0,0.8826794089665075,0.0016332903541178545,1.2922992442842748e-05,3.16,35.8,2023-11-06 01:03:00,0.002584272289123134,0.8348485914994934,0.0,571.2403748956332,3,0.002584272289123134,19.908968,17.881569,0.8348485914994934,5.0347104,1.5976092e-06,0.7533320814715169,677.2705904932567,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.475842345162253,242.30193558466615,0.7648257130129786,inf,0.0,236.22790487791363,0.0,0.0,0.0,0 days,0.0025273561,5.219797e-07,46089.496,0.7932009,-146.28427,0.0,0.0,0.9999999999999999,-6.645858770088931e-13,4.3688902e-12,2.5117343e-16,0.0,-0.0,0.0,7.479999999999999e-16,4.91551324022458e-14,3.7043045356543465e-12,720.2291154061148,3.204234753571596e-13,1.2518229992315727e-13,0.0,0.0025273561,5.219797e-07,46089.496,0.7932009,-146.28427,0.0,0.0,0.0,-6.645858770088931e-13,4.3688902e-12,2.5117343e-16,0.0,-0.0,0.0,7.479999999999999e-16,4.91551324022458e-14,3.7043045356543465e-12,720.2291154061148,3.204234753571596e-13,1.2518229992315727e-13,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.4898794348727255,34610D,262.464,21.32804,17.570606,214.61340849012325,69364.6467929449,0.41405258715897,0.8609300820449929,65.44105840537928,71.4739809824998,1310.0559928084492,0.00259328123267,54249.21360051817,0.9251144053347196,0.5453421533781607,0.974418736878684,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,22.488202047025258,3.3149120747287446,0.6608139563169506,35.73726572155231,18.17536642439197,36.20295843823952,1451192824853607.2,27.1940802871627,833.245006605396,1218.51607495267,0.259328123267,0.0182496904766989,0.407926912752004,35.7369904912499,22.3525387059492,22.294722221225303,15.127923667251128,0.7957506112402467,752301618563301.2,0.8609300820449929,0.0016240279401579113,1.2078779165966305e-05,3.16,35.8,2023-11-06 01:04:00,0.0025932812326700974,0.9251131529764813,0.0,542.4921360051817,4,0.0025932812326700974,21.32804,17.570606,0.9251131529764813,4.9049487,3.7412801e-06,0.7200557993133714,678.9217553571543,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.295885374305706,241.82253150504636,0.8335136040988913,inf,0.0,236.5808530176058,0.0,0.0,0.0,0 days,0.00253948,7.136331e-07,49972.926,0.88168514,-147.39622,0.0,0.0,1.0,-6.503156344095557e-13,4.068489e-12,2.6594672e-16,0.0,-0.0,0.0,7.48e-16,4.545020295939279e-14,3.4181735566469683e-12,721.1363365157245,2.8675218780090756e-13,1.2209779297968653e-13,0.0,0.00253948,7.136331e-07,49972.926,0.88168514,-147.39622,0.0,0.0,0.0,-6.503156344095557e-13,4.068489e-12,2.6594672e-16,0.0,-0.0,0.0,7.48e-16,4.545020295939279e-14,3.4181735566469683e-12,721.1363365157245,2.8675218780090756e-13,1.2209779297968653e-13,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4910959983002216,34610D,260.72287,22.819613,15.357339,222.35191224656936,69299.20573453953,0.42584440946813545,0.8766943503022591,64.92090351100762,72.2503121916758,1956.41921226326,0.0025374196660746,51492.67974234382,1.004703240177138,0.5410075292583969,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,22.612986322115088,3.3345693121148505,0.6869237181435692,36.12519762917328,18.467383642985933,36.28235539,1450000000000000.0,27.5344412259145,841.826450636275,1232.97574581629,0.253741966607,0.0185918068398925,0.417956702065369,36.1251560958379,22.4806930098133,22.42379443283142,15.124415714992333,0.826433595970463,759863931396844.2,0.8766943503022591,0.0016837319739896783,1.2369774037092113e-05,3.16,35.8,2023-11-06 01:05:00,0.0025374203938446902,1.0047039821427781,1.0,514.9267974234381,5,0.0025374203938446902,22.819613,15.357339,1.0047039821427781,4.8842816,9.261374e-06,0.6880322800743073,680.6080256826295,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.161145437079179,241.45179516959294,0.8898874239635459,inf,0.0,237.07125411156545,0.0,0.0,0.0,0 days,0.0024762445,6.553676e-07,53926.04,0.95664483,-148.34013,0.0,0.0,1.0,-6.357820111702854e-13,3.7874487e-12,2.6145543e-16,0.0,-0.0,0.0,7.48e-16,4.198112318045155e-14,3.151666750476452e-12,722.164246726039,2.7913397965847554e-13,1.2433349411534664e-13,0.0,0.0024762445,6.553676e-07,53926.04,0.95664483,-148.34013,0.0,0.0,0.0,-6.357820111702854e-13,3.7874487e-12,2.6145543e-16,0.0,-0.0,0.0,7.48e-16,4.198112318045155e-14,3.151666750476452e-12,722.164246726039,2.7913397965847554e-13,1.2433349411534664e-13,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.492720417872883,34610D,257.1068,23.721052,14.207628,222.1857081571461,69234.28483102852,0.42229667445032626,0.8432703739053494,63.20433833775655,68.9683479275362,1519.3438694416593,0.00223975427654,47596.28928252322,1.142229249895895,0.5267028194813046,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.48584978300781,3.174754443514583,0.6912203684188937,34.48441680337857,18.25752071870429,36.28235539,1450000000000000.0,26.1032081371561,836.863335690649,1227.60945413727,0.223975427654,0.0185264660917453,0.395669590014993,34.4841739637681,21.356992102843,21.309264586355788,15.122445671190052,0.8086202717203962,722620750583452.0,0.8432703739053494,0.001637268061448182,1.1671635292136743e-05,3.16,35.8,2023-11-06 01:06:00,0.0022397555793171515,1.1422309605698662,1.0,475.96289282523225,6,0.0022397555793171515,23.721052,14.207628,1.1422309605698662,4.787058,3.2637505e-05,0.6449142618043866,682.8595436356596,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.8216767580981243,240.46834825433123,0.9763455714647373,inf,0.0,238.3017154648026,0.0,0.0,0.0,0 days,0.00207888,5.614638e-07,59817.402,1.0295303,-149.58781,0.0,0.0,0.9999999999999999,-6.140611299134004e-13,3.333265e-12,2.54217e-16,0.0,-0.0,0.0,7.48e-16,3.63518673295189e-14,2.7192038709920896e-12,723.6456582137421,2.2525770394700321e-13,1.195932790435558e-13,0.0,0.00207888,5.614638e-07,59817.402,1.0295303,-149.58781,0.0,0.0,0.0,-6.140611299134004e-13,3.333265e-12,2.54217e-16,0.0,-0.0,0.0,7.48e-16,3.63518673295189e-14,2.7192038709920896e-12,723.6456582137421,2.2525770394700321e-13,1.195932790435558e-13,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4949418121781694,34610D,254.02104,24.218765,14.558698,226.2376574503135,69171.08049269076,0.4045725911106618,0.7254243270257418,53.02008651707378,55.8219644669962,772.5054498205002,0.0017726619884202,44739.09919617161,1.1363328872024905,0.4418340543089482,0.8564513266440233,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.06265269124647,2.825606263862741,0.7080880599739752,27.91087834216179,15.172348247263072,31.49940535856264,1521856935871682.0,22.5935999302704,811.427826413985,1177.25945891565,0.177266198842,0.0172568315582386,0.326344049158439,27.9109822334981,18.911006232928,18.87754273049488,15.145349196732646,0.7187047919208058,593724329190835.2,0.7254243270257418,0.0014335842141753507,9.139545636526904e-06,3.16,35.8,2023-11-06 01:07:00,0.0017726634991201045,1.1363353806611092,1.0,447.3909919617161,7,0.0017726634991201045,24.218765,14.558698,1.1363353806611092,4.6477036,5.551555e-05,0.6135641758438412,685.9384087120053,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.4839303628912868,239.40990960305388,0.9421979787884303,inf,0.0,236.18158819832252,0.0,0.0,0.0,0 days,0.0016521228,5.5668073e-07,64321.516,1.0506772,-151.6524,0.0,0.0,1.0,-5.975423516067274e-13,2.986331e-12,2.538483e-16,0.0,-0.0,0.0,7.48e-16,3.205610130936214e-14,2.388788692615536e-12,725.7139458860102,1.4905423182361419e-13,1.0288025839825233e-13,0.0,0.0016521228,5.5668073e-07,64321.516,1.0506772,-151.6524,0.0,0.0,0.0,-5.975423516067274e-13,2.986331e-12,2.538483e-16,0.0,-0.0,0.0,7.48e-16,3.205610130936214e-14,2.388788692615536e-12,725.7139458860102,1.4905423182361419e-13,1.0288025839825233e-13,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4972423094923607,34610D,252.53842,25.214813,15.0375805,229.3422742835852,69118.06040617368,0.4576395141882745,0.9887823628284472,61.11373436614621,84.902709673167,2679.721695854688,0.0015756426575748,43340.512388800154,1.1279460681837317,0.509281119717885,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.624974783764472,3.5065216995112407,0.7199090064523327,42.45090075001799,18.156101740459253,36.28235538999999,1450000000000000.0,29.9418542890815,884.835661520508,1324.35060818848,0.157564265757,0.0211595490021354,0.496345792324156,42.4513548365835,23.4572954401847,23.42039326949212,15.1296514513254,0.9587402723486976,714200790625854.5,0.9887823628284472,0.002102208227033771,1.6067605739490207e-05,3.16,35.8,2023-11-06 01:08:00,0.0015756430202844107,1.1279467367334461,1.0,433.4051238880015,8,0.0015756430202844107,25.214813,15.0375805,1.1279467367334461,4.5460978,7.515325e-05,0.5978731240925447,689.1269046288694,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.7046173412046257,240.11123013186025,0.9216511688849441,inf,0.0,236.38720266073713,0.0,0.0,0.0,0 days,0.0014778927,7.3798526e-07,66721.36,1.0315481,-153.43544,0.0,0.0,1.0,-5.888551735757928e-13,2.8453156e-12,2.6782385e-16,0.0,-0.0,0.0,7.480000000000001e-16,3.034980864608922e-14,2.2564603680006752e-12,727.9015071641508,2.8142028791004747e-13,1.4022990572222067e-13,0.0,0.0014778927,7.3798526e-07,66721.36,1.0315481,-153.43544,0.0,0.0,0.0,-5.888551735757928e-13,2.8453156e-12,2.6782385e-16,0.0,-0.0,0.0,7.480000000000001e-16,3.034980864608922e-14,2.2564603680006752e-12,727.9015071641508,2.8142028791004747e-13,1.4022990572222067e-13,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4995401016172068,34610D,247.5026,28.6934,13.816006,232.9325379873014,69056.94667180754,0.4434057907867689,0.8962320782323727,58.68708619811768,73.4130259012676,2449.8846557383526,0.0009829555492455,38763.39764052093,1.0331216380345438,0.4890590516509807,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.293093620819608,3.173033878587752,0.7385798822670377,36.70744784840439,17.931890678997963,36.28235539,1450000000000000.0,26.5805540038626,864.656340929596,1287.60234067421,0.0982955549246,0.0202393366008999,0.427927007198265,36.7065129506338,21.1433317028404,21.122569156273915,15.120302845383742,0.900323137605102,694993224089698.9,0.8962320782323727,0.001883662000618872,1.3299506671608135e-05,3.16,35.8,2023-11-06 01:09:00,0.0009829549049995903,1.0331198945702298,1.0,387.6339764052093,9,0.0009829549049995903,28.6934,13.816006,1.0331198945702298,3.0119991,0.00010789428,0.5456127614180291,692.3116536798203,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.2269982582638073,238.54206006816364,0.8031617592296906,inf,0.0,233.10389657170148,0.0,0.0,0.0,0 days,0.00097147963,1.1002081e-06,74761.13,1.0038244,-154.94917,0.0,0.0,1.0,-5.589572527575445e-13,2.4020818e-12,2.957452e-16,0.0,-0.0,0.0,7.48e-16,2.5004365281724608e-14,1.843124621171613e-12,730.0786694626267,1.8669359217980593e-13,1.271043503205777e-13,0.0,0.00097147963,1.1002081e-06,74761.13,1.0038244,-154.94917,0.0,0.0,0.0,-5.589572527575445e-13,2.4020818e-12,2.957452e-16,0.0,-0.0,0.0,7.48e-16,2.5004365281724608e-14,1.843124621171613e-12,730.0786694626267,1.8669359217980593e-13,1.271043503205777e-13,0.0
