,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,1,407463.0,BAW680,51.464630126953125,-0.5077465160472912,76.652222156,586.74,0.645554423357526,34610D,281.95166,4.6667576,6.9932947,101.83154530688115,69094.28183586389,0.283395506088227,1.099529611096676,73.59037823625688,131.6736860810356,1884.485981460828,0.0069390169827408,94472.02900687772,0.8548572645415542,0.6132531519688074,0.7709483131754152,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.33352867643644,3.624239515746922,0.3025187023540445,65.8372646782282,16.063333322600858,23.90206031771399,1486909275541936.5,34.5060154625498,839.837265011876,1351.9039183321,0.693901698274,0.024228630375807,0.549764805548338,65.8368430405178,22.6907091742707,22.534342985598727,16.777084234650246,0.834804917987456,1227864205440943.0,,,0.00118394843851497,2.0058962628927904e-05,3.16,35.8,2023-05-05 09:01:00,0.006939016982740829,0.8548572701796661,0.0,0,944.7202900687771,0.006939016982740829,4.6667576,6.9932947,0.8548572701796661,0.26779065,0.0,1.1672692259751067,863.0167882836694,6244.71057557348,-0.3973546157043629,-0.9176651401129052,6.13992189364261,246.07067251451718,0.9302932303236675,inf,0.0,242.30854335773657,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006792491,4.156538e-07,5842.6064,0.9056625,-233.81909,0.0,0.0,0.9999999999999999,-9.486949220042324e-13,8.572104e-12,2.429775e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0009528944105619e-13,7.623408611698963e-12,1108.1108920337313,6.24471057557348,5.954429636620749e-13,0.006792491,4.156538e-07,5842.6064,0.9056625,-233.81909,0.0,0.0,0.0,-9.486949220042324e-13,8.572104e-12,2.429775e-16,0.0,0.0,0.0,7.479999999999999e-16,1.0009528944105619e-13,7.623408611698963e-12,1108.1108920337313,6.24471057557348
1,1,2,407463.0,BAW680,51.4423828125,-0.5900697450380221,127.582222112,1165.86,0.6469211983622122,34610D,278.3438,5.4282923,6.635098,129.85429907894198,69020.69145762763,0.3221973524047701,1.363548649589984,92.35999986789663,145.5853622409054,3299.1465075255805,0.005722285324243,88080.9851588033,0.8715788776543707,0.7696666655658053,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,25.210768300799064,3.637352035659304,0.3882601144048275,72.79341702502056,20.519218361768075,36.28235538999999,1450000000000000.0,39.7564617727922,875.093851724868,1458.18524497439,0.572228532424,0.026682716313286,0.681774324794992,72.7926811204527,25.5511589146386,25.40577979377374,14.88925428477188,0.9974182805013356,1124303117276004.0,32.69865402343733,1887296412284396.5,0.0017535543676109164,2.796310430813661e-05,3.16,35.8,2023-05-05 09:02:00,0.005722285324243061,0.8715800894061299,0.0,1,880.8098515880331,0.005722285324243061,5.4282923,6.635098,0.8715800894061299,0.35805008,0.0,1.102409787145542,864.8436804053758,7487.371314157589,-0.9834465679946758,-0.18119836616121401,6.045952352947904,245.88366673732648,0.91627065569262,inf,0.0,241.8141045741707,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005598767,4.6753735e-07,11513.14,0.8890303,-235.1024,0.0,0.0,1.0,-9.19881772893125e-13,7.7014315e-12,2.4697683e-16,0.0,0.0,0.0,7.479999999999999e-16,8.915512134312655e-14,6.781549577729527e-12,1108.4163730783098,7.487371314157589,9.729041691587811e-13,0.005598767,4.6753735e-07,11513.14,0.8890303,-235.1024,0.0,0.0,0.0,-9.19881772893125e-13,7.7014315e-12,2.4697683e-16,0.0,0.0,0.0,7.479999999999999e-16,8.915512134312655e-14,6.781549577729527e-12,1108.4163730783098,7.487371314157589
2,2,3,407463.0,BAW680,51.3767720885196,-0.60943603515625,148.674444316,2179.32,0.6490198585630795,34610D,271.9006,7.7701063,5.9193482,151.2121214403436,68928.33145775973,0.3456009197542781,1.42008135465935,88.06853389738848,139.6635083329508,3225.024504942712,0.0036978146634818,77740.93610102212,0.8386007226937477,0.7339044491449039,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.76307678312459,2.8913813223445324,0.4574448214049998,69.83149577210756,20.796499116517587,36.28235539,1450000000000000.0,39.4624975563162,883.70356466857,1540.73490811508,0.369781466348,0.0279320155712259,0.710040677329675,69.8317541664754,25.4203165367387,25.32666323006948,11.786134643547197,1.0,1123987377594136.6,30.36117296370129,1786009993010084.5,0.0028447419485221658,2.813844262528769e-05,3.16,35.8,2023-05-05 09:03:00,0.0036978146634818413,0.8386005314918799,0.0,2,777.4093610102212,0.0036978146634818413,7.7701063,5.9193482,0.8386005314918799,0.4367549,3.2006534e-07,0.9960520844141563,867.6489996708023,9260.126126310186,-0.8537826424343427,0.5206296183255725,5.517439803792916,244.78115358187299,0.8284273971313522,inf,0.0,239.3139386719826,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0036190096,4.9569934e-07,21417.906,0.80763733,-236.27284,0.0,0.0,0.9999999999999999,-8.696310456585064e-13,6.2961897e-12,2.4914765e-16,0.0,0.0,0.0,7.480000000000001e-16,7.15424085278443e-14,5.42655852833208e-12,1109.317283277575,9.260126126310187,1.3153212727643273e-12,0.0036190096,4.9569934e-07,21417.906,0.80763733,-236.27284,0.0,0.0,0.0,-8.696310456585064e-13,6.2961897e-12,2.4914765e-16,0.0,0.0,0.0,7.480000000000001e-16,7.15424085278443e-14,5.42655852833208e-12,1109.317283277575,9.260126126310187
3,3,4,407463.0,BAW680,51.306060791015625,-0.5404828045819272,162.564444304,3169.92,0.6517876566470916,34610D,265.4678,8.028721,5.8849,178.61473701950462,68840.26292386235,0.396604800042858,0.916747569548162,70.80755496426966,87.593500749726,1314.6735763947386,0.0023647591106723,68606.54157738572,0.818449103693371,0.5900629580355805,0.8468928351296465,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,23.577057273522986,3.48080453003804,0.5468504270183401,43.79745599742471,17.14361993681236,30.030234015278083,1543929119420542.0,30.0136546841474,835.704048343126,1304.00513134458,0.236475911067,0.0231311365552155,0.458373784774081,43.796750374863,19.8163105249893,19.769560277209784,17.843364892056293,0.8172873426955579,926984206674611.2,29.3191558104622,1675722035932389.0,0.0011059432042991265,1.5030568050311438e-05,3.16,35.8,2023-05-05 09:04:00,0.0023647591106723894,0.8184495491697165,0.0,3,686.0654157738572,0.0023647591106723894,8.028721,5.8849,0.8184495491697165,0.4925849,2.0799654e-07,0.9003183986903336,871.3488606989903,11144.044635122638,-0.8974772760506166,0.441060697606084,5.2746801920027035,244.24298950434232,0.7594212462317229,inf,0.0,237.99406689269026,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0023149743,6.543092e-07,31087.982,0.7696851,-236.85744,0.0,0.0,1.0,-8.205332367920802e-13,5.0822853e-12,2.6137385e-16,0.0,0.0,0.0,7.480000000000001e-16,5.641215152647649e-14,4.261752129167715e-12,1110.2882301786276,11.144044635122638,2.592519482698743e-13,0.0023149743,6.543092e-07,31087.982,0.7696851,-236.85744,0.0,0.0,0.0,-8.205332367920802e-13,5.0822853e-12,2.6137385e-16,0.0,0.0,0.0,7.480000000000001e-16,5.641215152647649e-14,4.261752129167715e-12,1110.2882301786276,11.144044635122638
4,4,5,407463.0,BAW680,51.216156005859375,-0.469962455130883,203.719999824,3573.78,0.6546833699845718,34610D,262.84833,8.672045,6.1959424,199.78514427380043,68769.45536889808,0.4036840690879945,1.28451738860189,81.14525294870174,111.6862851091318,2725.967335894494,0.0018678268750855,65141.597694892014,0.7731614806719522,0.6762104412391812,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.42165265869348,2.8769716140095385,0.6147064931216591,55.843644214480406,20.806074053412978,36.28235539,1450000000000000.0,36.6650700954067,880.418455052089,1506.12174603569,0.186782687509,0.0270693569990432,0.642258694300945,55.8431425545659,23.7264111712608,23.682176964665665,12.33503923631335,1.0,978477759260033.8,30.537536511965943,1610813225356346.5,0.0026270205562276346,2.449568459388912e-05,3.16,35.8,2023-05-05 09:05:00,0.0018678268750855038,0.7731618059714369,0.0,4,651.4159769489202,0.0018678268750855038,8.672045,6.1959424,0.7731618059714369,0.57023114,3.6160847e-07,0.8633673736444798,875.2197239213523,12591.815562360232,-0.88754484275893,0.4607213388720196,5.065573708302464,243.76151821191115,0.6992374127259415,inf,0.0,236.95845940744078,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018303148,6.0571335e-07,35009.355,0.7359955,-238.04,0.0,0.0,1.0000000000000002,-8.008077017591428e-13,4.6341355e-12,2.5762788e-16,0.0,0.0,0.0,7.480000000000002e-16,5.083888830085417e-14,3.833327723952565e-12,1111.5198619930366,12.591815562360232,7.761231887627687e-13,0.0018303148,6.0571335e-07,35009.355,0.7359955,-238.04,0.0,0.0,0.0,-8.008077017591428e-13,4.6341355e-12,2.5762788e-16,0.0,0.0,0.0,7.480000000000002e-16,5.083888830085417e-14,3.833327723952565e-12,1111.5198619930366,12.591815562360232
5,5,6,407463.0,BAW680,51.11584679555085,-0.3870391845703125,211.436666484,4411.9800000000005,0.6577293261646363,34610D,256.96146,10.062511,6.499926,220.0488140404532,68688.31011594938,0.432782966530062,0.908898753290888,71.44543461143817,76.9215582998374,1460.0834327599457,0.0011948289353294,58401.6359568902,0.7578570621770111,0.5953786217619847,0.9176371836402354,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.54438994988577,3.057111460912051,0.6847660901349644,38.460685668612335,18.70085575121456,34.69911685136016,1473785878880785.5,29.3154830525894,840.758450155244,1337.03532315397,0.119482893533,0.023326008738137,0.454449376645444,38.4607791499187,19.482517637166,19.45926714172476,15.82979427703289,0.8386586079696705,891448087065716.5,29.86041696521797,1519865148970327.2,0.0013928450121604304,1.45863173283616e-05,3.16,35.8,2023-05-05 09:06:00,0.0011948289353294185,0.7578569239359828,0.0,5,584.016359568902,0.0011948289353294185,10.062511,6.499926,0.7578569239359828,0.6341614,8.195311e-07,0.7917707803640369,879.291438002765,13209.052642457104,-0.8883960114481767,0.4590779093388955,4.771672413089362,243.054115287208,0.6468671326118673,inf,0.0,235.85564921380475,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011703683,6.12544e-07,43226.15,0.7229481,-239.64519,0.0,0.0,1.0,-7.591047277332103e-13,3.768933e-12,2.5815444e-16,0.0,0.0,0.0,7.48e-16,4.0133922962427876e-14,3.0098283480687697e-12,1112.8887347119476,13.209052642457104,2.286184519532412e-13,0.0011703683,6.12544e-07,43226.15,0.7229481,-239.64519,0.0,0.0,0.0,-7.591047277332103e-13,3.768933e-12,2.5815444e-16,0.0,0.0,0.0,7.48e-16,4.0133922962427876e-14,3.0098283480687697e-12,1112.8887347119476,13.209052642457104
6,6,7,407463.0,BAW680,51.010345458984375,-0.3004166886613006,233.557777576,4861.56,0.6608290388108642,34610D,253.84204,11.00037,6.371188,237.3290288080861,68616.86468133795,0.44455480254707974,1.013037373957986,76.18571752794958,81.6547307601352,1952.3224424842308,0.0009209860273574,55026.440867802725,0.7386412897275165,0.6348809793995798,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.43289611676424,2.8970369917200065,0.7430641195873594,40.82770853164188,20.78380303730236,36.28235538999999,1450000000000000.0,31.2737048310864,856.216419620285,1399.99452522317,0.0920986027357,0.0245508739204911,0.506518686978993,40.8273653800676,20.6313913150046,20.61240757563724,14.14691961813303,0.907120724199458,896754020013995.0,30.72045751855377,1456422730198525.2,0.0018268274649644093,1.7499433528798946e-05,3.16,35.8,2023-05-05 09:07:00,0.0009209860273574877,0.73864110493929,0.0,6,550.2644086780273,0.0009209860273574877,11.00037,6.371188,0.73864110493929,0.66494715,1.100775e-06,0.7551797272919163,883.4350140900611,14441.476617147115,-0.8882530904374696,0.4593543809830104,4.590104691961382,242.59753912121255,0.611366745970076,inf,0.0,235.15795774677954,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00090273423,6.040577e-07,47566.18,0.72059524,-242.07198,0.0,0.0,1.0,-7.371874323645394e-13,3.3532686e-12,2.575003e-16,0.0,0.0,0.0,7.48e-16,3.501455448865643e-14,2.6160810924470697e-12,1114.3284619412846,14.441476617147115,2.904861647693012e-13,0.00090273423,6.040577e-07,47566.18,0.72059524,-242.07198,0.0,0.0,0.0,-7.371874323645394e-13,3.3532686e-12,2.575003e-16,0.0,0.0,0.0,7.48e-16,3.501455448865643e-14,2.6160810924470697e-12,1114.3284619412846,14.441476617147115
7,7,8,407463.0,BAW680,50.89504953158104,-0.2059173583984375,245.389999788,5463.54,0.6640423382204919,34610D,249.49815,12.035559,5.8081293,250.71700762997,68540.67896380999,0.4593626943503328,0.926207355905546,70.37520760629256,73.0233228787008,1528.684373059068,0.0006619864598187,50756.176244006965,0.7467758323764443,0.5864600633857714,0.9596993494819912,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.76264693316761,2.9513144352952048,0.7917851009784541,36.51166721042165,19.46274354069348,36.28235539,1450000000000000.0,29.4288190160142,848.635268610183,1360.40054664886,0.0661986459819,0.0237631622425165,0.463103677952773,36.5116614393504,19.4883018188631,19.47540936156632,15.220254617300588,0.8719010483698973,859355746532800.6,30.315646735148523,1393138500441819.5,0.001541908346776819,1.511678057996407e-05,3.16,35.8,2023-05-05 09:08:00,0.0006619864598187839,0.7467758805614338,0.0,7,507.56176244006963,0.0006619864598187839,12.035559,5.8081293,0.7467758805614338,0.5122722,1.2450985e-06,0.7087025832916284,887.7304367320588,15212.014781554939,-0.8893115744758581,0.4573017860267661,4.348888923045609,241.96555284407614,0.5921300217845972,inf,0.0,234.4317944440757,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0006476171,5.4625815e-07,53459.844,0.72470796,-243.79672,0.0,0.0,1.0,-7.072836495331855e-13,2.8592998e-12,2.530449e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8977255831554993e-14,2.152016225369671e-12,1115.8929440429758,15.21201478155494,1.8440112956179116e-13,0.0006476171,5.4625815e-07,53459.844,0.72470796,-243.79672,0.0,0.0,0.0,-7.072836495331855e-13,2.8592998e-12,2.530449e-16,0.0,0.0,0.0,7.479999999999999e-16,2.8977255831554993e-14,2.152016225369671e-12,1115.8929440429758,15.21201478155494
8,8,9,407463.0,BAW680,50.77340853416313,-0.1070404052734375,261.852221996,5935.9800000000005,0.6673216620890841,34610D,245.79865,12.838692,5.345521,262.0571586264794,68470.3037562037,0.470137565886542,0.963449457603574,72.63113056243405,74.3771104444634,1622.3321923700485,0.0005238339486255,47596.28928252322,0.8031555214340124,0.6052594213536171,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.897869132721915,2.97425719055126,0.8338030340010302,37.188663308242376,20.55496909831133,36.28235539,1450000000000000.0,30.1103178486331,855.348170699402,1379.91046918775,0.0523833948626,0.0243154230677681,0.481724728801787,37.1885552222317,19.8114886777499,19.80111618087368,15.07303760133682,0.9029902841923456,843795987128559.4,30.256635576007767,1341181231794020.2,0.0016203596899867377,1.6271843769401263e-05,3.16,35.8,2023-05-05 09:09:00,0.0005238339486255249,0.8031559783153362,0.0,8,475.96289282523225,0.0005238339486255249,12.838692,5.345521,0.8031559783153362,0.31492022,1.0651268e-06,0.6745840228450728,892.114121738261,16064.88552763422,-0.8897878447223443,0.4563743982569195,4.1605779993039365,241.45021151461543,0.6139416620280951,inf,0.0,234.11246926098212,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0005116802,3.7615922e-07,58099.367,0.7791937,-245.68782,0.0,0.0,0.9999999999999998,-6.837644385288311e-13,2.505431e-12,2.399331e-16,0.0,0.0,0.0,7.48e-16,2.4669596879701372e-14,1.8216664441893848e-12,1117.5425977858729,16.06488552763422,1.7063199798431786e-13,0.0005116802,3.7615922e-07,58099.367,0.7791937,-245.68782,0.0,0.0,0.0,-6.837644385288311e-13,2.505431e-12,2.399331e-16,0.0,0.0,0.0,7.48e-16,2.4669596879701372e-14,1.8216664441893848e-12,1117.5425977858729,16.06488552763422
9,9,10,407463.0,BAW680,50.6448778055482,-0.0031177417652088,273.684444208,6438.900000000001,0.6706752214529463,34610D,241.74983,13.357553,4.9336004,271.7385514519996,68397.67262564127,0.47714697323710853,0.996005094383816,72.47738939819261,75.2564825599026,1688.8196727902714,0.0003966605367912,44409.53957525199,0.8629570843327741,0.6039782449849385,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,19.150182624129737,2.8649312719001228,0.8718170628368631,37.62819789805397,20.441781208057417,36.28235539,1450000000000000.0,30.4448831226892,859.779167695057,1407.58433251308,0.0396660536791,0.0249524210248011,0.498002547191908,37.6282412799513,19.9580852974918,19.950171851616066,14.400100105118376,0.924182217499202,849382480177348.6,29.8169017532564,1291872472188838.5,0.0017964853615866328,1.7393534530797687e-05,3.16,35.8,2023-05-05 09:10:00,0.0003966605367912497,0.8629568990101506,0.0,9,444.0953957525199,0.0003966605367912497,13.357553,4.9336004,0.8629568990101506,0.24142168,1.2861042e-06,0.6399595760146765,896.5970460014751,16696.494033359326,-0.8904087613594637,0.4551617709060216,3.933622929277072,240.80092085550055,0.6337303402154368,inf,0.0,233.65791836000315,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00038773887,2.4067756e-07,62943.25,0.8338167,-247.4032,0.0,0.0,1.0000000000000002,-6.591526592054169e-13,2.1565189e-12,2.2948973e-16,0.0,0.0,0.0,7.48e-16,2.0443250031104408e-14,1.4973661766790433e-12,1119.27673868583,16.696494033359325,1.607550081326222e-13,0.00038773887,2.4067756e-07,62943.25,0.8338167,-247.4032,0.0,0.0,0.0,-6.591526592054169e-13,2.1565189e-12,2.2948973e-16,0.0,0.0,0.0,7.48e-16,2.0443250031104408e-14,1.4973661766790433e-12,1119.27673868583,16.696494033359325
