,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,1,801733.0,IGO1004,1.4106889349229954,104.0191171175605,120.379999896,586.74,0.6219228813082593,34610D,295.35596,5.4907565,-3.296568,120.0168323205562,69071.85498457607,0.29567640707760945,0.517569732259804,39.07076521743225,56.2330733765112,50.6110030777061,0.0156347051008382,94472.02900687772,0.7179137155505386,0.3255897101452688,0.491244631190331,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.144845700692983,2.4380375434734,0.3483585741141813,28.115916965403567,10.314348052611848,8.236769486222281,747503554169198.5,18.9525117177065,764.082740780257,1174.40334826048,1.56347051008,0.0197717295254625,0.258784866129902,28.1165366882556,13.0886307035827,12.887144007434427,20.48184018195936,0.5572174800380488,237927308712595.3,,,0.0005163249086054061,2.257520343714392e-06,2.8440000000000003,35.8,2023-02-06 02:01:00,0.01563470510083823,0.7179134295854497,0.0,0,944.7202900687771,0.01563470510083823,5.4907565,-3.296568,0.7179134295854497,1.9530271,0.0,1.114294412513621,870.9075406136299,7614.667628717853,0.9320395128137099,0.36235665656088395,6.824007902171686,247.3602145504146,0.8865258487671624,inf,0.0,242.6506532083883,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.015293001,2.5160138e-09,5869.5615,0.86266494,-166.18799,0.0,0.0,1.0,-1.013079119015549e-12,1.060168e-11,2.1218874e-16,0.0,-0.0,0.0,7.48e-16,1.256120066548391e-13,9.588601377874755e-12,1294.3264554434188,1.5374410128856946e-13,6.60619381363841e-14,4.404129209092273e-15,0.0,0.015293001,2.5160138e-09,5869.5615,0.86266494,-166.18799,0.0,0.0,0.0,-1.013079119015549e-12,1.060168e-11,2.1218874e-16,0.0,-0.0,0.0,7.48e-16,1.256120066548391e-13,9.588601377874755e-12,1294.3264554434188,1.5374410128856946e-13,6.60619381363841e-14,4.404129209092273e-15,0.0
1,1,2,801733.0,,1.4745127782828862,104.04393870359776,133.41259247733333,601.5917197452229,0.6250888574397038,34610D,295.2143,5.429634,-3.1320224,138.0485197861185,69032.78421935864,0.3211913982132769,0.849574194412558,61.94960410199566,87.1729817605844,1519.5710717238292,0.0156537896422767,94303.56884702292,0.7246824103809559,0.5162467008499638,0.7850182881836559,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.43921724182368,2.4772389584018017,0.4007931469214061,43.587249262465214,12.708571552259556,20.17957980793296,1311207246371980.2,27.5397628243044,829.17613767134,1361.15304840351,1.56537896423,0.0229236258485046,0.424787097206279,43.5864908802922,18.5305370107491,18.244934641828827,15.14305960289884,0.7898360722986996,604709729032072.4,,,0.0010890076016195724,7.825329925191163e-06,2.8440000000000003,35.8,2023-02-06 02:02:00,0.015653789642276737,0.7246830701044581,0.0,1,943.035688470229,0.015653789642276737,5.429634,-3.1320224,0.7246830701044581,1.9054937,0.0,1.1128411766439708,875.3407979319372,8116.674608168534,0.8118862591610064,-0.583815640579753,7.067997055761895,247.79244223308996,0.8937071211757122,inf,0.0,243.19368922962795,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.015315562,1.5711432e-08,6024.951,0.8694665,-170.49547,0.0,0.0,0.9999999999999999,-1.0120233061920443e-12,1.0568083e-11,2.1273917e-16,0.0,-0.0,0.0,7.479999999999999e-16,1.2518951780169912e-13,9.556059895273286e-12,1293.8622783439341,5.304718433774574e-13,1.0843856271985006e-13,7.229237514656669e-15,0.0,0.015315562,1.5711432e-08,6024.951,0.8694665,-170.49547,0.0,0.0,0.0,-1.0120233061920443e-12,1.0568083e-11,2.1273917e-16,0.0,-0.0,0.0,7.479999999999999e-16,1.2518951780169912e-13,9.556059895273286e-12,1293.8622783439341,5.304718433774574e-13,1.0843856271985006e-13,7.229237514656669e-15,0.0
2,2,3,801733.0,,1.5336845271932014,104.00137361944992,146.44518505866665,1047.1433121019109,0.6274129916548385,34610D,292.72772,7.317875,-0.7790148,150.86000581547844,68970.83461525664,0.3582571218298642,0.819514770674812,64.49275634909623,85.8273958099988,1522.1075434489246,0.0134464103802055,89361.70680416205,0.7035760296694111,0.5374396362424685,0.8406609662618023,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,30.473230448300217,4.161229005026612,0.4398447351589056,42.91408220765032,13.481077033538512,22.49858329327047,1420664802148402.5,28.8002393559184,849.25225883781,1241.24382961477,1.34464103802,0.0221116838962868,0.409757385337406,42.9136979049994,18.5312609957406,18.28538816254565,24.101768029451577,0.8745550911396189,555762641538403.5,24.315650311077064,1542360443425197.8,0.0006040827148917463,8.169181533734033e-06,2.8440000000000003,35.8,2023-02-06 02:03:00,0.013446410380205574,0.7035759684027695,0.0,2,893.6170680416205,0.013446410380205574,7.317875,-0.7790148,0.7035759684027695,1.9530495,0.0,1.063481780183461,878.5951833170445,8116.598342372834,0.8118941346415219,-0.5838046883459348,7.0711382584326845,247.7979198731767,0.847783165469105,inf,0.0,242.44178071046554,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.013147701,1.1731477e-08,10607.013,0.82706934,-174.51561,0.0,0.0,1.0,-9.854895626530155e-13,9.8334405e-12,2.145164e-16,0.0,-0.0,0.0,7.48e-16,1.1598587877586355e-13,8.84795095167671e-12,1293.4286163627446,2.628131862549125e-13,1.0460181635002656e-13,6.973454423335103e-15,0.0,0.013147701,1.1731477e-08,10607.013,0.82706934,-174.51561,0.0,0.0,0.0,-9.854895626530155e-13,9.8334405e-12,2.145164e-16,0.0,-0.0,0.0,7.48e-16,1.1598587877586355e-13,8.84795095167671e-12,1293.4286163627446,2.628131862549125e-13,1.0460181635002656e-13,6.973454423335103e-15,0.0
3,3,4,801733.0,IGO1004,1.5928562761035163,103.95880853530213,159.47777764,1492.6949044585988,0.6297280070529474,34610D,290.16452,8.495584,0.9704443,164.25655846963215,68906.34185890754,0.3727179644977325,0.888460494174848,74.55776975407429,88.9086805705928,7000.146243832595,0.0120628577916945,84631.66762616119,0.7192107061750498,0.621314747950619,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.760408144837022,2.587757086160236,0.4810140719793675,95.57112672528211,16.64137945578226,29.85984286774625,1546489001016799.8,29.04014101696785,862.3878205983544,1341.81866312647,1.0531450244545,0.0236734580695427,0.444230247087424,44.4543402852964,18.7504472855987,18.5558159196256,19.51186195325212,0.9368191934082772,578274240080427.8,24.01142678133512,1506665530760324.8,0.0008610813693943373,1.032038770271361e-05,2.8440000000000003,35.8,2023-02-06 02:04:00,0.012062857791694569,0.7192111062826517,0.0,3,846.3166762616119,0.012062857791694569,8.495584,0.9704443,0.7192111062826517,1.9952263,0.0,1.0160873382399571,881.8367976695581,9154.654061101975,0.7626660465466881,-0.6467924716977193,6.843154414944874,247.39462521847702,0.8460391297922277,inf,0.0,242.03375077905608,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.011790593,1.3527726e-07,15185.642,0.8245923,-177.96327,0.0,0.0,0.9999999999999999,-9.589889605556055e-13,9.121187e-12,2.2136513e-16,0.0,-0.0,0.0,7.48e-16,1.070779424675554e-13,8.162198257442011e-12,1292.9924434066045,3.7466291185463257e-13,1.1340196024704509e-13,7.560130683136337e-15,0.0,0.011790593,1.3527726e-07,15185.642,0.8245923,-177.96327,0.0,0.0,0.0,-9.589889605556055e-13,9.121187e-12,2.2136513e-16,0.0,-0.0,0.0,7.48e-16,1.070779424675554e-13,8.162198257442011e-12,1292.9924434066045,3.7466291185463257e-13,1.1340196024704509e-13,7.560130683136337e-15,0.0
4,4,5,801733.0,IGO1004,1.6540695966300318,103.90687330057575,173.367777628,3529.5840000000003,0.6319060493019978,34610D,279.31516,1.7076895,1.1781785,170.98448164436084,68831.78408915347,0.3725224670237696,0.957406217674884,66.32170676890641,91.9899653311868,2259.7145032062485,0.0076164901088944,65513.72471949614,0.7991493237838726,0.5526808897408868,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.723052114897225,2.6658538759931543,0.5103482516727734,45.99521700389446,16.922863532701378,33.90287765438492,1485748226080631.5,29.2800426780173,875.523382358899,1442.39349663817,0.761649010889,0.0252352322427986,0.478703108837442,45.9949826655934,18.9696335754568,18.826243676705538,14.921955877052667,0.9994678257393416,594477000959339.8,16.126459445574692,1212078546323837.5,0.001539607050214392,1.2673425547855516e-05,2.8440000000000003,35.8,2023-02-06 02:05:00,0.007616490108894417,0.7991489220216994,0.0,4,655.1372471949613,0.007616490108894417,1.7076895,1.1781785,0.7991489220216994,2.0199554,0.0,0.817109448444883,884.88660079875,10937.230704101195,0.7001003970091046,-0.714044420262279,5.275562906615703,244.24498582319876,0.8479967404882593,inf,0.0,239.0755388329904,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0074441386,1.6911505e-07,36255.746,0.8276504,-181.83824,0.0,0.0,0.9999999999999999,-8.375915642096497e-13,6.3783263e-12,2.2397346e-16,0.0,-0.0,0.0,7.479999999999999e-16,7.30015267527679e-14,5.540734868892923e-12,1292.541221405212,4.900323532448595e-13,1.2220210414406357e-13,8.14680694293757e-15,0.0,0.0074441386,1.6911505e-07,36255.746,0.8276504,-181.83824,0.0,0.0,0.0,-8.375915642096497e-13,6.3783263e-12,2.2397346e-16,0.0,-0.0,0.0,7.479999999999999e-16,7.30015267527679e-14,5.540734868892923e-12,1292.541221405212,4.900323532448595e-13,1.2220210414406357e-13,8.14680694293757e-15,0.0
5,5,6,801733.0,IGO1004,1.7228052171610169,103.83673569251752,186.743333172,4183.38,0.6338098436492641,34610D,274.9899,0.1596281,1.5812192,180.36716401186385,68765.46238238456,0.3848093473402371,0.974358729092902,64.20833376715095,91.6759573105604,2259.549664067649,0.0069457949996786,60181.00734168642,0.9460304359540784,0.5350694480595912,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.885293535397665,2.70162065290402,0.5425706783236671,45.83798824448502,16.84171430614636,35.0902605404988,1467909508272205.0,29.4228292779498,883.316908141482,1456.96755646907,0.694579499968,0.025763649516843,0.487179364546451,45.8379786552802,18.9095634229909,18.779127453426565,15.080874388291145,1.0,574444569280213.4,14.8803700974657,1128060394861316.2,0.0015739317803904098,1.2264109066900412e-05,2.8440000000000003,35.8,2023-02-06 02:06:00,0.006945794999678694,0.9460307245322814,0.0,5,601.8100734168642,0.006945794999678694,0.1596281,1.5812192,0.9460307245322814,2.0168622,3.4582754e-09,0.7624039867256165,887.5523608449566,11369.69839384247,0.7009670382757435,-0.7131936702263506,4.9400886785562825,243.46405577360377,0.9629204344522013,inf,0.0,240.706914145586,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0067839865,-8.685706e-08,43031.72,0.94051224,-186.66278,0.0,0.0,1.0,-7.984880377962072e-13,5.5494216e-12,2.1847983e-16,0.0,-0.0,0.0,7.479999999999998e-16,6.272861719994358e-14,4.750933643928667e-12,1292.034550242854,4.3715454696047174e-13,1.2436590100224476e-13,8.291060066816315e-15,0.0,0.0067839865,-8.685706e-08,43031.72,0.94051224,-186.66278,0.0,0.0,0.0,-7.984880377962072e-13,5.5494216e-12,2.1847983e-16,0.0,-0.0,0.0,7.479999999999998e-16,6.272861719994358e-14,4.750933643928667e-12,1292.034550242854,4.3715454696047174e-13,1.2436590100224476e-13,8.291060066816315e-15,0.0
6,6,7,801733.0,IGO1004,1.7943572998046875,103.76389842922404,194.974444276,4835.3133333333335,0.6356582480226851,34610D,271.89233,-0.8192976,1.5264977,191.1487576937076,68701.25404861741,0.39235187876008354,1.03189664161818,61.01554144274592,93.4090366357704,2531.994957699256,0.0054756891253243,55219.038742685225,0.8826449772124338,0.508462845356216,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.835390368967463,2.433123191381174,0.5782693906289083,46.70504750174908,16.887899468583978,35.58813639344351,1460429640616895.8,29.8765666472282,897.488561655523,1522.67300851959,0.547568912532,0.0270623088995473,0.51594832080909,46.7045183178852,19.0651996000874,18.961373016062133,13.379567889189245,1.0,562445294832929.8,13.826757238914835,1055675499790811.0,0.002117862403683539,1.200793045818008e-05,2.8440000000000003,35.8,2023-02-06 02:07:00,0.005475689125324346,0.8826456004378727,0.0,6,552.1903874268522,0.005475689125324346,-0.8192976,1.5264977,0.8826456004378727,2.0090153,9.202003e-08,0.7075128540255033,890.1405545833551,11931.049130967078,0.7011438520440351,-0.7130198445631456,4.583254088800028,242.58000098587132,0.8718682103434496,inf,0.0,237.8512104525675,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0053495686,-1.732295e-07,49814.81,0.84786457,-189.28447,0.0,0.0,0.9999999999999999,-7.593632591147657e-13,4.9144937e-12,2.242906e-16,0.0,-0.0,0.0,7.479999999999999e-16,5.4988985869555356e-14,4.1551304054699314e-12,1291.5027542711023,5.448410842763738e-13,1.3170996650844321e-13,8.780664433896214e-15,0.0,0.0053495686,-1.732295e-07,49814.81,0.84786457,-189.28447,0.0,0.0,0.0,-7.593632591147657e-13,4.9144937e-12,2.242906e-16,0.0,-0.0,0.0,7.479999999999999e-16,5.4988985869555356e-14,4.1551304054699314e-12,1291.5027542711023,5.448410842763738e-13,1.3170996650844321e-13,8.780664433896214e-15,0.0
7,7,8,801733.0,IGO1004,1.869444766287076,103.68749684300916,200.63333316,5562.6,0.6374369670239982,34610D,267.92337,-1.4951464,1.2179816,200.80276741141265,68640.23850717467,0.40647711477016146,0.865903322163604,58.04982050401168,77.300846283946,1979.042238723472,0.0044139409145398,50079.94046965324,0.9019079510370244,0.4837485042000973,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.977073308743163,2.326039138739411,0.6119579880630356,38.6495460074897,16.79722321805199,36.28235539,1450000000000000.0,26.2221127431107,878.713264649414,1457.93634417135,0.441394091454,0.0255145424611262,0.432951661081802,38.650423141973,16.968819321038,16.89424910369876,14.20962447838581,1.0,507172576812711.1,12.552061407070116,969066632937534.4,0.0017454418182696531,1.0827885109203456e-05,2.8440000000000003,35.8,2023-02-06 02:08:00,0.004413940914539804,0.9019079733747364,0.0,7,500.79940469653235,0.004413940914539804,-1.4951464,1.2179816,0.9019079733747364,2.0639987,3.3193294e-07,0.6511719065095477,892.6311635906345,12344.213494269052,0.7006804692162174,-0.7134752133458749,4.25174827501,241.70223698937642,0.857164535326361,inf,0.0,236.79396403377945,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.004312076,-1.3053904e-07,57402.203,0.85201466,-190.18614,0.0,0.0,1.0,-7.156352002114629e-13,4.234501e-12,2.2099988e-16,0.0,0.0,0.0,7.480000000000001e-16,4.671425779038795e-14,3.5188659926538434e-12,1290.9418747180453,3.191014379257e-13,1.1052279168471008e-13,7.368186112314005e-15,0.0,0.004312076,-1.3053904e-07,57402.203,0.85201466,-190.18614,0.0,0.0,0.0,-7.156352002114629e-13,4.234501e-12,2.2099988e-16,0.0,0.0,0.0,7.480000000000001e-16,4.671425779038795e-14,3.5188659926538434e-12,1290.9418747180453,3.191014379257e-13,1.1052279168471008e-13,7.368186112314005e-15,0.0
8,8,9,801733.0,IGO1004,1.9471435546875,103.6083317126258,208.34999982,6129.528,0.6391608402218046,34610D,264.39767,-3.6562762,-0.1277778,206.27890619129064,68582.18868667066,0.41039218112978654,0.817224453056218,56.20560302536564,71.7024587813592,1747.7364725721516,0.0034073349238904,46348.6728707049,0.8749811741673988,0.4683800252113803,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,13.90422721829846,2.0382577237541524,0.632824381490291,35.85141389375289,16.822343358304785,36.28235539,1450000000000000.0,24.6659531700177,871.928310336779,1466.79846822214,0.340733492389,0.0253740310939557,0.408612226528109,35.8512293906796,16.1035597779118,16.048875882627744,13.041048073053744,0.9825119357505564,496485728688154.3,11.470177606709102,896214101579282.2,0.001991160469975531,1.0101985116483322e-05,2.8440000000000003,35.8,2023-02-06 02:09:00,0.0034073349238904855,0.8749813625336251,0.0,8,463.48672870704905,0.0034073349238904855,-3.6562762,-0.1277778,0.8749813625336251,2.1875024,9.528646e-07,0.610691856010388,895.0449684347928,12641.761182441607,0.7011874084713596,-0.71297701099069,3.957669017098546,240.87126263168528,0.8034218833052361,inf,0.0,235.30782105134557,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.003329519,-8.378471e-08,63401.0,0.8164003,-191.43936,0.0,0.0,1.0,-6.810646340433676e-13,3.7412885e-12,2.1874564e-16,0.0,0.0,0.0,7.479999999999999e-16,4.0749658284074474e-14,3.060224049622964e-12,1290.3614894187053,2.9878038952702077e-13,1.0430948314079577e-13,6.953965542719717e-15,0.0,0.003329519,-8.378471e-08,63401.0,0.8164003,-191.43936,0.0,0.0,0.0,-6.810646340433676e-13,3.7412885e-12,2.1874564e-16,0.0,0.0,0.0,7.479999999999999e-16,4.0749658284074474e-14,3.060224049622964e-12,1290.3614894187053,2.9878038952702077e-13,1.0430948314079577e-13,6.953965542719717e-15,0.0
9,9,10,801733.0,IGO1004,2.02679443359375,103.5272889218088,212.979999816,6629.400000000001,0.6408443387010936,34610D,261.38,-5.6489415,-1.3758101,211.09155398516464,68525.98308364529,0.4166487293842431,0.657013417332654,51.720298652104375,57.1902349446352,1013.8185210320938,0.0027574086223707,43248.54735942331,0.8642119818506122,0.4310024887675364,0.9485621406674152,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,12.711521564238506,1.8716773754710925,0.6513162288276262,28.59585225108628,15.745501685524326,35.46451674908772,1462286847737724.8,20.9889416074142,844.744759851277,1390.04923591041,0.275740862237,0.023447036432058,0.328506708666327,28.5951174723176,14.01058550057,13.972058825093416,13.671600405210176,0.855510758787852,437143612352685.4,10.573528697453517,835390777254144.9,0.0016037527491878417,6.0291097202111815e-06,2.8440000000000003,35.8,2023-02-06 02:10:00,0.0027574086223707715,0.8642131820954183,0.0,9,432.4854735942332,0.0027574086223707715,-5.6489415,-1.3758101,0.8642131820954183,2.3507318,5.5963176e-07,0.5764234229538145,897.4022336605843,12914.546795885111,0.6657696000138174,-0.7461573826596113,3.730473518329553,240.1909615084161,0.7704065786704729,inf,0.0,234.3010970203066,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026958117,-1.7306328e-07,68667.02,0.81165296,-192.28737,0.0,0.0,1.0,-6.507265547040398e-13,3.3569096e-12,2.2427778e-16,0.0,0.0,0.0,7.48e-16,3.615265611543341e-14,2.7061829479403144e-12,1289.7638904332582,1.7108819957623483e-13,8.386035161116576e-14,5.59069010741105e-15,0.0,0.0026958117,-1.7306328e-07,68667.02,0.81165296,-192.28737,0.0,0.0,0.0,-6.507265547040398e-13,3.3569096e-12,2.2427778e-16,0.0,0.0,0.0,7.48e-16,3.615265611543341e-14,2.7061829479403144e-12,1289.7638904332582,1.7108819957623483e-13,8.386035161116576e-14,5.59069010741105e-15,0.0
