Unnamed: 0.1,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,2,adbb36,NKS2975,42.33370971679688,-71.06150540438568,102.8888888,701.0400000000001,-0.5131375785550056,34610D,276.88602,-1.986956,-8.8236265,96.12523594322155,67037.38571925568,0.2737211907503805,1.019916218525454,66.73806291422866,124.9732138774602,1609.6508413381612,0.0046987304817692,93181.80291069952,0.85037694551038,0.5561505242852389,0.6605318324124678,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,21.86843128633378,3.177510828276493,0.2881669081805884,62.48667926754637,16.006809705067827,20.541108380803028,1328271487189167.8,32.3693891537113,816.14534423228,1336.83168266744,0.469873048177,0.0234323878897588,0.509958109262727,62.4866069387301,21.7629595268695,21.661179482563707,15.13902267058898,0.7374208434122405,1178207552139543.8,,,0.0013637875818521,1.834443397751889e-05,3.16,35.8,2023-05-05 04:02:00,0.0046987304817692,0.8503761525853903,0.0,0,931.8180291069953,0.0046987304817692,-1.986956,-8.8236265,0.8503761525853903,0.14803518,1.4659762e-09,1.1723911437720247,0.0,7725.93080288237,-0.8195006120311534,-0.5730783078084224,5.96392049375426,245.7182959692081,0.8815312305078484,inf,0.0,240.99830289910045,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004592342,1.3329303e-07,7115.0703,0.8655266,-231.03252,0.0,0.0,1.0,-9.802028376515445e-13,7.73798e-12,2.2121217000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,8.882032107596943e-14,6.757777608129762e-12,1219.1912110679564,7.725930802882369,5.639834701178957e-13,0.004592342,1.3329303e-07,7115.0703,0.8655266,-231.03252,0.0,0.0,0.0,-9.802028376515445e-13,7.73798e-12,2.2121217000000003e-16,0.0,0.0,0.0,7.479999999999999e-16,8.882032107596943e-14,6.757777608129762e-12,1219.1912110679564,7.725930802882369,0.0
1,1,3,adbb36,NKS2975,42.276880296610166,-71.11520456713299,152.789999868,1203.96,-0.514376150529617,34610D,273.24146,-2.874162,-7.972619,125.94668769123552,66970.64765634145,0.3078692708339299,1.517179379316228,96.0,159.5871661709648,3565.592246169409,0.004329223797961,87673.12586169648,0.9910148492056516,0.8,0.9721290267339548,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.62228010048385,2.5670512206872265,0.3800762121455791,79.79403372481775,20.96240597637281,36.28235539,1450000000000000.0,41.6199147197146,871.866637362997,1565.58181053797,0.432922379796,0.0279144130232393,0.758589689658114,79.7935830854824,27.1755558329876,27.058413903581137,9.91999442265328,0.9822192752265224,1407243898742544.8,32.16818570964219,1889183359508292.8,0.0036917048301554,3.3666358737020544e-05,3.16,35.8,2023-05-05 04:03:00,0.004329223797961,0.9910147979633032,0.0,1,876.7312586169647,0.004329223797961,-2.874162,-7.972619,0.9910147979633032,0.121627964,8.09388e-07,1.1177954630869846,0.0,8772.56839360524,-0.9285345241436924,0.3712460605491279,5.886329756166768,245.5600092853252,0.9917967567667836,inf,0.0,244.1676899435881,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.004235197,2.5292186e-07,11945.649,0.9695584,-232.08405,0.0,0.0,1.0,-9.5385836665955e-13,6.945535e-12,2.3043357000000003e-16,0.0,0.0,0.0,7.48e-16,7.887022557788003e-14,5.991676309203288e-12,1219.7898097296709,8.772568393605239,2.013554990657218e-12,0.004235197,2.5292186e-07,11945.649,0.9695584,-232.08405,0.0,0.0,0.0,-9.5385836665955e-13,6.945535e-12,2.3043357000000003e-16,0.0,0.0,0.0,7.48e-16,7.887022557788003e-14,5.991676309203288e-12,1219.7898097296709,8.772568393605239,0.0
2,2,4,adbb36,NKS2975,42.20421225337659,-71.07598593068673,150.217777648,2316.48,-0.5160250977940999,34610D,267.37772,-2.774568,-6.3909993,155.0995782089076,66874.64765634145,0.3613643357039353,1.070934139902068,78.98038320639235,107.3689914950992,2404.77342371174,0.0030445967333206,76420.53006165694,0.99481868719961,0.6581698600532696,0.8584704853105043,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.61387967472644,3.0293210004902287,0.4731569697070497,53.68363370630521,17.931872525835878,31.69782340714613,1518875990451149.8,33.0673251162902,835.581208645783,1383.81272310906,0.304459673332,0.0243176614951194,0.535467069951034,53.6844957475496,22.0196777580156,21.952840212417765,14.103680963963392,0.8167674942690549,1197934040936349.8,30.14576233822952,1771769832350427.5,0.0016870354039757,1.941942933006981e-05,3.16,35.8,2023-05-05 04:04:00,0.0030445967333206,0.9948197934969076,0.0,2,764.2053006165694,0.0030445967333206,-2.774568,-6.3909993,0.9948197934969076,0.03803893,7.5669476e-07,0.9956971839517894,0.0,9611.46889465362,-0.8690383133027305,0.4947447928093282,5.55448002841592,244.8614118565194,0.9404494665872064,inf,0.0,241.39622206778787,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0029781936,7.4787255e-07,22614.965,0.93975085,-232.31107,0.0,0.0,1.0000000000000002,-8.954373910780807e-13,5.6563014e-12,2.68586e-16,0.0,0.0,0.0,7.48e-16,6.29078151245233e-14,4.76086377826379e-12,1220.5509863054936,9.61146889465362,5.160882434365932e-13,0.0029781936,7.4787255e-07,22614.965,0.93975085,-232.31107,0.0,0.0,0.0,-8.954373910780807e-13,5.6563014e-12,2.68586e-16,0.0,0.0,0.0,7.48e-16,6.29078151245233e-14,4.76086377826379e-12,1220.5509863054936,9.61146889465362,0.0
3,3,5,adbb36,NKS2975,42.12930970272775,-71.01849933003268,167.1944443,3063.24,-0.5177246524461133,34610D,263.9612,-1.8348358,-6.9312444,173.88763278875902,66795.66727313506,0.3799786691579533,0.7704622017604,58.638031256889846,72.4474824452236,1305.4762294683749,0.002484394871487,69546.28509278147,0.9948075581330316,0.488650260474082,0.6751669067150023,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.82514969514452,2.4819721386570595,0.5338949884756242,36.22280981412247,15.713783347910862,21.863804972311943,1390703103551873.8,25.7188880551032,797.609653202115,1290.89389567251,0.248439487149,0.0216890021294524,0.3852311008802,36.2237412226118,17.7615871205563,17.71756968130485,14.256975552204937,0.6676470526260695,782847740494409.4,28.999953098617564,1693487025912481.2,0.0014141421906122,1.162609492202028e-05,3.16,35.8,2023-05-05 04:05:00,0.002484394871487,0.9948095749006064,0.0,3,695.4628509278148,0.002484394871487,-1.8348358,-6.9312444,0.9948095749006064,0.0032354533,5.848112e-08,0.9178596774880032,0.0,11080.285114414322,-0.8202005681753433,0.5720760683378078,5.204086235629189,244.08236892943583,0.9095554842478388,inf,0.0,239.949930884341,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0024296467,7.548072e-07,29796.426,0.9406345,-232.3214,0.0,0.0,1.0,-8.561525034084626e-13,4.9512074e-12,2.6912055e-16,0.0,0.0,0.0,7.48e-16,5.42528364410256e-14,4.095055067630708e-12,1221.3329943485194,11.080285114414322,2.677043410039401e-13,0.0024296467,7.548072e-07,29796.426,0.9406345,-232.3214,0.0,0.0,0.0,-8.561525034084626e-13,4.9512074e-12,2.6912055e-16,0.0,0.0,0.0,7.48e-16,5.42528364410256e-14,4.095055067630708e-12,1221.3329943485194,11.080285114414322,0.0
4,4,6,adbb36,NKS2975,42.04761052535752,-70.94178665515989,199.089999828,3467.1000000000004,-0.5195400737080467,34610D,262.0253,-0.8454183,-8.267437,183.4039804726225,66737.02924187816,0.3966312848274481,0.998237611874062,76.2494429257838,92.8952649689978,2579.0178701338605,0.0021253987805452,66042.770723412,0.9599572197895524,0.6354120243815317,0.9052247747318404,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,20.60019415858628,3.046245496244287,0.5651898342378954,46.44832533948568,18.6411865227332,35.00245800970032,1469228614845238.0,31.2371993849673,840.138228933214,1368.26050092946,0.212539878055,0.0240935105284644,0.499118805937031,46.4476324844989,20.7159021242407,20.67196595301269,14.948658847911531,0.8360618095685437,1056795153793307.4,28.38717397808705,1652131053786645.5,0.0015397620952177,1.727330389372921e-05,3.16,35.8,2023-05-05 04:06:00,0.0021253987805452,0.9599579734776496,0.0,4,660.42770723412,0.0021253987805452,-0.8454183,-8.267437,0.9599579734776496,0.0013653607,1.7276653e-08,0.8780606342565249,0.0,12201.84212776877,-0.8219449188493326,0.5695669849787328,5.076746319420345,243.78768510037693,0.8611947899043405,inf,0.0,238.8353312566876,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.002081865,9.629777e-07,33709.73,0.9097275,-231.93454,0.0,0.0,1.0,-8.348342483223626e-13,4.5911695e-12,2.8516704000000005e-16,0.0,0.0,0.0,7.480000000000001e-16,4.986552223659991e-14,3.756335016092903e-12,1222.185961480596,12.20184212776877,3.464201318714331e-13,0.002081865,9.629777e-07,33709.73,0.9097275,-231.93454,0.0,0.0,0.0,-8.348342483223626e-13,4.5911695e-12,2.8516704000000005e-16,0.0,0.0,0.0,7.480000000000001e-16,4.986552223659991e-14,3.756335016092903e-12,1222.185961480596,12.20184212776877,0.0
5,5,7,adbb36,NKS2975,41.9575784974179,-70.85792009220563,205.7777776,4259.58,-0.5214683167600467,34610D,259.80582,0.6809574,-9.878724,190.7510862880955,66660.77979895238,0.4033228802558946,0.744505582084482,57.75105276996501,67.738447251658,1247.4153509850807,0.0011943565598339,59583.07384093393,0.5947223428199777,0.4812587730830417,0.7400609738232219,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,17.360872520092652,2.583395806035084,0.5903366980439335,33.86935994382623,15.916152078415577,25.09561100505764,1543245172300146.8,24.8235824317377,811.020424888712,1291.40529622588,0.119435655983,0.0220314500702543,0.372252791042241,33.869223625829,16.896427146429,16.876270861619894,15.427295000136583,0.7175267660854917,724607717833803.4,25.77837981941198,1572314712967511.5,0.0012865164158609,1.1146003970245803e-05,3.16,35.8,2023-05-05 04:07:00,0.0011943565598339,0.5947223970953958,0.0,5,595.8307384093393,0.0011943565598339,0.6809574,-9.878724,0.5947223970953958,0.0018888467,0.0,0.7989442537416916,0.0,12801.950611483831,-0.8650897885852082,0.5016170428579952,4.627838715199762,242.69372773560832,0.5220330926990274,inf,0.0,234.63029002990163,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0011693651,8.77994e-07,41411.93,0.56755966,-231.4359,0.0,0.0,1.0,-7.92642685271809e-13,4.0995735e-12,2.7861621e-16,0.0,0.0,0.0,7.48e-16,4.4016717606507594e-14,3.30693087639138e-12,1223.121976428204,12.801950611483832,1.9004640466563858e-13,0.0011693651,8.77994e-07,41411.93,0.56755966,-231.4359,0.0,0.0,0.0,-7.92642685271809e-13,4.0995735e-12,2.7861621e-16,0.0,0.0,0.0,7.48e-16,4.4016717606507594e-14,3.30693087639138e-12,1223.121976428204,12.801950611483832,0.0
6,6,8,adbb36,NKS2975,41.858001708984375,-70.78041770241475,227.384444248,4640.58,-0.5235022525776605,34610D,257.57114,2.187118,-10.692826,198.10827505212217,66603.02874618242,0.4038473108776947,1.09090897175532,76.22163988872474,95.69396091861,2792.3233952291703,0.0008859210157648,56665.10718470681,0.5151830719999009,0.6351803324060394,1.0,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,15.99509879077504,2.385094424448274,0.6157596812378552,47.84697632419486,20.4149758492938,36.28235539,1450000000000000.0,31.547542661746,862.08032706594,1486.11634092484,0.0885921015765,0.026321166435698,0.54545448587766,47.846980459305,20.7230362381619,20.704693515051947,11.608175440080633,0.935323556831706,980424512898824.8,25.11974912930173,1532974294400219.5,0.0026678945021832,2.0705446328418173e-05,3.16,35.8,2023-05-05 04:08:00,0.0008859210157648,0.5151833079160659,0.0,6,566.6510718470681,0.0008859210157648,2.187118,-10.692826,0.5151833079160659,0.005482508,0.0,0.7664096479907045,0.0,12932.714296879942,-0.96828920219839,-0.2498319853541684,4.403900173753724,242.1123677608145,0.4423819969970737,inf,0.0,233.6134632377103,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00086669135,5.338217e-07,45174.324,0.4854144,-231.12817,0.0,0.0,1.0,-7.721325953158324e-13,3.773134e-12,2.5208627e-16,0.0,0.0,0.0,7.48e-16,4.0013105712528926e-14,3.001001496115403e-12,1224.152320042909,12.932714296879942,5.240522957263455e-13,0.00086669135,5.338217e-07,45174.324,0.4854144,-231.12817,0.0,0.0,0.0,-7.721325953158324e-13,3.773134e-12,2.5208627e-16,0.0,0.0,0.0,7.48e-16,4.0013105712528926e-14,3.001001496115403e-12,1224.152320042909,12.932714296879942,0.0
7,7,9,adbb36,NKS2975,41.74562615863347,-70.81927632176598,209.378888708,5494.02,-0.5255076868906832,34610D,251.45457,2.7150571,-9.322758,207.4883564183417,66526.8071062937,0.4221041982444332,0.819652357338186,63.635289561447465,71.7525057572582,2087.214304886717,0.0005823126778361,50547.32103053465,0.5399949569401262,0.5302940796787289,0.8622744626417681,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.11672445507261,2.4081236952855107,0.6527113732764603,35.87683398794034,16.929728748770952,35.07213995692464,1468181743943346.8,25.9147937552853,826.523677626582,1358.09848949241,0.0582312677836,0.0235003631624457,0.409826178669093,35.8762528786291,17.4391423586171,17.428993234894502,13.875000043987034,0.7789197829839838,831831157449226.5,23.09300313543157,1418882637989567.2,0.0016531568540467,1.324645069578956e-05,3.16,35.8,2023-05-05 04:09:00,0.0005823126778361,0.5399959669412304,0.0,7,505.4732103053465,0.0005823126778361,2.7150571,-9.322758,0.5399959669412304,0.007118168,0.0,0.7002950539963819,0.0,12430.578898437592,-0.7042767810084202,-0.7099255001283007,4.05148469439087,241.14213121827825,0.4365336984636496,inf,0.0,232.6895638588283,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.0005694462,3.2381806e-07,53511.684,0.52571785,-232.79523,0.0,0.0,1.0,-7.263862114512214e-13,3.02146e-12,2.3589846000000003e-16,0.0,0.0,0.0,7.479999999999998e-16,3.081985938944577e-14,2.295073916997053e-12,1225.3146872291402,12.430578898437592,1.8659142526057646e-13,0.0005694462,3.2381806e-07,53511.684,0.52571785,-232.79523,0.0,0.0,0.0,-7.263862114512214e-13,3.02146e-12,2.3589846000000003e-16,0.0,0.0,0.0,7.479999999999998e-16,3.081985938944577e-14,2.295073916997053e-12,1225.3146872291402,12.430578898437592,0.0
8,8,10,adbb36,NKS2975,41.6669528767214,-70.9253710369731,213.49444426,6134.1,-0.5268981643144426,34610D,246.21408,3.0143535,-8.151666,207.2767913743356,66463.17181673224,0.4287351890409705,0.725314492784518,57.02684238481361,64.5574321185086,1929.5501263385804,0.0004358084476464,46319.52510881937,0.6233774401169674,0.4752236865401134,0.7796759761599182,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,16.14365280319393,2.414512380211585,0.6589484487655257,32.27859376407086,15.883145162215284,32.04691239295008,1513631431193463.5,23.6780457030389,810.875516343948,1308.62336101395,0.0435808447646,0.022602469042794,0.362657246392259,32.2787160592543,16.0450278996347,16.03803838702196,15.098491688259177,0.7169713181237239,725297254402905.0,21.00995208860176,1306726822699122.0,0.0013361171822599,1.1152678864140755e-05,3.16,35.8,2023-05-05 04:10:00,0.0004358084476464,0.6233780376108762,0.0,8,463.1952510881937,0.0004358084476464,3.0143535,-8.151666,0.6233780376108762,0.0068721445,0.0,0.6553807213685862,0.0,12894.637238011368,-0.7060505909466769,-0.7081613961688737,3.755237138991909,240.26686652513865,0.478481146000456,inf,0.0,232.1261325201356,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00042645723,3.2178582e-07,59799.44,0.6025113,-236.20605,0.0,0.0,1.0000000000000002,-6.918293677061624e-13,2.513731e-12,2.3574182000000003e-16,0.0,0.0,0.0,7.48e-16,2.4668462353733295e-14,1.8219015796604093e-12,1226.1213965572845,12.894637238011368,1.0593685291283931e-13,0.00042645723,3.2178582e-07,59799.44,0.6025113,-236.20605,0.0,0.0,0.0,-6.918293677061624e-13,2.513731e-12,2.3574182000000003e-16,0.0,0.0,0.0,7.48e-16,2.4668462353733295e-14,1.8219015796604093e-12,1226.1213965572845,12.894637238011368,0.0
9,9,11,adbb36,NKS2975,41.58511404263771,-71.0350426962209,218.124444256,6728.46,-0.5283243666946007,34610D,241.31236,3.151282,-7.0203147,203.91305453955985,66406.14497434742,0.4248636917688635,0.768103331644622,60.49818844162361,68.8661296578954,2192.215937007564,0.0003403078246873,42654.61853884109,0.7446786911052801,0.5041515703468634,0.8312198924505357,climb,15,GTF2035_wi,0,43031,1.237,3.16,3.16,14.49893364054244,2.1699059455138663,0.6548057292366644,34.432548755681,16.22879073630806,36.28235539,1450000000000000.0,23.9631803955877,814.794126213123,1361.77084088247,0.0340307824687,0.0237400238810404,0.384051665822311,34.4330648289477,16.1773917223827,16.171888302253475,13.451795640586752,0.732128084616272,816567552580320.2,18.91415174491604,1195092947415285.2,0.0016665912776379,1.2673991667862456e-05,3.16,35.8,2023-05-05 04:11:00,0.0003403078246873,0.7446789257737875,0.0,9,426.54618538841095,0.0003403078246873,3.151282,-7.0203147,0.7446789257737875,0.008221828,0.0,0.6157847710700174,0.0,13073.016020263154,-0.7085019961968824,-0.7057088077847923,3.4345532700372785,239.24762566601967,0.5445064843636226,inf,0.0,231.5921220616773,,,,,,,,,,,,,,0.0,0 days,,,,,,,,,,,,,,,,,,,,,0.0,0.00033319413,3.3420525e-07,65611.86,0.7253589,-239.69379,0.0,0.0,1.0,-6.598653778443423e-13,2.1230296e-12,2.3669915000000004e-16,0.0,0.0,0.0,7.48e-16,2.0005834075296957e-14,1.463164224448663e-12,1226.960565195673,13.073016020263154,1.1238104794544667e-13,0.00033319413,3.3420525e-07,65611.86,0.7253589,-239.69379,0.0,0.0,0.0,-6.598653778443423e-13,2.1230296e-12,2.3669915000000004e-16,0.0,0.0,0.0,7.48e-16,2.0005834075296957e-14,1.463164224448663e-12,1226.960565195673,13.073016020263154,0.0
