,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,-0.341867883990304,34610D,287.59473,7.681739,6.8549123,89.43144197437901,67670.18958069976,0.2370801520816843,1.052266721907166,63.03263806895406,123.0209955286558,1628.9069419315886,0.0066677867826819,89976.97737353944,0.5104868575242053,0.5252719839079505,0.7442296090534156,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.2630613258353137,61.51141823890416,15.005097662596242,21.62450550401396,1379408107634831.5,30.6818197380948,840.963501537862,1701.81563864875,0.666778678268,0.0259266379210842,0.526133360953583,61.5104977643279,20.2931580467562,20.1587438410176,0.66677867826819,0.8395230037247677,950305246696193.2,18.754649922898984,1408781041518684.2,0.01885556262730292,1.2769160529666296e-05,2.8440000000000003,35.8,2023-05-04 22:02:00,0.006667786782681912,0.5104869133411684,0.0,0,899.7697737353944,0.006667786782681912,7.681739,6.8549123,0.5104869133411684,0.9592364,0.0,1.0899157409758529,0.0,6667.509382517012,0.9966805091004685,0.0814123011542548,5.954344693009094,245.69886036819435,0.5861343558805375,inf,0.0,237.84431611697914,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0064938813,5.7363795e-08,10080.05,0.56898975,-235.2482,0.0,0.0,1.0000000000000002,-9.265452414096924e-13,9.1266075e-12,2.1536407e-16,0.0,0.0,0.0,7.48e-16,1.0756417660711388e-13,8.200062502655995e-12,1106.470381857314,6.667509382517013,9.76188629638518e-12,0.0064938813,5.7363795e-08,10080.05,0.56898975,-235.2482,0.0,0.0,0.0,-9.265452414096924e-13,9.1266075e-12,2.1536407e-16,0.0,0.0,0.0,7.48e-16,1.0756417660711388e-13,8.200062502655995e-12,1106.470381857314,6.667509382517013
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,-0.3419650339493256,34610D,282.7795,7.0918174,5.273583,108.37499777145248,67607.15694263081,0.2669843108469082,1.291043912550952,84.51364666727969,140.2639584374924,2715.2584357576065,0.0066961321695192,84781.45509278591,0.6946136617931155,0.7042803888939974,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3214861891704482,70.13198592964726,19.245936550978847,36.251310938811415,1450466398169240.0,35.7823093968326,872.597927425838,1788.67272353275,0.669613216952,0.0280508486839741,0.645521956275476,70.1319792187462,23.0125642025324,22.859494009317675,0.66961321695192,0.9856895105644304,1046258051774829.2,18.29019896769632,1373087615596981.0,0.02199310158450828,2.147675397860001e-05,2.8440000000000003,35.8,2023-05-04 22:03:00,0.006696132169519298,0.6946141018851391,0.0,1,847.814550927859,0.006696132169519298,7.0918174,5.273583,0.6946141018851391,1.0233852,0.0,1.0444686104150671,0.0,7473.160672911053,0.9768031916927631,0.2141390312363241,5.839553465738846,245.46368752599858,0.7619051770558847,inf,0.0,239.16633212564454,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006557831,5.9031844e-08,14969.261,0.7419772,-233.02039,0.0,0.0,1.0,-9.013857911626598e-13,8.113824e-12,2.1548787e-16,0.0,0.0,0.0,7.479999999999999e-16,9.472518714761948e-14,7.212438406058034e-12,1105.6460288830315,7.473160672911052,1.2287424495733423e-11,0.006557831,5.9031844e-08,14969.261,0.7419772,-233.02039,0.0,0.0,0.0,-9.013857911626598e-13,8.113824e-12,2.1548787e-16,0.0,0.0,0.0,7.479999999999999e-16,9.472518714761948e-14,7.212438406058034e-12,1105.6460288830315,7.473160672911052
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,-0.3420198041818196,34610D,277.30737,2.682775,3.757325,127.31674218306796,67522.64329596353,0.2966206993982413,1.208968706861638,81.59616832111797,124.2165418076462,2819.214642174805,0.0022764282263163,76639.32731338663,0.3276188403991873,0.6799680693426498,1.0,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.3813835865372847,62.10847569157378,20.532808826431875,36.28235539,1450000000000000.0,33.8072188447353,868.211195401605,1777.70834192249,0.227642822632,0.0276564358323776,0.604484353430819,62.1082709038231,21.8569145024517,21.807271813356824,0.22764282263163,0.965150458011873,977970879451528.4,16.92548381671691,1278692042690366.0,0.023175010454459403,1.8950261585856644e-05,2.8440000000000003,35.8,2023-05-04 22:04:00,0.002276428226316398,0.3276194481610459,0.0,2,766.3932731338663,0.002276428226316398,2.682775,3.757325,0.3276194481610459,1.0758854,0.0,0.9627925497451415,0.0,8125.8125102326585,0.8201398934232258,0.5721630495022725,5.4803071543864625,244.70021375301704,0.34100277800957074,inf,0.0,235.431114802702,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0022347404,6.066585e-07,23116.793,0.3183981,-230.6038,0.0,0.0,1.0,-8.596573690301466e-13,6.8990772e-12,2.5770075e-16,0.0,0.0,0.0,7.480000000000001e-16,7.951815819056041e-14,6.0394198029167265e-12,1104.7435095015971,8.125812510232658,1.015269798831394e-11,0.0022347404,6.066585e-07,23116.793,0.3183981,-230.6038,0.0,0.0,0.0,-8.596573690301466e-13,6.8990772e-12,2.5770075e-16,0.0,0.0,0.0,7.480000000000001e-16,7.951815819056041e-14,6.0394198029167265e-12,1104.7435095015971,8.125812510232658
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,-0.3423098287440861,34610D,272.2974,3.1965256,4.880956,142.0499633416729,67441.0471276424,0.3180456641732617,0.858735841465824,58.8050072905574,84.7922930854512,1802.9698760350136,0.0012425645743594,68873.98399781724,0.2415646853421923,0.4900417274213116,0.7541113927001911,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4294143987184007,42.39612335191049,15.978288478489578,24.47050613851264,1513740063218344.8,25.8736668904082,822.401232433466,1652.80646687448,0.124256457436,0.0246320695479882,0.429367920732912,42.3961465427256,17.4312564316375,17.40962384978883,0.12425645743594,0.7622781566147366,663513565930654.2,15.349417890893651,1171442055770580.8,0.01894616714396747,8.3855806513356e-06,2.8440000000000003,35.8,2023-05-04 22:05:00,0.0012425645743594333,0.24156465143324518,0.0,3,688.7398399781724,0.0012425645743594333,3.1965256,4.880956,0.24156465143324518,1.1080805,1.0405707e-08,0.8811587529204479,0.0,9048.399248069316,0.8267242315425097,0.5626073630698827,5.075233298674629,243.78414451122285,0.23955419522834906,inf,0.0,234.10311520189165,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012145836,2.8652462e-07,31553.996,0.2419005,-228.2807,0.0,0.0,0.9999999999999998,-8.165287339062203e-13,5.851271e-12,2.3306818e-16,0.0,0.0,0.0,7.48e-16,6.643271460441454e-14,5.034742032771523e-12,1103.919349689771,9.048399248069316,4.914840492544427e-12,0.0012145836,2.8652462e-07,31553.996,0.2419005,-228.2807,0.0,0.0,0.0,-8.165287339062203e-13,5.851271e-12,2.3306818e-16,0.0,0.0,0.0,7.48e-16,6.643271460441454e-14,5.034742032771523e-12,1103.919349689771,9.048399248069316
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,-0.342488913981688,34610D,268.0559,5.9668565,6.2911983,149.9428795843696,67382.24212035186,0.3292934399159949,0.899638519623204,62.55883511177335,87.1312032361584,2000.3561924040528,0.0020335007945395,64250.40779201729,0.5270674585388329,0.5213236259314445,0.8141268867615592,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4568465762153485,43.56590418997935,16.132641384577305,28.83840141459098,1561834687782002.8,26.648500628159,829.796616039992,1677.14335191527,0.203350079454,0.0252695604636391,0.449819259811602,43.5656016180792,17.8008343460843,17.76470979460221,0.2033500794539499,0.792403396970643,737999929994757.8,14.339214182104834,1102788507161635.2,0.01916815732473812,9.570215091625539e-06,2.8440000000000003,35.8,2023-05-04 22:06:00,0.0020335007945395814,0.5270675412562893,0.0,4,642.5040779201729,0.0020335007945395814,5.9668565,6.2911983,0.5270675412562893,1.1807228,7.64616e-07,0.8350124803057364,0.0,9736.546908630891,0.796178705015712,0.6050615420595693,4.817206922716195,243.16619992446843,0.5015674006568858,inf,0.0,234.9358740143242,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0019909986,6.778504e-08,36944.074,0.5119902,-226.57114,0.0,0.0,1.0,-7.889064195907383e-13,5.1300175e-12,2.1630883e-16,0.0,0.0,0.0,7.48e-16,5.739875179222658e-14,4.341110997489782e-12,1102.9876471467608,9.736546908630892,4.491594571702136e-12,0.0019909986,6.778504e-08,36944.074,0.5119902,-226.57114,0.0,0.0,0.0,-7.889064195907383e-13,5.1300175e-12,2.1630883e-16,0.0,0.0,0.0,7.48e-16,5.739875179222658e-14,4.341110997489782e-12,1102.9876471467608,9.736546908630892
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,-0.3426515836376492,34610D,263.2196,7.836463,6.8437552,157.88109676489051,67319.68328524008,0.3402623123216886,0.884263526054048,62.43325077382855,84.0453835198672,1920.576671847852,0.0023212048519101,59404.634976163914,0.8477723019234358,0.5202770897819046,0.8244558130533559,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.4854318110183138,42.02273371043445,15.975471113649863,31.20256152630799,1526316586940170.5,26.1288352021481,827.922724811978,1677.33376235567,0.232120485191,0.0253359986777351,0.442131763027024,42.0226917599336,17.4507335846825,17.410320663884182,0.23212048519101,0.7846498838342056,723291788808508.2,13.235199645398852,1027638161644447.0,0.018861159349027042,9.31982910085242e-06,2.8440000000000003,35.8,2023-05-04 22:07:00,0.0023212048519101413,0.8477735310183416,0.0,5,594.0463497616391,0.0023212048519101413,7.836463,6.8437552,0.8477735310183416,1.2393225,7.4409772e-06,0.7862208478045246,0.0,10422.131734241842,0.7498966969135705,0.661554944020613,4.529065246231861,242.4404483515843,0.7695101604278347,inf,0.0,236.40770194475843,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0022698496,2.513749e-07,42928.39,0.80791634,-225.65668,0.0,0.0,1.0000000000000002,-7.58294965248785e-13,4.3915618e-12,2.3031432e-16,0.0,0.0,0.0,7.48e-16,4.821078299461382e-14,3.6332668213404044e-12,1102.019853355809,10.422131734241843,3.6357887310134814e-12,0.0022698496,2.513749e-07,42928.39,0.80791634,-225.65668,0.0,0.0,0.0,-7.58294965248785e-13,4.3915618e-12,2.3031432e-16,0.0,0.0,0.0,7.48e-16,4.821078299461382e-14,3.6332668213404044e-12,1102.019853355809,10.422131734241843
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,-0.3428344249381093,34610D,259.24194,9.433861,5.69526,166.4387844202557,67257.25003446625,0.35081494215552433,0.867245574314986,62.04874155209076,80.614669372348,1919.106244093652,0.0021014693086749,55026.440867802725,1.0174482593769782,0.517072846267423,0.839908604482375,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5156548767723769,40.30713421315879,15.95220593084263,33.49511943576422,1491874206066622.5,25.5547634483479,828.011825824682,1680.34882371957,0.210146930867,0.0254298198685936,0.433622787157493,40.307334686174,17.0517443457406,17.015985773879944,0.21014693086749,0.7850185529768656,708442753582846.0,12.30646017418705,963446908946746.0,0.018818521943473047,9.13129866022127e-06,2.8440000000000003,35.8,2023-05-04 22:08:00,0.0021014690497902114,1.017447936646746,1.0,6,550.2644086780273,0.0021014690497902114,9.433861,5.69526,1.017447936646746,1.2462829,3.6354482e-05,0.7394496528703022,0.0,10810.56932148757,0.7487558998275375,0.6628458361289257,4.262656050692871,241.73206839132223,0.8881539685244899,inf,0.0,237.3092559464732,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0020406365,3.9749557e-07,48652.742,0.9720471,-225.11784,0.0,0.0,0.9999999999999999,-7.290421622092007e-13,3.8193194e-12,2.415778e-16,0.0,0.0,0.0,7.479999999999998e-16,4.116318060489794e-14,3.090277139264307e-12,1101.0439298378985,10.81056932148757,3.026051267435542e-12,0.0020406365,3.9749557e-07,48652.742,0.9720471,-225.11784,0.0,0.0,0.0,-7.290421622092007e-13,3.8193194e-12,2.415778e-16,0.0,0.0,0.0,7.479999999999998e-16,4.116318060489794e-14,3.090277139264307e-12,1101.0439298378985,10.81056932148757
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,-0.3429677887846079,34610D,255.21533,9.709833,5.443989,173.617069485074,67195.20129291416,0.3597895767899958,0.82305199158913,59.42909322955122,75.2197461756154,1842.321126232736,0.0015005868317595,50913.27576770084,0.9774000923155244,0.4952424435795935,0.8238266819642599,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5421210209760192,37.60928692151154,15.77762017163245,33.800237427098054,1487290247674320.0,24.3847100051031,822.982196820102,1669.91683670536,0.150058683176,0.0251998396207,0.411525995794565,37.6098730878077,16.3305005900325,16.306031973175305,0.15005868317595,0.7645951256501089,648567745270082.8,11.343802905747635,897225874175736.5,0.01854663298237496,8.213719099399082e-06,2.8440000000000003,35.8,2023-05-04 22:09:00,0.0015005868317595362,0.9774011862877181,0.0,7,509.1327576770084,0.0015005868317595362,9.709833,5.443989,0.9774011862877181,0.84714323,2.6236356e-05,0.6949710786762454,0.0,11147.298906109525,0.7476758120633196,0.6640639126284876,3.997246595735476,240.98621872639694,0.8200226570925275,inf,0.0,235.61658777448804,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0014667629,1.9722617e-07,54432.31,0.93509007,-225.2268,0.0,0.0,1.0,-6.995431154364609e-13,3.3167785e-12,2.2614035e-16,0.0,0.0,0.0,7.479999999999999e-16,3.4998200280926903e-14,2.6172353793187577e-12,1100.0330219633406,11.147298906109524,2.3971012630744275e-12,0.0014667629,1.9722617e-07,54432.31,0.93509007,-225.2268,0.0,0.0,0.0,-6.995431154364609e-13,3.3167785e-12,2.2614035e-16,0.0,0.0,0.0,7.479999999999999e-16,3.4998200280926903e-14,2.6172353793187577e-12,1100.0330219633406,11.147298906109524
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,-0.3430543138701941,34610D,251.50423,9.367848,6.4469833,178.592120991387,67135.77219968461,0.36633875591571136,0.769761994144234,55.913765670450616,69.6346621918638,1640.667972126172,0.0010439910349645,47200.44144697906,0.899665836544196,0.4659480472537551,0.7942357165972667,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5617548684114894,34.81694282575141,15.43276363374366,33.18157686690406,1496584731603276.8,22.9970836979286,815.823684467772,1654.22392169499,0.104399103496,0.024856578043372,0.384880997072117,34.8173310959319,15.4840701081436,15.46792173652114,0.10439910349645,0.7361608931127536,578343830144390.5,10.339514050878776,828709055956526.1,0.018055227559559302,7.131621203920918e-06,2.8440000000000003,35.8,2023-05-04 22:10:00,0.0010439910349645722,0.8996654772601614,0.0,8,472.0044144697906,0.0010439910349645722,9.367848,6.4469833,0.8996654772601614,0.5364053,2.0642288e-05,0.6537974396030539,0.0,11484.907125089065,0.7476053739662908,0.6641432110747819,3.742576640447802,240.22811533105272,0.7276481909768907,inf,0.0,233.91354814962128,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0010185087,3.4880327e-07,59980.363,0.8379129,-226.24692,0.0,0.0,1.0,-6.712528885993049e-13,2.9085354e-12,2.3782443e-16,0.0,0.0,0.0,7.48e-16,3.007049588559731e-14,2.2372824202607237e-12,1098.9857612252515,11.484907125089064,1.8656556667342e-12,0.0010185087,3.4880327e-07,59980.363,0.8379129,-226.24692,0.0,0.0,0.0,-6.712528885993049e-13,2.9085354e-12,2.3782443e-16,0.0,0.0,0.0,7.48e-16,3.007049588559731e-14,2.2372824202607237e-12,1098.9857612252515,11.484907125089064
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,-0.3430908741114171,34610D,248.38997,9.371316,7.5618143,182.8562767874903,67079.85843401415,0.3715824435889468,0.704716950123136,51.319541394100135,63.155106010265,1465.5920978042095,0.0007130639650051,44081.94845354482,0.7798629857356552,0.4276628449508344,0.7473442721890464,climb,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.5787620599951435,31.57701865216535,14.899360597109144,31.03621298866042,1528815734145038.2,21.3506255825828,805.546113532106,1629.37101438821,0.0713063965005,0.0242983174270078,0.352358475061568,31.5775530051325,14.5013528661008,14.491019842035271,0.07130639650051,0.6967757157379841,491376842819623.1,9.48790848446538,770228116102795.1,0.017346432167235026,5.810966094867348e-06,2.8440000000000003,35.8,2023-05-04 22:11:00,0.0007130639650051806,0.7798630924375208,0.0,9,440.8194845354482,0.0007130639650051806,9.371316,7.5618143,0.7798630924375208,0.2355455,9.551391e-06,0.6182571906981552,0.0,11757.48582909717,0.7464831767142834,0.6654042882958839,3.5234684652724146,239.53839556558188,0.611623509194941,inf,0.0,232.31992134729438,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00069683586,3.13731e-07,64864.82,0.7248112,-227.34811,0.0,0.0,1.0,-6.463591973668192e-13,2.596366e-12,2.3512094e-16,0.0,0.0,0.0,7.48e-16,2.6333211297104075e-14,1.9500069510609984e-12,1097.9065678324232,11.75748582909717,1.4302510966938016e-12,0.00069683586,3.13731e-07,64864.82,0.7248112,-227.34811,0.0,0.0,0.0,-6.463591973668192e-13,2.596366e-12,2.3512094e-16,0.0,0.0,0.0,7.48e-16,2.6333211297104075e-14,1.9500069510609984e-12,1097.9065678324232,11.75748582909717
