,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,fuel_flow_corrected,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,1,-46.394907633463504,-23.51553706799524,3924.3,e80338,SKX5563,150.732222092,-0.7712224601322026,34610D,275.7814,10.653723,-4.202705,162.2407677600595,73616.68434015602,0.4010932728739393,1.0210393267449582,66.44642621740132,111.3207932565968,2738.10990067777,0.0065429748911861,62250.43576468452,0.8645709613686444,0.5537202184783444,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,25.86581419871585,3.710632756965092,0.4873429635754644,55.660783287670704,17.184580709161104,36.13342298775715,1452237494852933.5,32.7146597211244,885.712782607496,1342.28079432543,0.654297489119,0.0211418986935822,0.539930953807507,55.6603966282984,25.5384325520114,25.372421435629487,15.278966901847175,0.9612401937598674,706298106579581.0,1.0210393267449582,0.001937480503733352,1.3534154790464156e-05,2.8440000000000003,35.8,2023-02-06 03:01:00,0.0065429748911861995,0.864571923496574,0.0,0,622.5043576468452,0.0065429748911861995,10.653723,-4.202705,0.864571923496574,0.390363,4.041831e-07,0.7863572093363475,0.0,9537.146941901803,-0.4305476864931945,-0.9025678310550171,5.247086223163395,244.18043397091233,0.8867558545956166,inf,0.0,239.62163986071266,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.006394921,-3.0926446e-07,40456.676,0.8660072,-241.4752,0.0,0.0,0.9999999999999999,-8.261925482579139e-13,5.7729646e-12,2.3477662e-16,0.0,0.0,0.0,7.479999999999999e-16,6.529081295558421e-14,4.946772025362418e-12,1349.7218382538106,5.871552621199825e-13,1.3032415273538823e-13,8.688276849025881e-15,0.0,0.006394921,-3.0926446e-07,40456.676,0.8660072,-241.4752,0.0,0.0,0.0,-8.261925482579139e-13,5.7729646e-12,2.3477662e-16,0.0,0.0,0.0,7.479999999999999e-16,6.529081295558421e-14,4.946772025362418e-12,1349.7218382538106,5.871552621199825e-13,1.3032415273538823e-13,8.688276849025881e-15,0.0
1,1,2,-46.47906033497935,-23.552313335871304,4716.780000000001,e80338,SKX5563,159.992222084,-0.7710208750914616,34610D,271.98062,12.88418,-6.2638745,172.4874976124096,73550.23791393862,0.42259277589685185,1.0687863599156489,62.68261184136534,115.4792054055342,3125.2628258583054,0.0054317410615875,56095.647368712234,0.8829594828317089,0.5223550986780445,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.672136706045364,3.133103071068239,0.5217300658129955,57.73964620254934,17.029198492415063,36.28235538999999,1450000000000000.0,33.6816079549834,918.625515382668,1450.75738825588,0.543174106159,0.0231272929844365,0.598471633512566,57.7396027027671,25.8772885315765,25.737489154911607,12.716479171817548,1.052956650199652,720895450658145.0,1.0687863599156489,0.003202880318972241,1.5540664472855123e-05,2.8440000000000003,35.8,2023-02-06 03:02:00,0.0054317410615875574,0.8829600566991496,0.0,1,560.9564736871223,0.0054317410615875574,12.88418,-6.2638745,0.8829600566991496,0.31975713,2.1799447e-06,0.7185113844224286,0.0,9596.215333846398,-0.42451417959346743,-0.9054212894139861,4.899681129967687,243.36684298578396,0.8729260310851761,inf,0.0,238.6170103435596,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.005321594,-1.995357e-07,48653.312,0.85083103,-240.73969,0.0,0.0,0.9999999999999999,-7.773333726575129e-13,4.981985e-12,2.2631836e-16,0.0,0.0,0.0,7.479999999999999e-16,5.56347904522396e-14,4.204651698622669e-12,1349.6130686338795,8.636005091661135e-13,1.3641852293309274e-13,9.094568195539514e-15,0.0,0.005321594,-1.995357e-07,48653.312,0.85083103,-240.73969,0.0,0.0,0.0,-7.773333726575129e-13,4.981985e-12,2.2631836e-16,0.0,0.0,0.0,7.479999999999999e-16,5.56347904522396e-14,4.204651698622669e-12,1349.6130686338795,8.636005091661135e-13,1.3641852293309274e-13,9.094568195539514e-15,0.0
2,2,3,-46.56394526643573,-23.588763738082665,5615.9400000000005,e80338,SKX5563,159.47777764,-0.7708142557553138,34610D,267.40515,13.373871,-5.0450635,182.27296921307075,73487.55530209726,0.3959171192927375,0.8999488014948469,58.82035685806319,86.2081356035588,1819.804994371937,0.0036157075167525,49718.84686406126,0.7668215568446131,0.4901696404838599,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.569633817256733,3.011071292978608,0.5560253282335649,43.104537333844256,17.04546192838586,36.28235538999999,1450000000000000.0,27.226569561569,870.517304091499,1321.22857149063,0.361570751675,0.020353039662478,0.439668787019269,43.1040678017794,21.6021191090108,21.52429355899675,14.35074667852018,0.9176001801708368,576344983839510.4,0.8999488014948469,0.002024809278744549,9.708227559770953e-06,2.8440000000000003,35.8,2023-02-06 03:03:00,0.003615707516752512,0.7668224198523838,0.0,2,497.18846864061265,0.003615707516752512,13.373871,-5.0450635,0.7668224198523838,0.20845555,1.0276875e-06,0.647729577843586,0.0,9853.913159025033,-0.4250902117609422,-0.9051509884350993,4.14445799022544,241.40514228286534,0.7251069283821684,inf,0.0,234.99266780852915,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0035467227,-4.0883236e-07,57996.414,0.7225846,-240.42743,0.0,0.0,1.0,-7.216506247760534e-13,4.171874e-12,2.4245167e-16,0.0,0.0,0.0,7.480000000000001e-16,4.5843350595879615e-14,3.450222994723351e-12,1349.5052627953908,3.7722489030734606e-13,1.1486831308833638e-13,7.657887539222424e-15,0.0,0.0035467227,-4.0883236e-07,57996.414,0.7225846,-240.42743,0.0,0.0,0.0,-7.216506247760534e-13,4.171874e-12,2.4245167e-16,0.0,0.0,0.0,7.480000000000001e-16,4.5843350595879615e-14,3.450222994723351e-12,1349.5052627953908,3.7722489030734606e-13,1.1486831308833638e-13,7.657887539222424e-15,0.0
3,3,4,-46.65137093022184,-23.626355833926453,6137.910000000001,,,172.68185170266668,-0.7705844861891551,34610D,263.8185,12.31933,-2.972211,192.424376933814,73428.7349452392,0.39892286836592417,0.8515682677821937,57.1935141649573,77.8568361143952,1700.6210001373302,0.0026700284413178,46295.246647158914,0.720724085443584,0.4766126180413108,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.96492361473859,3.08876159988938,0.5909689369099991,38.928444498797695,17.11143313818246,36.28235538999999,1450000000000000.0,25.6782056621521,861.598986242556,1282.87631377572,0.267002844132,0.0196819980531114,0.402503939365588,38.9284180571976,20.4503596778864,20.395902039355,15.41103321812283,0.8908215269151396,529986769123054.7,0.8515682677821937,0.0017204554868191788,8.211599737482227e-06,2.8440000000000003,35.8,2023-02-06 03:04:00,0.0026700284413178894,0.7207244841730476,0.0,3,462.95246647158916,0.0026700284413178894,12.31933,-2.972211,0.7207244841730476,0.16375968,5.443211e-07,0.6113270379199663,0.0,10648.381250946317,-0.028444387257436043,-0.9995953765567092,3.875217881097952,240.62847063526294,0.6580390392552458,inf,0.0,233.68731933232144,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0026229578,-5.8457124e-07,63491.145,0.6731374,-240.39749,0.0,0.0,1.0,-6.888998583448839e-13,3.6978684e-12,2.559982e-16,0.0,0.0,0.0,7.480000000000001e-16,4.012058932601477e-14,3.0089685480593654e-12,1349.3940802797767,2.645037350420076e-13,1.0869308369233649e-13,7.246205579489098e-15,0.0,0.0026229578,-5.8457124e-07,63491.145,0.6731374,-240.39749,0.0,0.0,0.0,-6.888998583448839e-13,3.6978684e-12,2.559982e-16,0.0,0.0,0.0,7.480000000000001e-16,4.012058932601477e-14,3.0089685480593654e-12,1349.3940802797767,2.645037350420076e-13,1.0869308369233649e-13,7.246205579489098e-15,0.0
4,4,5,-46.75574200708161,-23.62904189804854,6625.59,,,185.88592576533333,-0.7707153613811495,34610D,260.54376,11.7005625,-1.7012408,198.92219306613805,73371.54143107423,0.4105694343560897,0.8901598977794312,55.73591920648809,81.025148979937,1874.5206081616432,0.0019054482261947,43271.52378881695,0.6443785707359995,0.4644659933874007,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.43802832012076,3.026760643208622,0.6147522279927636,40.51279403964591,17.123221927380058,36.28235538999999,1450000000000000.0,26.5460990345143,880.716688990773,1329.68067437305,0.190544822619,0.0207006753362546,0.431818627202004,40.5125744899685,20.860122686226,20.820450395950463,14.727985587096502,0.9469120481944596,530796665158048.8,0.8901598977794312,0.0020708825836256127,9.758545293442186e-06,2.8440000000000003,35.8,2023-02-06 03:05:00,0.001905448226194731,0.644378884368716,0.0,4,432.7152378881695,0.001905448226194731,11.7005625,-1.7012408,0.644378884368716,0.13249668,3.307244e-07,0.5785807251423567,0.0,11699.443548113244,0.3434220995131197,-0.939181165465961,3.6912513283828843,240.0698207174055,0.5697367024508895,inf,0.0,232.51989725695643,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018673658,-5.0912314e-07,68607.49,0.5981348,-239.41833,0.0,0.0,0.9999999999999998,-6.584201357714602e-13,3.3077191e-12,2.501824e-16,0.0,0.0,0.0,7.480000000000002e-16,3.543906838256871e-14,2.649298920979831e-12,1349.3861359670302,2.93025701160148e-13,1.1361886994789748e-13,7.57459132985983e-15,0.0,0.0018673658,-5.0912314e-07,68607.49,0.5981348,-239.41833,0.0,0.0,0.0,-6.584201357714602e-13,3.3077191e-12,2.501824e-16,0.0,0.0,0.0,7.480000000000002e-16,3.543906838256871e-14,2.649298920979831e-12,1349.3861359670302,2.93025701160148e-13,1.1361886994789748e-13,7.57459132985983e-15,0.0
5,5,6,-46.86345418294269,-23.59291076660156,7162.8,e80338,SKX5563,199.089999828,-0.7712663087218934,34610D,257.06372,11.477596,-0.9754995,206.17512003334969,73315.80551186774,0.4137327088018737,0.8852269647812939,54.032638738221735,78.3405601105142,1729.3571810788176,0.0012944734985126,40127.886851424635,0.5588054513098808,0.4502719894851811,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,20.46775283554441,3.043667961711942,0.6414651588177998,39.16995291855135,17.043442487456723,36.28235539,1450000000000000.0,25.9747358858787,885.236826614006,1330.92080782745,0.129447349851,0.020886831421385,0.423916004976011,39.1702800552571,20.2958503577515,20.26961188234467,15.145363684998516,0.9598836506365156,503738416319247.9,0.8852269647812939,0.002024798783177637,9.61525505510663e-06,2.8440000000000003,35.8,2023-02-06 03:06:00,0.0012944734985126357,0.5588055864503749,0.0,5,401.2788685142464,0.0012944734985126357,11.477596,-0.9754995,0.5588055864503749,0.1066913,4.5763638e-08,0.5438109536346832,0.0,12108.452584480177,0.3185508831008655,-0.947905762655581,3.4397442198370722,239.26478313196537,0.4774480026624251,inf,0.0,231.19687255613357,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012640313,-2.8082974e-07,74133.28,0.540133,-238.42548,0.0,0.0,1.0,-6.25513443206659e-13,2.9246141e-12,2.325848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.086889302345506e-14,2.2991006332984497e-12,1349.492997529177,2.4725537255299114e-13,1.1298923669416946e-13,7.532615779611296e-15,0.0,0.0012640313,-2.8082974e-07,74133.28,0.540133,-238.42548,0.0,0.0,0.0,-6.25513443206659e-13,2.9246141e-12,2.325848e-16,0.0,0.0,0.0,7.480000000000001e-16,3.086889302345506e-14,2.2991006332984497e-12,1349.492997529177,2.4725537255299114e-13,1.1298923669416946e-13,7.532615779611296e-15,0.0
6,6,7,-46.975962320963504,-23.55821228027344,7658.1,e80338,SKX5563,206.292222044,-0.7717910195957159,34610D,253.72362,12.24984,-0.77414685,214.2471808835882,73261.77287312952,0.420051678096411,0.914549176492404,52.51164923007165,79.0757115044266,2022.1273598370533,0.000847249141077,37395.86563801814,0.467041257819569,0.4375970769172637,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.135641992686622,2.854133642660732,0.6709526784383653,39.53729422422313,16.943451856011595,36.28235538999999,1450000000000000.0,26.3445583766121,904.52159397149,1385.10716304724,0.0847249141077,0.0219813376312283,0.447344982692481,39.5378557522133,20.3511264963671,20.333898618228066,14.121057524235797,1.0146626870080837,497005461390706.56,0.914549176492404,0.0025311615739334464,1.0640561586199284e-05,2.8440000000000003,35.8,2023-02-06 03:07:00,0.0008472491410770524,0.4670417257974474,0.0,6,373.9586563801814,0.0008472491410770524,12.24984,-0.77414685,0.4670417257974474,0.090798795,0.0,0.5134582549137956,0.0,12362.382706523455,0.31537134201562644,-0.948968343326195,3.239234899136306,238.5847558090805,0.38611472315828665,inf,0.0,230.07086869550565,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008644865,-2.4552486e-07,79424.53,0.44766676,-237.49336,0.0,0.0,1.0,-5.939996021474549e-13,2.6358514e-12,2.2986338e-16,0.0,0.0,0.0,7.48e-16,2.752193742005816e-14,2.041851849712993e-12,1349.5956218950541,2.835975077936936e-13,1.1673188626454454e-13,7.782125750969636e-15,0.0,0.0008644865,-2.4552486e-07,79424.53,0.44766676,-237.49336,0.0,0.0,0.0,-5.939996021474549e-13,2.6358514e-12,2.2986338e-16,0.0,0.0,0.0,7.48e-16,2.752193742005816e-14,2.041851849712993e-12,1349.5956218950541,2.835975077936936e-13,1.1673188626454454e-13,7.782125750969636e-15,0.0
7,7,8,-47.09089799360794,-23.52314758300781,8237.220000000001,e80338,SKX5563,207.321110932,-0.7723121685985996,34610D,249.65881,12.007068,-0.45478413,219.6318003559151,73209.26122389945,0.41667970788135694,0.8547876457005338,51.04059446282322,71.5177435159726,1780.0636227655878,0.0004636947326445,34394.55476608665,0.3488852666589122,0.4253382871901935,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,18.31626741288565,2.738946955211783,0.6933922361540039,35.758760471065415,16.796146171455177,36.28235539,1449999999999999.8,24.3770446674092,890.129455520957,1352.15544672704,0.0463694732645,0.0212686805717455,0.404236685610952,35.7588717579863,19.0061947776846,18.99738578995978,14.463863466881882,0.9738745516681876,465345417842734.9,0.8547876457005338,0.002233398572258665,9.242391355538432e-06,2.8440000000000003,35.8,2023-02-06 03:08:00,0.0004636947326445942,0.34888549165796406,0.0,7,343.9455476608665,0.0004636947326445942,12.007068,-0.45478413,0.34888549165796406,0.07830748,0.0,0.4799381184944683,0.0,12525.288811002994,0.3164648412131288,-0.9486042400685067,2.961059655227025,237.5768527669419,0.27707656256675817,inf,0.0,228.62175057460624,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00045999643,-2.2558334e-07,85406.45,0.3418028,-236.93912,0.0,0.0,1.0,-5.583668356498957e-13,2.336582e-12,2.2832623e-16,0.0,0.0,0.0,7.480000000000001e-16,2.4093123676401145e-14,1.7782151889455784e-12,1349.6993293676946,2.0368546401343504e-13,1.0910400096902968e-13,7.273600064601977e-15,0.0,0.00045999643,-2.2558334e-07,85406.45,0.3418028,-236.93912,0.0,0.0,0.0,-5.583668356498957e-13,2.336582e-12,2.2832623e-16,0.0,0.0,0.0,7.480000000000001e-16,2.4093123676401145e-14,1.7782151889455784e-12,1349.6993293676946,2.0368546401343504e-13,1.0910400096902968e-13,7.273600064601977e-15,0.0
8,8,9,-47.207303133877815,-23.48748779296875,8747.76,e80338,SKX5563,210.407777596,-0.772833411940699,34610D,245.46204,11.448454,-0.20785995,222.9290681899257,73158.22062943663,0.414443980483774,0.826291425004879,50.27782230075496,67.7455571069012,1562.8286229107057,0.0002951364119875,31913.2970959831,0.3140033566559261,0.4189818525062913,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.45792325334225,2.613536019171592,0.7097930687330692,33.87180738158145,16.678789756730204,36.28235539,1450000000000000.0,23.2818505040568,885.686718806199,1347.73053984975,0.0295136411988,0.0211842646385986,0.38543981751691,33.8727785534506,18.1946281399178,18.18925982703574,14.398080828781302,0.961165908172751,448563019627133.25,0.826291425004879,0.0021886868083512505,8.593582380402567e-06,2.8440000000000003,35.8,2023-02-06 03:09:00,0.00029513641198755517,0.3140036427504273,0.0,8,319.1329709598311,0.00029513641198755517,11.448454,-0.20785995,0.3140036427504273,0.066146776,2.29495e-08,0.45292864163600494,0.0,12767.491119874136,0.31756288982673087,-0.9482372124130625,2.7365579778740527,236.70036904580067,0.2392294065970288,inf,0.0,227.65379766422745,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00030190687,-2.2481761e-07,90815.49,0.30065745,-236.37929,0.0,0.0,0.9999999999999999,-5.261431538044402e-13,2.1291718e-12,2.282672e-16,0.0,0.0,0.0,7.48e-16,2.1815640185253222e-14,1.6030286913308682e-12,1349.8035107524047,1.7394398365916913e-13,1.0546677983459875e-13,7.031118655639916e-15,0.0,0.00030190687,-2.2481761e-07,90815.49,0.30065745,-236.37929,0.0,0.0,0.0,-5.261431538044402e-13,2.1291718e-12,2.282672e-16,0.0,0.0,0.0,7.48e-16,2.1815640185253222e-14,1.6030286913308682e-12,1349.8035107524047,1.7394398365916913e-13,1.0546677983459875e-13,7.031118655639916e-15,0.0
9,9,10,-47.32590553977269,-23.451004028320312,9197.34,e80338,SKX5563,214.008888704,-0.7733567663106826,34610D,241.56502,11.252009,0.17934483,226.5632958050004,73107.94280713587,0.4134584217592211,0.7842509450935349,49.72744263533387,63.1169169441116,1346.766639836382,0.0001856630337762,29850.23293677357,0.2768363435566872,0.4143953552944489,1.0,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.99242058014244,2.5457082226652554,0.7271595973503288,31.55834829396437,16.585693646810256,36.28235539,1450000000000000.0,22.0351371228812,874.621219815072,1323.16089055809,0.0185663033776,0.0206804129998587,0.358467240481236,31.5584584720558,17.3336596558147,17.3304420333701,14.707794759082589,0.9294236394807116,432729728356113.5,0.7842509450935349,0.0019793422040274575,7.55450910808776e-06,2.8440000000000003,35.8,2023-02-06 03:10:00,0.00018566303377621915,0.27683622488701914,0.0,9,298.5023293677357,0.00018566303377621915,11.252009,0.17934483,0.27683622488701914,0.06011147,1.5033667e-07,0.4304831204508462,0.0,12949.242679689742,0.3186547838849259,-0.9478708396755601,2.555108513997953,235.94418831367352,0.2029287149922435,inf,0.0,226.8099683952537,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00018612698,-2.1296437e-07,95357.875,0.2817924,-235.36865,0.005573323007036093,0.005573323007036093,1.0,-4.990798943689583e-13,1.9637827e-12,2.2735352e-16,4.073621426403309e-15,9.197844696483957e-16,4.073621426403309e-15,7.480000000000001e-16,2.0668269464007487e-14,1.4647028095850622e-12,1349.9076650781653,1.3641957764912956e-13,1.0010078679052911e-13,6.673385786035273e-15,5.2750312435680333e-14,0.00018612698,-2.1296437e-07,95357.875,0.2817924,-235.36865,0.0,0.005573323007036093,0.0,-4.990798943689583e-13,1.9637827e-12,2.2735352e-16,0.0,0.0,0.0,7.480000000000001e-16,2.0016490035782958e-14,1.4647028095850622e-12,1349.9076650781653,1.3641957764912956e-13,1.0010078679052911e-13,6.673385786035273e-15,0.0
