,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.5039078623597905,34610D,285.5736,14.787132,4.982488,157.76455205676763,69016.38008261744,0.3667495238766034,0.885446530575744,66.90153077914742,89.0140112314354,1820.80145932014,0.0087019423315624,73058.20758235783,0.6290829968238415,0.5575127564928952,0.9755019786324683,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,23.044288130573243,3.256113153201828,0.4657014910991174,44.50603789738814,16.40988392857614,30.734609055386493,1533346898875897.8,28.3604458159079,842.224716646525,1258.26756322804,0.870194233156,0.01920516104364,0.442723265287872,44.5070056157177,23.0523068399098,22.853437544321157,15.117998953505364,0.8278674033305257,787661116100224.2,0.0015142665425129927,1.2280275923991325e-05,3.0968000000000004,35.8,2023-08-05 15:00:00,0.008701942331562478,0.62908295591369,0.0,730.5820758235783,0,0.008701942331562478,14.787132,4.982488,0.62908295591369,1.5174148,0.0,0.8912374049158514,0.0,8181.733683333497,-0.47086366415065145,-0.8822059905615143,5.483680838487838,244.7075875979998,0.708611485811765,inf,0.0,237.9275473488639,0.0,0.0,0.0,0 days,0.008501874,4.8960044e-07,26719.658,0.69319415,-205.3762,0.0,0.0,1.0,-8.758252310998879e-13,7.70748e-12,2.4867754e-16,0.0,0.0,0.0,7.48e-16,8.980817949973576e-14,6.831653996803787e-12,1231.4159944157689,5.495937436660375e-13,1.2306324061700697e-13,1.0196668508266293e-13,0.0,0.008501874,4.8960044e-07,26719.658,0.69319415,-205.3762,0.0,0.0,0.0,-8.758252310998879e-13,7.70748e-12,2.4867754e-16,0.0,0.0,0.0,7.48e-16,8.980817949973576e-14,6.831653996803787e-12,1231.4159944157689,5.495937436660375e-13,1.2306324061700697e-13,1.0196668508266293e-13,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.5042483723171817,34610D,282.42395,15.296858,6.2929893,170.0114529925278,68949.4785518383,0.3835692451080003,0.949357772162982,66.41012202328402,92.6256802342028,2194.901710502228,0.0073060651235217,68339.94069049528,0.6278299310943999,0.5534176835273669,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,24.01681336285849,3.427053601940261,0.5046434157499446,46.31222828857107,17.0788394423635,32.63754707842534,1504757995669607.0,29.919478925866,858.82264581143,1282.05887865567,0.730606512352,0.019752130465268,0.474678886081491,46.3128401171014,24.0317816306531,23.857477347469544,15.095300448879176,0.882167713153425,778808589740323.4,0.0016912183781636776,1.3525389887749949e-05,3.0968000000000004,35.8,2023-08-05 15:01:00,0.007306065123521766,0.6278302157094389,0.0,683.3994069049528,1,0.007306065123521766,15.296858,6.2929893,0.6278302157094389,1.4508535,0.0,0.8429766082305896,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.263197534589697,244.21699366214793,0.6863198097558117,inf,0.0,237.26864468398847,0.0,0.0,0.0,0 days,0.00713448,4.5440734e-07,32193.309,0.6686363,-203.80328,0.0,0.0,1.0000000000000002,-8.4560363635292e-13,6.977635e-12,2.4596474e-16,0.0,0.0,0.0,7.480000000000001e-16,8.071037256658082e-14,6.1320313713527535e-12,1231.7655312325353,5.907248191500191e-13,1.3194590515968444e-13,1.0932660713230998e-13,0.0,0.00713448,4.5440734e-07,32193.309,0.6686363,-203.80328,0.0,0.0,0.0,-8.4560363635292e-13,6.977635e-12,2.4596474e-16,0.0,0.0,0.0,7.480000000000001e-16,8.071037256658082e-14,6.1320313713527535e-12,1231.7655312325353,5.907248191500191e-13,1.3194590515968444e-13,1.0932660713230998e-13,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.5046999587528954,34610D,278.81906,14.454638,6.396135,180.5239095848346,68883.06842981502,0.3985078283957096,1.037191107112134,63.81454253620284,99.014047210721,2599.733191734708,0.0061379571890328,62994.42896063308,0.6439490076348765,0.531787854468357,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,25.022297437619745,3.5997588251996047,0.5393003408139602,49.50721916865054,17.110495054480037,33.394282478853846,1493389136119953.5,31.7045628500514,880.414015067972,1319.64669222601,0.613795718903,0.0207260886048798,0.518595553556067,49.5070236053605,25.0213903569807,24.86874705222923,15.088826638794048,0.946043215458402,744245751882424.1,0.0019285078649987463,1.5492999134359523e-05,3.0968000000000004,35.8,2023-08-05 15:02:00,0.006137957189032876,0.6439497493415396,0.0,629.9442896063307,2,0.006137957189032876,14.454638,6.396135,0.6439497493415396,1.3803004,2.4550324e-09,0.787085901999404,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.967026571325613,243.5284722641238,0.6800655890980841,inf,0.0,236.5724340420298,0.0,0.0,0.0,0 days,0.0060066213,5.041954e-07,38793.543,0.66475636,-202.25352,0.0,0.0,1.0000000000000002,-8.091423232411954e-13,6.1800187e-12,2.4980256e-16,0.0,0.0,0.0,7.48e-16,7.081919423044798e-14,5.3708762821180856e-12,1232.1808203401,6.445796610902159e-13,1.44153367112258e-13,1.194413613215852e-13,0.0,0.0060066213,5.041954e-07,38793.543,0.66475636,-202.25352,0.0,0.0,0.0,-8.091423232411954e-13,6.1800187e-12,2.4980256e-16,0.0,0.0,0.0,7.48e-16,7.081919423044798e-14,5.3708762821180856e-12,1232.1808203401,6.445796610902159e-13,1.44153367112258e-13,1.194413613215852e-13,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.5051714619288799,34610D,274.6789,14.952242,5.1513853,191.5832846670804,68819.25388727881,0.4088437748301117,0.813882490513766,60.74446617141756,75.1099341737466,1356.7023171945043,0.0058403906265471,57124.037489563314,0.7744051071743105,0.506203884761813,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,21.38726065143275,3.083179141078763,0.5766365931666758,37.55525279830073,16.779224038117945,34.305871270088886,1479693827391537.5,26.3278132780802,848.972071897949,1256.03995549449,0.584039062655,0.0190561946044466,0.406941245256883,37.5549670868733,21.3548010871974,21.23080489330449,15.106235260930251,0.851261626429138,668298134342418.1,0.0016104378699711276,1.0556775079270258e-05,3.0968000000000004,35.8,2023-08-05 15:03:00,0.005840390626547198,0.7744053210765969,0.0,571.2403748956332,3,0.005840390626547198,14.952242,5.1513853,0.7744053210765969,1.3941494,4.6043334e-07,0.7244960879857306,0.0,10425.443968691361,-0.4806838213428572,-0.8768939866935046,4.581735896778719,242.57611113894052,0.7858665298733769,inf,0.0,236.71429712656035,0.0,0.0,0.0,0 days,0.0057340846,6.326826e-07,46606.348,0.77464193,-201.7987,0.0,0.0,0.9999999999999999,-7.659442700910669e-13,5.338282e-12,2.5970679e-16,0.0,0.0,0.0,7.479999999999999e-16,6.044809830304321e-14,4.572337808672267e-12,1232.6081860994584,3.5957976092800104e-13,1.1311695659244161e-13,9.372547831945164e-14,0.0,0.0057340846,6.326826e-07,46606.348,0.77464193,-201.7987,0.0,0.0,0.0,-7.659442700910669e-13,5.338282e-12,2.5970679e-16,0.0,0.0,0.0,7.479999999999999e-16,6.044809830304321e-14,4.572337808672267e-12,1232.6081860994584,3.5957976092800104e-13,1.1311695659244161e-13,9.372547831945164e-14,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.5056805915800872,34610D,272.51257,15.223878,5.109518,203.22081562490555,68758.50942110739,0.41952551233625834,0.780258104727166,58.921649222582,69.6569374543556,1359.287014183587,0.005608758540476,54249.21360051817,0.8436871988516937,0.4910137435215166,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.80352709247476,3.0038471036192704,0.6140901628855809,34.82869315524636,16.6310692169328,34.25294377072267,1480488986843927.8,25.5032092119518,847.477121328508,1248.1890091663,0.560875854048,0.0188006757557369,0.390129052363583,34.8284687271778,20.7507994623298,20.635062379972872,15.117881053773193,0.8464202761434231,630464509767879.0,0.0015858006747954529,9.905340352075973e-06,3.0968000000000004,35.8,2023-08-05 15:04:00,0.00560875854047606,0.8436884964692983,0.0,542.4921360051817,4,0.00560875854047606,15.223878,5.109518,0.8436884964692983,1.3777406,8.579164e-07,0.6935046163594756,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.430343403366202,242.18236249761466,0.8384135938244405,inf,0.0,236.98709769467314,0.0,0.0,0.0,0 days,0.0055134622,6.6525035e-07,50654.652,0.8239489,-201.59866,0.0,0.0,1.0,-7.435943002808517e-13,4.932472e-12,2.6221723e-16,0.0,0.0,0.0,7.48e-16,5.546562412365768e-14,4.1888774536756525e-12,1233.059362979931,3.109823867358241e-13,1.0844369204651266e-13,8.985334483853908e-14,0.0,0.0055134622,6.6525035e-07,50654.652,0.8239489,-201.59866,0.0,0.0,0.0,-7.435943002808517e-13,4.932472e-12,2.6221723e-16,0.0,0.0,0.0,7.48e-16,5.546562412365768e-14,4.1888774536756525e-12,1233.059362979931,3.109823867358241e-13,1.0844369204651266e-13,8.985334483853908e-14,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.5062928116857506,34610D,270.3353,15.02141,5.9643626,210.2533941425553,68699.5877718848,0.43007162298712304,0.830072721204898,57.31610369213344,73.4259908307454,2029.792640452013,0.0049634607569158,51492.67974234382,0.8498056800109948,0.4776341974344453,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,21.42724745974951,3.107733817067234,0.6378944856160677,36.71323973971996,16.61279368860847,34.57528457685118,1475646280463438.5,26.5681452482769,861.273324747697,1272.55459279058,0.496346075692,0.019421991056529,0.415036360602449,36.7129954153727,21.3694033425543,21.263861002925765,15.111442631484673,0.8898083969129731,618967164102174.6,0.0017192766999258398,1.0995694774415848e-05,3.0968000000000004,35.8,2023-08-05 15:05:00,0.004963460756915883,0.8498058336763861,0.0,514.9267974234381,5,0.004963460756915883,15.02141,5.9643626,0.8498058336763861,1.3214121,9.32581e-07,0.6635676166361447,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.280669131240298,241.7811842014025,0.8268339926489702,inf,0.0,236.45483298024942,0.0,0.0,0.0,0 days,0.0048634894,5.9373366e-07,54762.664,0.8116178,-201.79434,0.0,0.0,1.0,-7.209106316057201e-13,4.554008e-12,2.5670448e-16,0.0,0.0,0.0,7.48e-16,5.083497567339244e-14,3.83309778443142e-12,1233.5705606550987,3.2821850896747167e-13,1.153671458318665e-13,9.558992083211796e-14,0.0,0.0048634894,5.9373366e-07,54762.664,0.8116178,-201.79434,0.0,0.0,0.0,-7.209106316057201e-13,4.554008e-12,2.5670448e-16,0.0,0.0,0.0,7.48e-16,5.083497567339244e-14,3.83309778443142e-12,1233.5705606550987,3.2821850896747167e-13,1.153671458318665e-13,9.558992083211796e-14,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.507208337418723,34610D,266.91507,14.492171,6.5854993,211.3302735912591,68642.27166819267,0.4334354240991871,0.761645805054504,55.50044733349676,67.554089259589,1578.6676876260278,0.0038402658750161,47596.28928252322,0.8132875477851604,0.4625037277791397,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.04458374105064,2.9297110302379354,0.645256461401236,33.77674642601481,16.649716845616908,36.01412102658587,1454029835002194.0,24.6764930183843,852.762880861441,1256.68595248561,0.384026587502,0.0190753366487349,0.380822902527252,33.7770446297945,19.9641510679451,19.88777671768623,15.115241000385376,0.8631984636406203,587937212700436.1,0.0016629311024733836,9.639655988893792e-06,3.0968000000000004,35.8,2023-08-05 15:06:00,0.0038402658750161475,0.8132884956390649,0.0,475.96289282523225,6,0.0038402658750161475,14.492171,6.5854993,0.8132884956390649,1.1559056,6.4558014e-07,0.6212157377509185,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.976408274497529,240.92581850637555,0.7653764988573841,inf,0.0,234.93999797473194,0.0,0.0,0.0,0 days,0.0037465414,5.1531106e-07,60882.12,0.75129634,-203.57631,0.0,0.0,0.9999999999999999,-6.870887909542882e-13,4.0241664e-12,2.506594e-16,0.0,0.0,0.0,7.48e-16,4.438066681664438e-14,3.3370774934769938e-12,1234.3072924249382,2.53597432877536e-13,1.0585687304168434e-13,8.770998052025273e-14,0.0,0.0037465414,5.1531106e-07,60882.12,0.75129634,-203.57631,0.0,0.0,0.0,-6.870887909542882e-13,4.0241664e-12,2.506594e-16,0.0,0.0,0.0,7.48e-16,4.438066681664438e-14,3.3370774934769938e-12,1234.3072924249382,2.53597432877536e-13,1.0585687304168434e-13,8.770998052025273e-14,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.5084942580644047,34610D,264.1701,13.885335,6.4530973,214.58722752565123,68586.77122085918,0.4314905353070606,0.607895237556812,48.91314770760891,52.860595054544,803.4357509103593,0.0029751361071642,44739.09919617161,0.7523847159342791,0.4076095642300742,0.904619382240427,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.3545860298527,2.5515556489556013,0.6585962372203967,26.43101091371653,14.825790705300568,31.122508366388907,1527519270376297.0,20.7862848609668,823.486773630354,1198.60101520148,0.297513610716,0.0176185788480534,0.303947618778406,26.430297527272,17.2515400589185,17.200366627109727,15.131823275570078,0.7608877855462057,462420768092648.94,0.0014313209764782345,6.981640177949701e-06,3.0968000000000004,35.8,2023-08-05 15:07:00,0.002975136107164288,0.7523853097265105,0.0,447.3909919617161,7,0.002975136107164288,13.885335,6.4530973,0.7523853097265105,1.1384377,6.288478e-07,0.589991865296623,0.0,12963.734149278178,-0.9351760437679651,-0.35418323952792735,3.7221485201735542,240.16534367496604,0.6893150674856187,inf,0.0,233.51325175370232,0.0,0.0,0.0,0 days,0.0029132005,4.5987474e-07,65558.99,0.7062807,-210.394,0.0,0.0,1.0,-6.61279989958941e-13,3.6366398e-12,2.463862e-16,0.0,0.0,0.0,7.48e-16,3.9674062940548984e-14,2.9753597506973236e-12,1235.3302811096767,1.5533041809364122e-13,8.448794512836718e-14,7.000429739207568e-14,0.0,0.0029132005,4.5987474e-07,65558.99,0.7062807,-210.394,0.0,0.0,0.0,-6.61279989958941e-13,3.6366398e-12,2.463862e-16,0.0,0.0,0.0,7.48e-16,3.9674062940548984e-14,2.9753597506973236e-12,1235.3302811096767,1.5533041809364122e-13,8.448794512836718e-14,7.000429739207568e-14,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.5098586615370182,34610D,262.67148,14.029828,5.8330593,216.4085334715387,68537.85807315157,0.43727462056118377,0.961629228817656,53.41885038722281,84.0278877019212,2789.8040201446115,0.0026583466715047,43340.512388800154,0.7437403796310046,0.4451570865601901,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,22.09903568876601,3.2561084553482047,0.6660780582792784,42.01421804454887,16.66853984131136,36.28235539,1450000000000000.0,28.4293544275632,904.072639968349,1358.93273769916,0.26583466715,0.0218716747639174,0.480814614408828,42.0139438509606,21.9834383785757,21.92515371916413,15.116852347825322,1.0134308286739635,569385779931782.2,0.0022123549224115084,1.3647796113929534e-05,3.0968000000000004,35.8,2023-08-05 15:08:00,0.002658346671504786,0.7437397282517485,0.0,433.4051238880015,8,0.002658346671504786,14.029828,5.8330593,0.7437397282517485,1.1885421,9.1672706e-07,0.5748090128353303,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.641860605677038,239.91564232824015,0.6714633556527442,inf,0.0,233.13116090140696,0.0,0.0,0.0,0 days,0.0026171291,4.761885e-07,68053.96,0.6877544,-218.31537,0.0,0.0,1.0,-6.475649189559943e-13,3.459299e-12,2.476437e-16,0.0,0.0,0.0,7.480000000000001e-16,3.754818598438024e-14,2.811734021926325e-12,1236.4109336658255,3.5891196989742417e-13,1.33651446003617e-13,1.107397695458541e-13,0.0,0.0026171291,4.761885e-07,68053.96,0.6877544,-218.31537,0.0,0.0,0.0,-6.475649189559943e-13,3.459299e-12,2.476437e-16,0.0,0.0,0.0,7.480000000000001e-16,3.754818598438024e-14,2.811734021926325e-12,1236.4109336658255,3.5891196989742417e-13,1.33651446003617e-13,1.107397695458541e-13,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.5112029892931782,34610D,257.9111,15.542427,4.1928,218.262063788524,68484.43922276434,0.4408979364119401,0.876717561040838,51.05270529468407,76.5870631180612,2556.267627239008,0.0014825153738558,38763.39764052093,0.5714824169734907,0.4254392107890339,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.375703018733606,3.026148159831646,0.6779543202667785,38.29353129822117,16.59529363693054,36.28235539,1450000000000000.2,26.0836736518261,897.426650507983,1347.73453952584,0.148251537386,0.0216600007823336,0.438358780520419,38.2935315590306,20.2381701148393,20.20821113115923,15.123095872644924,0.9948685542222974,527796713926355.4,0.002135785220364252,1.248713698066507e-05,3.0968000000000004,35.8,2023-08-05 15:09:00,0.0014825153738558933,0.5714823756259638,0.0,387.6339764052093,9,0.0014825153738558933,15.542427,4.1928,0.5714823756259638,1.1034615,1.4293921e-06,0.5235935058403531,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.275041739215161,238.70887737986945,0.4923706020683068,inf,0.0,230.77200934542932,0.0,0.0,0.0,0 days,0.0015653874,6.3107404e-07,76423.19,0.5767081,-225.8202,0.0,0.0,1.0,-6.011745438130085e-13,2.9142721e-12,2.595828e-16,0.0,0.0,0.0,7.48e-16,3.1077852274929455e-14,2.3130976522353835e-12,1237.4829859200302,2.5987380231718317e-13,1.2185005016324328e-13,1.0096147013525873e-13,0.0,0.0015653874,6.3107404e-07,76423.19,0.5767081,-225.8202,0.0,0.0,0.0,-6.011745438130085e-13,2.9142721e-12,2.595828e-16,0.0,0.0,0.0,7.48e-16,3.1077852274929455e-14,2.3130976522353835e-12,1237.4829859200302,2.5987380231718317e-13,1.2185005016324328e-13,1.0096147013525873e-13,0.0
