,Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km
0,0,2,3c49c8,EWG1VT,51.28692626953125,6.684586808488175,93.114444364,990.6,0.5875566362548089,34610D,283.2036,2.784848,0.16329573,96.25702099952125,67310.89070219501,0.26129748816544546,0.906733034597484,58.00735453938502,108.550216468262,1606.5641892613094,0.0058008696545254,89976.97737353944,0.6182005879780347,0.4833946211615418,0.6475792149569206,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,21.513035226239307,1.4886833287473202,0.285325260669161,54.27519044239106,14.704607052769914,18.3705089024716,1225818638381501.5,28.5778205689456,815.829769427189,1461.021328476,0.580086965453,0.0235859679109302,0.453366517298742,54.275108234131,19.2218745913176,19.11101408961793,8.369748580301373,0.7361847280690829,680142435312927.6,19.21246484739572,1435987721690751.2,0.0035496015427690557,8.387108117870833e-06,2.8440000000000003,35.8,2023-05-05 08:02:00,0.00580086965452541,0.6182013031734391,0.0,0,899.7697737353944,0.00580086965452541,2.784848,0.16329573,0.6182013031734391,0.6023982,0.0,1.1068151084544842,785.4976840884478,6667.509382517012,0.9966805091004685,0.0814123011542548,6.144977528687833,246.08066136264054,0.6808368229031864,inf,0.0,238.95742279431136,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0056641237,1.8255841e-08,10115.762,0.66036797,-215.51814,0.0,0.0,1.0000000000000002,-9.277156109914202e-13,8.483217e-12,2.1242749e-16,0.0,0.0,0.0,7.48e-16,9.918194735773755e-14,7.555501528296227e-12,1110.5509690194376,6.667509382517013,1.4590614769105072e-12,0.0056641237,1.8255841e-08,10115.762,0.66036797,-215.51814,0.0,0.0,0.0,-9.277156109914202e-13,8.483217e-12,2.1242749e-16,0.0,0.0,0.0,7.48e-16,9.918194735773755e-14,7.555501528296227e-12,1110.5509690194376,6.667509382517013
1,1,3,3c49c8,EWG1VT,51.346527099609375,6.692381162901183,124.495555448,1478.28,0.5893805904117566,34610D,279.34717,5.835162,3.5186622,110.31405004340456,67252.88334765563,0.2800961565482941,1.167814628136122,78.32601865532821,130.767152917353,2680.574952794478,0.0057375941950127,84781.45509278591,0.7771007089771647,0.6527168221277351,0.8856530058205769,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.618392360065148,1.2202922412743196,0.3292425240195857,65.3840759744984,17.335982205455483,30.683630699041647,1534112775261525.5,33.9843974735731,851.353500008003,1597.23929355265,0.573759419501,0.0261025484625971,0.583907314068061,65.3835764586765,22.3697435100927,22.24212721012714,6.060160201881041,0.8840457336372477,1030397867193102.0,18.472484198524608,1383925186134329.0,0.006345283902861645,1.562139749798719e-05,2.8440000000000003,35.8,2023-05-05 08:03:00,0.005737594195012728,0.7771008592981967,0.0,1,847.814550927859,0.005737594195012728,5.835162,3.5186622,0.7771008592981967,0.59606504,1.3233553e-09,1.057301963785305,787.9358369792172,7473.160672911053,0.9768031916927631,0.2141390312363241,5.941023405472488,245.67177650734337,0.8248542336309898,inf,0.0,240.10887441575366,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0056261052,8.290906e-08,14936.267,0.80420625,-216.934,0.0,0.0,1.0,-9.028378538647112e-13,7.638586e-12,2.173284e-16,0.0,0.0,0.0,7.479999999999999e-16,8.853005834284456e-14,6.73574845652589e-12,1109.7325815296413,7.473160672911052,2.994760386509287e-12,0.0056261052,8.290906e-08,14936.267,0.80420625,-216.934,0.0,0.0,0.0,-9.028378538647112e-13,7.638586e-12,2.173284e-16,0.0,0.0,0.0,7.479999999999999e-16,8.853005834284456e-14,6.73574845652589e-12,1109.7325815296413,7.473160672911052
2,2,4,3c49c8,EWG1VT,51.41177937135858,6.7153167724609375,134.269999884,2293.62,0.5912855655983755,34610D,273.58542,6.836554,4.790957,124.1254557493909,67174.5573290003,0.30335648674312843,1.129070311532462,79.2402366243159,121.6919513533748,2782.010513057809,0.0035287001885352,76639.32731338663,0.6864263683838187,0.6603353052026325,0.921539270497936,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.948025893015622,1.2827687396236518,0.3743446124549369,60.845361210284494,18.622761030660232,34.85490437413303,1471445395714555.5,32.9588612691278,851.191249145747,1588.51942517581,0.352870018854,0.0260751769958932,0.564535155766231,60.8459756766874,21.6502904603541,21.574161711853996,6.2987267189024045,0.8832672113575796,987801413618290.2,16.749666418639073,1268194516892641.0,0.0062571282671981514,1.4937978121859269e-05,2.8440000000000003,35.8,2023-05-05 08:04:00,0.0035287001885352587,0.6864262955337499,0.0,2,766.3932731338663,0.0035287001885352587,6.836554,4.790957,0.6864262955337499,0.5903622,1.6405943e-07,0.9758907102045838,790.4823042036671,8125.8125102326585,0.8201398934232258,0.5721630495022725,5.539260841687994,244.82849276672601,0.6892588879091762,inf,0.0,237.86478607229623,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0034587765,3.5173247e-07,22985.463,0.66405785,-218.30705,0.0,0.0,1.0,-8.614943942520739e-13,6.4334527e-12,2.3805022e-16,0.0,0.0,0.0,7.480000000000001e-16,7.342150803514707e-14,5.571958293882309e-12,1108.8365932890356,8.125812510232658,2.3618654500060416e-12,0.0034587765,3.5173247e-07,22985.463,0.66405785,-218.30705,0.0,0.0,0.0,-8.614943942520739e-13,6.4334527e-12,2.3805022e-16,0.0,0.0,0.0,7.480000000000001e-16,7.342150803514707e-14,5.571958293882309e-12,1108.8365932890356,8.125812510232658
3,3,5,3c49c8,EWG1VT,51.47136623576536,6.782073974609375,136.32777766,3139.44,0.5935605746165283,34610D,268.7664,8.470528,8.245984,136.32127425547867,67095.31709237599,0.3258551218734191,0.828605702134202,58.734543892363,87.348865699975,1784.708721602228,0.0018516278955508,68873.98399781724,0.4842075082347505,0.4894545324363583,0.7149939270822844,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,17.359166374588707,1.2697947613914564,0.4147948499787842,43.67442268118472,15.759145334995177,23.94247441750537,1488816831356336.0,26.1491906307141,813.905573645126,1466.98892445879,0.185162789555,0.023418924846147,0.414302851067101,43.6744328499875,17.6909424232284,17.65824592249182,7.376107841317453,0.7286554533364911,591895746665035.6,14.98138339355016,1149338948190592.8,0.004454473355516925,7.244163530251513e-06,2.8440000000000003,35.8,2023-05-05 08:05:00,0.0018516278955508308,0.4842067611891723,0.0,3,688.7398399781724,0.0018516278955508308,8.470528,8.245984,0.4842067611891723,0.5998923,7.970489e-08,0.8927352429748673,793.5234631309528,9048.399248069316,0.8267242315425097,0.5626073630698827,5.1367202914158385,243.927280829519,0.46398104961084147,inf,0.0,235.4059281826778,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0018100571,6.193794e-07,31310.484,0.45269614,-219.13249,0.0,0.0,0.9999999999999998,-8.18816011824095e-13,5.4521153e-12,2.5868132e-16,0.0,0.0,0.0,7.48e-16,6.123957063948551e-14,4.6332991776790425e-12,1108.018397563862,9.048399248069316,1.026090998108019e-12,0.0018100571,6.193794e-07,31310.484,0.45269614,-219.13249,0.0,0.0,0.0,-8.18816011824095e-13,5.4521153e-12,2.5868132e-16,0.0,0.0,0.0,7.48e-16,6.123957063948551e-14,4.6332991776790425e-12,1108.018397563862,9.048399248069316
4,4,6,3c49c8,EWG1VT,51.538494562698624,6.8555450439453125,156.90555542,3680.46,0.5958311501346424,34610D,266.114,8.684074,9.466144,145.77282782252746,67036.58254848362,0.338082003731888,0.872660045111906,62.88714309499698,89.2563256288098,1989.760145279551,0.0012829973215626,64250.40779201729,0.3931145337895109,0.5240595257916415,0.7945055874740684,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,16.753191492159907,1.2349950620999264,0.4457588028805351,44.628251712866,16.382476735735974,28.696980198144924,1563959337885864.8,26.8767903875789,825.486541949437,1503.47182720745,0.128299732156,0.0242271217174089,0.436330022555953,44.6281628144049,18.0099818560955,17.986904705535096,6.99437859518533,0.7746829847363397,671077095583247.4,14.05966600871058,1085938629757933.6,0.0050187242834839555,8.57429022641925e-06,2.8440000000000003,35.8,2023-05-05 08:06:00,0.0012829973215626015,0.39311537432112625,0.0,4,642.5040779201729,0.0012829973215626015,8.684074,9.466144,0.39311537432112625,0.6244314,8.6859435e-09,0.8411057739148879,796.5586928863557,9736.546908630891,0.796178705015712,0.6050615420595693,4.8780127320475435,243.3144198576516,0.36707382333359956,inf,0.0,234.3019058703881,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0012521927,5.8277357e-07,36642.73,0.3703174,-220.33316,0.0,0.0,1.0,-7.914105225378087e-13,4.932364e-12,2.5585964e-16,0.0,0.0,0.0,7.48e-16,5.483625652668448e-14,4.140953607175695e-12,1107.0934019123624,9.736546908630892,1.0881532030289157e-12,0.0012521927,5.8277357e-07,36642.73,0.3703174,-220.33316,0.0,0.0,0.0,-7.914105225378087e-13,4.932364e-12,2.5585964e-16,0.0,0.0,0.0,7.48e-16,5.483625652668448e-14,4.140953607175695e-12,1107.0934019123624,9.736546908630892
5,5,7,3c49c8,EWG1VT,51.60804360599841,6.940689086914063,168.737777632,4282.4400000000005,0.5981618915708411,34610D,262.34732,8.607045,9.710714,155.2156306319003,66973.69540538863,0.35046432779855446,0.84354060633708,61.654427225727744,83.9968107340882,1914.89572038504,0.0011396944532,59404.634976163914,0.4498685021875804,0.5137868935477312,0.8028198270765161,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.908296563851152,1.1749916449351538,0.4780290971881842,41.998669028078105,16.234051247330203,30.35591033937972,1539036301686282.0,25.9606006031941,824.006535835887,1504.19532162398,0.11396944532,0.0242173413086789,0.42177030316854,41.9984053670441,17.4160448825729,17.39621850883173,6.868262881785133,0.7687167282890974,639300431344827.6,13.050582467358604,1016460195318900.0,0.005083332972645644,8.125964535141672e-06,2.8440000000000003,35.8,2023-05-05 08:07:00,0.0011396944532000416,0.44986855249937024,0.0,5,594.0463497616391,0.0011396944532000416,8.607045,9.710714,0.44986855249937024,0.64635146,3.218581e-08,0.7888349576842174,799.6743555441726,10422.131734241842,0.7498966969135705,0.661554944020613,4.595522840308112,242.61139362866047,0.40486155995127027,inf,0.0,233.86137627474784,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0011131425,4.3640222e-07,42594.133,0.42227504,-221.63411,0.0,0.0,1.0000000000000002,-7.608797000484134e-13,4.317096e-12,2.4457685e-16,0.0,0.0,0.0,7.48e-16,4.722338906098419e-14,3.5562163248746053e-12,1106.132547603202,10.422131734241843,9.149428619401823e-13,0.0011131425,4.3640222e-07,42594.133,0.42227504,-221.63411,0.0,0.0,0.0,-7.608797000484134e-13,4.317096e-12,2.4457685e-16,0.0,0.0,0.0,7.48e-16,4.722338906098419e-14,3.5562163248746053e-12,1106.132547603202,10.422131734241843
6,6,8,3c49c8,EWG1VT,51.67817687988281,7.0405289933488175,177.997777624,4861.56,0.6005845103935086,34610D,258.56885,8.935256,9.741952,163.70697191778413,66912.0409781629,0.3613465682572339,0.810719006768536,59.94383158963068,78.9179056494108,1911.7095207671184,0.0008077018003122,55026.440867802725,0.415967716178569,0.499531929913589,0.8021567824500705,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,15.025172219650258,1.114752057821956,0.5078509692704843,39.45915643604405,16.085887310182336,31.4779286138272,1522179593030766.5,24.9893883677159,821.319800363218,1501.86683117002,0.0807701800312,0.0241227599847405,0.405359503384268,39.4589528247054,16.8040267216806,16.79046503284549,6.719967222169597,0.7579652509044021,600559704732094.4,12.11427246929813,951761085069339.0,0.005169574531580979,7.560363681308125e-06,2.8440000000000003,35.8,2023-05-05 08:08:00,0.0008077018003122599,0.4159679116935341,0.0,6,550.2644086780273,0.0008077018003122599,8.935256,9.741952,0.4159679116935341,0.66702145,1.2819172e-07,0.7413745412195774,802.9128456303489,10810.56932148757,0.7487558998275375,0.6628458361289257,4.328122234399554,241.90970231506083,0.3607118970275715,inf,0.0,232.9849657690266,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00078992883,3.475527e-07,48300.99,0.40023217,-222.39677,0.0,0.0,0.9999999999999999,-7.316323940534615e-13,3.7685406e-12,2.3772803e-16,0.0,0.0,0.0,7.479999999999998e-16,4.0465535060850754e-14,3.036908233811047e-12,1105.1636218605881,10.81056932148757,7.636741239863895e-13,0.00078992883,3.475527e-07,48300.99,0.40023217,-222.39677,0.0,0.0,0.0,-7.316323940534615e-13,3.7685406e-12,2.3772803e-16,0.0,0.0,0.0,7.479999999999998e-16,4.0465535060850754e-14,3.036908233811047e-12,1105.1636218605881,10.81056932148757
7,7,9,3c49c8,EWG1VT,51.75081931938559,7.14447021484375,184.171110952,5440.68,0.6030020135952784,34610D,253.90556,11.300237,9.596229,169.43087511273407,66852.09714657327,0.36963425074951056,0.75688583583648,56.41839570808387,72.8213067672898,1829.6276270462488,0.0008722858161369,50913.27576770084,0.6433776934980567,0.4701532975673655,0.7650246240387322,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.19132357499166,1.0519703778576992,0.5304123483059464,36.4108142881786,15.579694574930734,30.716199780889088,1533623471712391.8,23.5659029819652,811.783058845462,1484.34679091947,0.0872285816137,0.0237137408225809,0.37844291791824,36.4106533836449,15.9588029889353,15.944894483637423,6.684765987315725,0.7204500131413613,530252500951483.5,11.06557716214623,880212489036189.2,0.004988612448863251,6.435141638354245e-06,2.8440000000000003,35.8,2023-05-05 08:09:00,0.0008722858161369598,0.6433777039895746,0.0,7,509.1327576770084,0.0008722858161369598,11.300237,9.596229,0.6433777039895746,0.6820891,1.7567362e-06,0.6985560819732106,806.1444944980899,11147.298906109525,0.7476758120633196,0.6640639126284876,4.057475935102321,241.15924006164263,0.5328520485133947,inf,0.0,233.2840247261329,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0008531229,4.6990532e-08,54058.555,0.64819944,-222.25206,0.0,0.0,1.0,-7.02160541334189e-13,3.2182614e-12,2.1979519e-16,0.0,0.0,0.0,7.479999999999999e-16,3.3677106235559494e-14,2.516100849762793e-12,1104.1599618639855,11.147298906109524,5.700191405254153e-13,0.0008531229,4.6990532e-08,54058.555,0.64819944,-222.25206,0.0,0.0,0.0,-7.02160541334189e-13,3.2182614e-12,2.1979519e-16,0.0,0.0,0.0,7.479999999999999e-16,3.3677106235559494e-14,2.516100849762793e-12,1104.1599618639855,11.147298906109524
8,8,10,3c49c8,EWG1VT,51.82562876555879,7.252044677734375,188.801110948,5996.9400000000005,0.6054113462383158,34610D,249.32271,14.593966,10.290176,172.27553253309222,66795.67875086518,0.37621089571681476,0.698471345277824,52.53256578137557,67.2674244248022,1624.2226638439952,0.000763298979924,47200.44144697906,0.8147570318936409,0.4377713815114631,0.7191188193534801,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.331911089732287,1.063953798614766,0.5442518201947738,33.63381331514989,15.05719816377195,29.458877449447108,1552512928960873.5,22.1137104225653,801.095571028874,1453.69097064912,0.0763298979924,0.0231844659689926,0.349235672638912,33.6337122124011,15.0633477219612,15.051858653604944,7.144917393397478,0.6802961749239651,457120565685739.4,9.9483237819505,804608737989667.1,0.004382303454142994,5.301552754744232e-06,2.8440000000000003,35.8,2023-05-05 08:10:00,0.0007632989799240968,0.8147575209151876,0.0,8,472.0044144697906,0.0007632989799240968,14.593966,10.290176,0.8147575209151876,0.67142755,1.9378035e-06,0.6595180263496158,809.3652180545477,11484.907125089065,0.7476053739662908,0.6641432110747819,3.8008873482697934,240.40563882061113,0.6449136419478844,inf,0.0,233.3762781277515,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.000746299,-6.1946885e-08,59569.95,0.81831,-222.48552,0.0,0.0,1.0,-6.739748511559337e-13,2.755095e-12,2.1751421e-16,0.0,0.0,0.0,7.48e-16,2.8020076331216746e-14,2.0811201627478767e-12,1103.1201419705342,11.484907125089064,3.8220771422022996e-13,0.000746299,-6.1946885e-08,59569.95,0.81831,-222.48552,0.0,0.0,0.0,-6.739748511559337e-13,2.755095e-12,2.1751421e-16,0.0,0.0,0.0,7.48e-16,2.8020076331216746e-14,2.0811201627478767e-12,1103.1201419705342,11.484907125089064
9,9,11,3c49c8,EWG1VT,51.90271927138506,7.363115583147322,193.945555388,6492.240000000001,0.6078096502206128,34610D,245.56076,18.25019,11.170433,174.3538525127796,66743.14618508381,0.3814073596109157,0.645163577958182,48.8591777197747,62.2408908435854,1447.7656968647138,0.0006268721630811,44081.94845354482,0.912018422310019,0.4071598143314558,0.6775491783659185,climb,7.5,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,14.25829914421788,1.0604343049899465,0.5550207994972819,31.12041626824104,14.557379373830704,28.08557154499268,1573144872355634.0,20.7518685396728,791.199198150766,1426.07711116841,0.0626872163081,0.0226862651276566,0.322581788979091,31.1204454217927,14.2192550057891,14.210346934867903,7.525096894624693,0.6447566309123144,394535692336630.9,8.988687342798922,739245566221503.5,0.003923063724784206,4.366516191850121e-06,2.8440000000000003,35.8,2023-05-05 08:11:00,0.0006268721630811838,0.9120189171999064,0.0,9,440.8194845354482,0.0006268721630811838,18.25019,11.170433,0.9120189171999064,0.6553849,1.6011705e-06,0.6253803948554283,812.5711953592116,11757.48582909717,0.7464831767142834,0.6654042882958839,3.5791646794332204,239.717242207642,0.6955177225505518,inf,0.0,233.14746841078605,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00061276334,-1.361558e-07,64411.9,0.8712896,-221.97847,0.0,0.0,1.0,-6.492246222297724e-13,2.4102415e-12,2.2202225e-16,0.0,0.0,0.0,7.48e-16,2.3863242931688614e-14,1.7610169758687163e-12,1102.0486163055962,11.75748582909717,2.674299218110532e-13,0.00061276334,-1.361558e-07,64411.9,0.8712896,-221.97847,0.0,0.0,0.0,-6.492246222297724e-13,2.4102415e-12,2.2202225e-16,0.0,0.0,0.0,7.48e-16,2.3863242931688614e-14,1.7610169758687163e-12,1102.0486163055962,11.75748582909717
