,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_nox_impact,accf_issr_co2_impact_conservative,accf_issr_co2_impact_optimistic,accf_issr_contrails_atr20,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_nox_impact,accf_sac_co2_impact_conservative,accf_sac_co2_impact_optimistic,accf_sac_contrails_atr20
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.44874129019592,34610D,254.35884,23.209726,-5.482102,161.02033761075526,70805.94126774029,0.39207607151223417,0.821957440459858,66.1549192998645,88.2647658687344,1624.1507490818017,0.0005919207811282,73058.20758235783,0.600010276906903,0.5512909941655375,0.6259176409571893,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,25.565684419727795,3.8197198030673656,0.5036334109765714,44.1325774330067,17.16645745856421,22.865883947511456,1438001486677985.0,29.5949898614559,767.672948338235,1130.17752120464,0.0591920781128,0.0162224866606762,0.410978720229929,44.1323829343672,25.3338917039245,25.31890491794816,15.145625774380738,0.5734505715478244,483898471226987.7,0.0013848081641287945,4.749661866225321e-06,2.8440000000000003,35.8,2023-02-06 01:00:00,0.0005919207811282449,0.6000107205613511,0.0,0,730.5820758235783,0.0005919207811282449,23.209726,-5.482102,0.6000107205613511,0.070365,2.3714838e-06,1.000609509685126,628.4023331919291,8181.733683333497,-0.47086366415065145,-0.8822059905615143,6.035765195297777,245.8632388282554,0.4991630644923806,inf,0.0,237.40233825459742,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00057766424,5.3516544e-07,25157.42,0.57160014,-228.61694,0.0,0.0,1.0,-7.367962419271301e-13,3.9334456e-12,2.5218985e-16,0.0,0.0,0.0,7.48e-16,4.255663311269132e-14,3.1966494822828223e-12,699.9524758162435,2.1831582354432538e-13,1.0491359559477249e-13,6.994239706318165e-15,0.0,0.00057766424,5.3516544e-07,25157.42,0.57160014,-228.61694,0.0,0.0,0.0,-7.367962419271301e-13,3.9334456e-12,2.5218985e-16,0.0,0.0,0.0,7.48e-16,4.255663311269132e-14,3.1966494822828223e-12,699.9524758162435,2.1831582354432538e-13,1.0491359559477249e-13,6.994239706318165e-15,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4501178965169989,34610D,252.29367,25.302755,-4.2084217,174.4673654415231,70739.78634844042,0.4097660904968137,0.88527197054457,72.26684416154647,91.6952764824106,1962.4463417522863,0.0003603557180923,68339.94069049528,0.4164904136489969,0.6022237013462206,0.7152862329442589,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,26.60385743807298,3.980991763559823,0.5479213422950182,45.84779728262093,17.927360235527715,27.534464467183493,1581424462501522.2,31.2501988610231,785.23764902004,1156.65132579787,0.0360355718092,0.0167658423954691,0.442635985272285,45.8476382412053,26.4010584634809,26.3915481182072,15.120379035591814,0.6293563457748292,564766223751205.2,0.0014978276746608682,6.110723381281077e-06,2.8440000000000003,35.8,2023-02-06 01:01:00,0.0003603557180923752,0.41649080112272524,0.0,1,683.3994069049528,0.0003603557180923752,25.302755,-4.2084217,0.41649080112272524,0.003093155,4.178389e-08,0.9436494520615029,630.3299383447368,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.814016951105047,245.4108133505046,0.3394950191944942,inf,0.0,236.071317095193,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00035303045,7.0850496e-07,30024.666,0.39821512,-229.46211,0.0,0.0,1.0000000000000002,-7.192301623097869e-13,3.5753449e-12,2.6555145e-16,0.0,0.0,0.0,7.480000000000001e-16,3.814304342309389e-14,2.856114768439268e-12,700.6572727416191,2.2722989598253263e-13,1.1299498117218664e-13,7.532998744812441e-15,0.0,0.00035303045,7.0850496e-07,30024.666,0.39821512,-229.46211,0.0,0.0,0.0,-7.192301623097869e-13,3.5753449e-12,2.6555145e-16,0.0,0.0,0.0,7.480000000000001e-16,3.814304342309389e-14,2.856114768439268e-12,700.6572727416191,2.2722989598253263e-13,1.1299498117218664e-13,7.532998744812441e-15,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4515015825349095,34610D,249.50983,25.290424,-2.9461634,186.11955970640608,70667.51950427887,0.4256034270408685,0.964923126282334,80.55902262330552,97.3092784803138,2323.2226234543373,0.0002195755586825,62994.42896063308,0.3070695646551536,0.6713251885275461,0.836848716025977,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,27.5858181281366,4.13181554779329,0.587767238361204,48.65514935219288,18.83708344811044,36.28235538999999,1450000000000000.0,32.9908628889967,805.674327485452,1192.81166062282,0.0219575558683,0.0176152136295494,0.482461563141167,48.6546392401569,27.3889135429979,27.38290092722846,15.110992712420192,0.6987539982310808,686343561372015.1,0.00162789063584261,8.134939964416414e-06,2.8440000000000003,35.8,2023-02-06 01:02:00,0.00021957555868250421,0.30706981443784304,0.0,2,629.9442896063307,0.00021957555868250421,25.290424,-2.9461634,0.30706981443784304,0.0024201488,2.243048e-09,0.879542707133927,632.2674567537268,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.5063451797472025,244.75702085129473,0.2435084831066371,inf,0.0,235.00473130709133,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0002159758,6.8584296e-07,35915.695,0.297475,-229.9349,0.0,0.0,1.0000000000000002,-6.979333323925009e-13,3.1517586e-12,2.6380457e-16,0.0,0.0,0.0,7.48e-16,3.2911533360854416e-14,2.453825291395533e-12,701.4971848469878,2.31266553885262e-13,1.2316155273707548e-13,8.210770182471698e-15,0.0,0.0002159758,6.8584296e-07,35915.695,0.297475,-229.9349,0.0,0.0,0.0,-6.979333323925009e-13,3.1517586e-12,2.6380457e-16,0.0,0.0,0.0,7.48e-16,3.2911533360854416e-14,2.453825291395533e-12,701.4971848469878,2.31266553885262e-13,1.2316155273707548e-13,8.210770182471698e-15,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4528837783417367,34610D,245.11743,25.606356,-1.9973599,197.97082768622823,70586.96048165557,0.43646940461168215,0.784033899849812,65.26230266798044,76.23174929611,1209.5946323960154,0.0001941075046773,57124.037489563314,0.3829173220617756,0.5438525222331703,0.70618535872149,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,24.19225409121864,3.624142215608628,0.6307703741049036,38.11583608430378,17.115033376268673,28.248612655981745,1570695414472991.5,28.2031610424999,780.104576818329,1141.66047596367,0.0194107504677,0.0163404223395887,0.392016949924906,38.115874648055,23.9906253203229,23.98596946364304,15.128836371566578,0.6125846912600338,460961747474238.4,0.0014328659968742576,4.857070659972143e-06,2.8440000000000003,35.8,2023-02-06 01:03:00,0.00019410750467735164,0.38291752606437707,0.0,3,571.2403748956332,0.00019410750467735164,25.606356,-1.9973599,0.38291752606437707,0.005240047,3.6653233e-08,0.81187122638412,634.2028874071887,10425.443968691361,-0.4806838213428572,-0.8768939866935046,5.08938126125469,243.8172153934772,0.29073901472131497,inf,0.0,234.3750353196824,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00018920103,5.9662096e-07,42884.277,0.37850985,-228.63722,0.0,0.0,0.9999999999999999,-6.726682910163804e-13,2.6039871e-12,2.5692704e-16,0.0,0.0,0.0,7.479999999999999e-16,2.6112072970439225e-14,1.9313189183914466e-12,702.3647133657041,1.3018041829699426e-13,1.0007308341343819e-13,6.6715388942292124e-15,0.0,0.00018920103,5.9662096e-07,42884.277,0.37850985,-228.63722,0.0,0.0,0.0,-6.726682910163804e-13,2.6039871e-12,2.5692704e-16,0.0,0.0,0.0,7.479999999999999e-16,2.6112072970439225e-14,1.9313189183914466e-12,702.3647133657041,1.3018041829699426e-13,1.0007308341343819e-13,6.6715388942292124e-15,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.454264156179153,34610D,242.74187,26.412031,-1.6604272,210.2233383515608,70521.69817898759,0.4465248494212685,0.731423794131372,61.296416902869694,68.5144579162882,1210.0164226228403,0.0001971473058708,54249.21360051817,0.4721805150213624,0.5108034741905808,0.6805126790163037,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,23.225738564809088,3.4792818929364504,0.6730786315905332,34.25726748747635,16.661585100728324,26.30354990895564,1599917180989638.8,26.8406244307646,774.079591668051,1125.55494242645,0.0197147305871,0.015894771499197,0.365711897065686,34.2572289581441,23.0083142172986,23.003779084227297,15.144542178273902,0.593335299657419,402514650306541.0,0.0013828599370246213,4.102912160134576e-06,2.8440000000000003,35.8,2023-02-06 01:04:00,0.00019714730587083265,0.47218018113429355,0.0,4,542.4921360051817,0.00019714730587083265,26.412031,-1.6604272,0.47218018113429355,0.0046048393,5.0796825e-08,0.7785584139686521,636.1357713251789,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.9210757395066365,243.41840246104348,0.35017865502952145,0.9980193554201902,0.0,234.30886767155692,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0001925798,6.391898e-07,46493.63,0.46294487,-227.89465,0.0,0.0,1.0,-6.596596523981749e-13,2.3399297e-12,2.602084e-16,0.0,0.0,0.0,7.48e-16,2.2851719573650526e-14,1.6802700909829075e-12,703.2805771246137,1.0197122263803324e-13,9.335799686047186e-14,6.223866457364789e-15,0.0,0.0001925798,6.391898e-07,46493.63,0.46294487,-227.89465,0.0,0.0,0.0,-6.596596523981749e-13,2.3399297e-12,2.602084e-16,0.0,0.0,0.0,7.48e-16,2.2851719573650526e-14,1.6802700909829075e-12,703.2805771246137,1.0197122263803324e-13,9.335799686047186e-14,6.223866457364789e-15,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4556453809578827,34610D,240.49298,28.273552,-1.4029464,215.55294166667892,70460.40176208472,0.4541698787751945,0.729967447705802,61.48416688547779,67.8291390375566,1805.3873890026416,0.0001801533801623,51492.67974234382,0.5190921336103975,0.5123680573789816,0.6980058367173293,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,23.037899909559453,3.4515346308933696,0.6933618946500282,33.915049802260334,16.668465803155463,28.14525999458897,1572248139363081.2,26.6863166695364,776.447031290815,1129.69796534358,0.0180153380162,0.0159883293105159,0.364983723852901,33.9145695187783,22.828133994766,22.824022170023174,15.140392126742707,0.6008334961188703,405220805251919.25,0.0013918360776426335,4.185739691250024e-06,2.8440000000000003,35.8,2023-02-06 01:05:00,0.00018015338016230307,0.5190924376021547,0.0,5,514.9267974234381,0.00018015338016230307,28.273552,-1.4029464,0.5190924376021547,0.0018267324,1.813212e-08,0.745908469817361,638.0698403571546,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.73637805083128,242.96658297040486,0.37649135266448863,0.9703761833636991,0.0,234.03368276248986,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00017572161,7.4681407e-07,50151.027,0.50453395,-228.1473,0.0,0.0,1.0,-6.464746834430007e-13,2.1175093e-12,2.6850442e-16,0.0,0.0,0.0,7.48e-16,2.0139955276352845e-14,1.4710346811159116e-12,704.3182797299309,8.967383542958506e-14,9.317211066683553e-14,6.211474044455701e-15,0.0,0.00017572161,7.4681407e-07,50151.027,0.50453395,-228.1473,0.0,0.0,0.0,-6.464746834430007e-13,2.1175093e-12,2.6850442e-16,0.0,0.0,0.0,7.48e-16,2.0139955276352845e-14,1.4710346811159116e-12,704.3182797299309,8.967383542958506e-14,9.317211066683553e-14,6.211474044455701e-15,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.4574569249336606,34610D,237.36125,31.884224,-1.3415315,212.30996168038368,70398.91759519924,0.45716963979719794,0.724782573356574,61.44680754612304,68.8276893058132,1404.0682714628429,0.0001510283297126,47596.28928252322,0.5637374811603557,0.5120567295510253,0.7168414301854031,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.38790804613383,3.354804998562108,0.6874208046879192,34.41389220376503,16.567697628484805,31.498116679921253,1521876296412328.2,26.0843004178476,778.270377751814,1139.89030351626,0.0151028329713,0.0163226988094399,0.362391286678287,34.4138446529066,22.2016769964968,22.19832442063713,15.1279777283541,0.6066692966258,413758016718359.6,0.001392992226749311,4.316912595186251e-06,2.8440000000000003,35.8,2023-02-06 01:06:00,0.00015102832971260928,0.5637374640461769,0.0,6,475.96289282523225,0.00015102832971260928,31.884224,-1.3415315,0.5637374640461769,0.00017264903,1.3748692e-09,0.698563232738655,640.6065122726919,12351.486589520808,-0.9280124073797156,-0.372549287677892,4.402064702718426,242.10749549486664,0.3963908736875724,0.8692919556826256,0.0,233.35393502660327,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00014784618,7.113734e-07,55600.516,0.55449283,-228.67317,0.0,0.0,0.9999999999999999,-6.267707742585313e-13,1.8441104e-12,2.6577255e-16,0.0,0.0,0.0,7.48e-16,1.6839186801265505e-14,1.2173395588508365e-12,705.8138038962544,7.374276560888095e-14,9.251031994153922e-14,6.167354662769281e-15,0.0,0.00014784618,7.113734e-07,55600.516,0.55449283,-228.67317,0.0,0.0,0.0,-6.267707742585313e-13,1.8441104e-12,2.6577255e-16,0.0,0.0,0.0,7.48e-16,1.6839186801265505e-14,1.2173395588508365e-12,705.8138038962544,7.374276560888095e-14,9.251031994153922e-14,6.167354662769281e-15,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4599210198779294,34610D,234.98634,34.73412,-1.4227859,216.8626877230038,70337.47078765312,0.4560894546947517,0.588664487919774,49.874715639012535,54.5985953020744,714.4290629663275,0.0001414358958823,44739.09919617161,0.6448473193629678,0.4156226303251045,0.5988343960296317,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,19.64267926938391,2.943623710467591,0.7057010121419797,27.29896785302503,15.065030009521108,24.242830836485748,1502993730913072.5,22.3022494993771,753.386632450912,1090.80537709438,0.0141435895882,0.0151334737313414,0.294332243959887,27.2992976510372,19.4490867850337,19.44633637502687,15.151306979643616,0.5310752994431912,273331670766865.38,0.0012323868085830883,2.438791798624229e-06,2.8440000000000003,35.8,2023-02-06 01:07:00,0.00014143589588236634,0.6448473963822543,0.0,7,447.3909919617161,0.00014143589588236634,34.73412,-1.4227859,0.6448473963822543,3.0107085e-06,2.2259557e-11,0.6632649798051896,644.0569920923755,12963.734149278178,-0.9351760437679651,-0.35418323952792735,4.12955846766731,241.36334707590274,0.4428958828681716,0.7285945213732021,0.0,232.92864329714106,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00013830604,5.7015836e-07,59779.73,0.63106304,-227.05049,0.0,0.0,1.0,-6.117657069833007e-13,1.6600056e-12,2.548872e-16,0.0,0.0,0.0,7.48e-16,1.4630005598835268e-14,1.0482398771008834e-12,707.9019536697439,4.562751385076183e-14,7.513638174753542e-14,5.009092116502361e-15,0.0,0.00013830604,5.7015836e-07,59779.73,0.63106304,-227.05049,0.0,0.0,0.052180160765677774,-6.117657069833007e-13,1.6600056e-12,2.548872e-16,0.0,0.0,0.0,7.48e-16,1.4630005598835268e-14,1.0482398771008834e-12,707.9019536697439,4.562751385076183e-14,7.513638174753542e-14,5.009092116502361e-15,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4624626834716849,34610D,233.49033,35.64563,-1.4313227,219.3233767273466,70287.5960720141,0.46144015322765963,0.919223169197162,82.25011565649848,85.2903425780662,2474.8572255032595,0.000135446679356,43340.512388800154,0.7074914388172449,0.6854176304708206,0.997898903332011,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,24.649700704303783,3.694116385538049,0.7159912246003869,42.64505383580534,21.18499358126457,36.28235539,1450000000000000.0,30.0716843883386,826.994009473274,1237.68358832829,0.0135446679356,0.0188047898218396,0.459611584598581,42.6451712890331,24.4411976391672,24.437887608440164,15.129893694200064,0.7734542180899178,689346130729444.1,0.001708555164744631,8.798370359536941e-06,2.8440000000000003,35.8,2023-02-06 01:08:00,0.00013544667935602101,0.7074908651499946,0.0,8,433.4051238880015,0.00013544667935602101,35.64563,-1.4313227,0.7074908651499946,3.6785054e-06,2.7196889e-11,0.6466474826550426,647.6160946287496,12877.115418230198,-0.9398759916806336,-0.3415159150937853,4.040189077750722,241.10981394223376,0.47878905068780164,0.5708290009844907,0.0,232.9040468179045,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00013260859,5.619438e-07,62021.117,0.6849724,-224.15277,0.0,0.0,1.0,-6.038526291734063e-13,1.5726716e-12,2.5425399e-16,0.0,0.0,0.0,7.480000000000001e-16,1.3596900051410444e-14,9.68818927253638e-13,710.1105600503245,9.129433574215811e-14,1.1732846871066923e-13,7.821897914044614e-15,0.0,0.00013260859,5.619438e-07,62021.117,0.6849724,-224.15277,0.0,0.0,0.3318975222399695,-6.038526291734063e-13,1.5726716e-12,2.5425399e-16,0.0,0.0,0.0,7.480000000000001e-16,1.3596900051410444e-14,9.68818927253638e-13,710.1105600503245,9.129433574215811e-14,1.1732846871066923e-13,7.821897914044614e-15,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4650072339005209,34610D,228.32259,37.635315,-1.7574707,224.1421163734822,70205.3459563576,0.4710522011794798,0.817963865000366,73.44816127422625,75.810284236798,2259.23234914914,8.032837263502274e-05,38763.39764052093,0.68126207112405,0.6120680106185521,0.921505249038586,climb,15,GTF2035_wi,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,22.618545064927265,3.390964848822652,0.7399565527189004,37.90558790576135,18.927893562071905,36.28235538999999,1450000000000000.0,27.2800584053129,812.275257444782,1213.11975252734,0.0080328372635,0.018244156250875,0.408981932500183,37.905142118399,22.4171469963467,22.415346408047693,15.135904551105083,0.7216268426826395,572090106888013.2,0.0015757128997381542,6.951407204863601e-06,2.8440000000000003,35.8,2023-02-06 01:09:00,8.032837263502273e-05,0.6812618859494384,0.0,9,387.6339764052093,8.032837263502273e-05,37.635315,-1.7574707,0.6812618859494384,0.0,0.0,0.5914464137961202,651.1792381050913,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.6790017652742675,240.0317534673512,0.4381274864328173,0.0,1.0,231.67846410421777,28.117254249628648,56.90731884583906,0.690580161530298,228.49754,8.278836653839181e-05,7378.186340577081,0.0,0.004195242084712163,0.002350369,113.81463769167812,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,11709.442181463151,0.0,8.701835e-05,6.576751e-07,69468.44,0.712861,-223.16049,0.0,0.0,1.0,-5.76689030023485e-13,1.2952848e-12,2.6163328e-16,0.0,0.0,0.0,7.48e-16,1.0351378880793813e-14,7.185958149055689e-13,712.3087653370308,5.557086318149031e-14,1.0440386073489953e-13,6.9602573823266345e-15,0.0,8.701835e-05,6.576751e-07,69468.44,0.712861,-223.16049,0.0,0.0,1.0,-5.76689030023485e-13,1.2952848e-12,2.6163328e-16,0.0,0.0,0.0,7.48e-16,1.0351378880793813e-14,7.185958149055689e-13,712.3087653370308,5.557086318149031e-14,1.0440386073489953e-13,6.9602573823266345e-15,0.0
