Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_waypoint,cocip_level,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_width,cocip_depth,cocip_rhi_1,cocip_air_temperature_1,cocip_specific_humidity_1,cocip_altitude_1,cocip_persistent_1,cocip_dT_dz,cocip_ds_dz,cocip_dz_max,cocip_rho_air_1,cocip_iwc_1,cocip_n_ice_per_m_1,cocip_ef,cocip_contrail_age,cocip_global_yearly_mean_rf,cocip_atr20,cocip_sdr_mean,cocip_sdr_min,cocip_sdr_max,cocip_rsr_mean,cocip_rsr_min,cocip_rsr_max,cocip_olr_mean,cocip_olr_min,cocip_olr_max,cocip_rf_sw_mean,cocip_rf_sw_min,cocip_rf_sw_max,cocip_rf_lw_mean,cocip_rf_lw_min,cocip_rf_lw_max,cocip_rf_net_mean,cocip_rf_net_min,cocip_rf_net_max,cocip_cocip,cocip_mean_contrail_altitude,cocip_mean_rhi,cocip_std_rhi,cocip_mean_n_ice_per_m,cocip_std_n_ice_per_m,cocip_mean_r_ice_vol,cocip_mean_width,cocip_mean_depth,cocip_mean_tau_contrail,cocip_mean_tau_cirrus,cocip_max_age,cocip_mean_rf_sw,cocip_mean_rf_lw,cocip_mean_rf_net,cocip_mean_olr,cocip_mean_sdr,cocip_mean_rsr,cocip_contrail_length,cocip_persistent_contrail_length,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,0.44874129019592,34610D,254.35884,23.209726,-5.482102,161.02033761075526,70805.94126774029,0.3780289422636851,0.86937851373776,66.1549192998645,88.2651212797616,1624.1507490818017,0.0005919207811282,73058.20758235783,0.600010276906903,0.5512909941655375,0.6259176409571893,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.169940502642863,3.013552068458795,0.5036334109765714,44.1325774330067,17.16645745856421,22.865883947511456,1438001486677985.0,29.321099526725,785.891351971625,1268.93282280034,0.0591920781128,0.0214593141664619,0.43468925686888,44.1325606398808,20.2564375308994,20.244454417627004,14.94500725639133,0.6270025525545838,824266338547097.6,27.04798023300643,1611052316070354.2,0.0013673558935961,1.1309006610866956e-05,3.0968000000000004,35.8,2023-02-06 01:00:00,0.0005919207811282,0.6000107205613511,0.0,0,730.5820758235783,0.0005919207811282,23.209726,-5.482102,0.6000107205613511,0.070365,2.3714838e-06,1.000609509685126,628.4023331919291,8181.733683333497,-0.4708636641506514,-0.8822059905615143,5.544362481574278,244.8395365422408,0.4991630644923806,inf,0.0,236.4606823388608,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00057766424,5.3516544e-07,25157.42,0.57160014,-228.61694,0.0,0.0,1.0,-7.367962419271301e-13,3.9334456e-12,2.5218985000000004e-16,0.0,0.0,0.0,7.48e-16,4.255663311269132e-14,3.1966494822828227e-12,699.9524758162435,8.181733683333496,2.2800099258591763e-13,0.00057766424,5.3516544e-07,25157.42,0.57160014,-228.61694,0.0,0.0,0.0,-7.367962419271301e-13,3.9334456e-12,2.5218985000000004e-16,0.0,0.0,0.0,7.48e-16,4.255663311269132e-14,3.1966494822828227e-12,699.9524758162435,8.181733683333496,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,0.4501178965169989,34610D,252.29367,25.302755,-4.2084217,174.4673654415231,70739.78634844042,0.3941716362945355,0.938535000194894,72.26684416154647,91.69750978595,1962.4463417522863,0.0003603557180923,68339.94069049528,0.4164904136489969,0.6022237013462206,0.7152862329442589,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.91397939188897,3.129560436721412,0.5479213422950182,45.84779728262093,17.927360235527715,27.534464467183493,1581424462501522.2,30.8288976495756,802.506903100828,1301.83441053366,0.0360355718092,0.0223575507555646,0.469267500097447,45.848754892975,20.989217702241,20.98165684222285,14.951732936678807,0.6854968647102136,920870358628984.6,26.612895510762403,1559490905438422.2,0.0014448711754901,1.3263212765465704e-05,3.0968000000000004,35.8,2023-02-06 01:01:00,0.0003603557180923,0.4164908011227252,0.0,1,683.3994069049528,0.0003603557180923,25.302755,-4.2084217,0.4164908011227252,0.003093155,4.178389e-08,0.9436494520615027,630.3299383447368,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.323424089876611,244.35278608398716,0.3394950191944942,inf,0.0,235.10646629269405,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00035303045,7.0850496e-07,30024.666,0.39821512,-229.46211,0.0,0.0,1.0000000000000002,-7.19230162309787e-13,3.5753449e-12,2.6555145000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,3.8143043423093894e-14,2.856114768439268e-12,700.6572727416191,9.587418296793368,2.323841512630658e-13,0.00035303045,7.0850496e-07,30024.666,0.39821512,-229.46211,0.0,0.0,0.0,-7.19230162309787e-13,3.5753449e-12,2.6555145000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,3.8143043423093894e-14,2.856114768439268e-12,700.6572727416191,9.587418296793368,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,0.4515015825349095,34610D,249.50983,25.290424,-2.9461634,186.11955970640608,70667.51950427887,0.4076643056941042,1.027351113647654,80.55902262330552,97.3117915419924,2323.2226234543373,0.0002195755586825,62994.42896063308,0.3070695646551536,0.6713251885275461,0.836848716025977,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,21.735975386987395,3.2556236191090018,0.587767238361204,48.65514935219288,18.83708344811044,36.28235538999999,1450000000000000.0,32.5940059863553,822.601846052445,1344.58692943042,0.0219575558683,0.0235752993163111,0.513675556823827,48.6558957709962,21.7887183501602,21.78393513043363,14.967024182332242,0.7630782324092956,1049040179813852.4,25.544977307600583,1501427920169751.8,0.0015433722181277,1.5857051658216266e-05,3.0968000000000004,35.8,2023-02-06 01:02:00,0.0002195755586825,0.307069814437843,0.0,2,629.9442896063307,0.0002195755586825,25.290424,-2.9461634,0.307069814437843,0.0024201488,2.243048e-09,0.879542707133927,632.2674567537268,9904.532106848184,-0.4803242924734069,-0.8770909725107887,5.0181956134319465,243.64998425675256,0.2435084831066371,inf,0.0,233.99950646622008,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0002159758,6.8584296e-07,35915.695,0.297475,-229.9349,0.0,0.0,1.0000000000000002,-6.97933332392501e-13,3.1517586e-12,2.6380457000000003e-16,0.0,0.0,0.0,7.48e-16,3.2911533360854416e-14,2.453825291395533e-12,701.4971848469878,9.904532106848183,2.334449390765447e-13,0.0002159758,6.8584296e-07,35915.695,0.297475,-229.9349,0.0,0.0,0.0,-6.97933332392501e-13,3.1517586e-12,2.6380457000000003e-16,0.0,0.0,0.0,7.48e-16,3.2911533360854416e-14,2.453825291395533e-12,701.4971848469878,9.904532106848183,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,0.4528837783417367,34610D,245.11743,25.606356,-1.9973599,197.97082768622823,70586.96048165557,0.420619746287874,0.829684283329526,65.26230266798044,76.2319840503336,1209.5946323960154,0.0001941075046773,57124.037489563314,0.3829173220617756,0.5438525222331703,0.70618535872149,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.882570234230737,2.828720286544549,0.6307703741049036,38.11583608430378,17.115033376268673,28.248612655981745,1570695414472991.5,27.6475481361233,796.70875236271,1286.47039572563,0.0194107504677,0.0218996471190797,0.414842141664763,38.1159920251668,18.9428687781612,18.93919253875689,14.955212690048288,0.664407889571293,771626839068194.9,24.160215708563992,1435406262466282.2,0.001383340768161,1.0936863300116684e-05,3.0968000000000004,35.8,2023-02-06 01:03:00,0.0001941075046773,0.382917526064377,0.0,3,571.2403748956332,0.0001941075046773,25.606356,-1.9973599,0.382917526064377,0.005240047,3.6653233e-08,0.81187122638412,634.2028874071887,10425.44396869136,-0.4806838213428572,-0.8768939866935046,4.652206828375831,242.755476318988,0.2907390147213149,inf,0.0,233.40845729102568,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00018920103,5.9662096e-07,42884.277,0.37850985,-228.63722,0.0,0.0,1.0,-6.726682910163804e-13,2.6039871e-12,2.5692704e-16,0.0,0.0,0.0,7.479999999999999e-16,2.6112072970439225e-14,1.9313189183914466e-12,702.3647133657041,10.42544396869136,1.3299866588032817e-13,0.00018920103,5.9662096e-07,42884.277,0.37850985,-228.63722,0.0,0.0,0.0,-6.726682910163804e-13,2.6039871e-12,2.5692704e-16,0.0,0.0,0.0,7.479999999999999e-16,2.6112072970439225e-14,1.9313189183914466e-12,702.3647133657041,10.42544396869136,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,0.454264156179153,34610D,242.74187,26.412031,-1.6604272,210.2233383515608,70521.69817898759,0.4312056374977016,0.77240202331365,61.296416902869694,68.5145494045814,1210.0164226228403,0.0001971473058708,54249.21360051817,0.4721805150213624,0.5108034741905808,0.6805126790163037,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.01465038055757,2.6986460172949034,0.6730786315905332,34.25726748747635,16.661585100728324,26.30354990895564,1599917180989638.8,26.1843936689972,790.424548997263,1269.11140196217,0.0197147305871,0.021365346176857,0.386201011656825,34.2572747022907,18.0760474677054,18.07248452607069,14.952061267677411,0.6420161540617407,689514524877308.9,24.44928204784279,1397123495962222.5,0.0013423671159942,9.59118804148982e-06,3.0968000000000004,35.8,2023-02-06 01:04:00,0.0001971473058708,0.4721801811342935,0.0,4,542.4921360051817,0.0001971473058708,26.412031,-1.6604272,0.4721801811342935,0.0046048393,5.0796825e-08,0.7785584139686521,636.1357713251789,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.500317045496299,242.3658113051094,0.3501786550295214,inf,0.0,233.34767527704196,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0001925798,6.391898e-07,46493.63,0.46294487,-227.89465,0.0,0.0,1.0,-6.59659652398175e-13,2.3399297e-12,2.602084e-16,0.0,0.0,0.0,7.48e-16,2.2851719573650526e-14,1.6802700909829077e-12,703.2805771246137,11.784876773848332,1.0453098788626279e-13,0.0001925798,6.391898e-07,46493.63,0.46294487,-227.89465,0.0,0.0,0.0,-6.59659652398175e-13,2.3399297e-12,2.602084e-16,0.0,0.0,0.0,7.48e-16,2.2851719573650526e-14,1.6802700909829077e-12,703.2805771246137,11.784876773848332,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,0.4556453809578827,34610D,240.49298,28.273552,-1.4029464,215.5529416666789,70460.40176208472,0.437720941644476,0.772396203953826,61.48416688547779,67.8296229467058,1805.3873890026416,0.0001801533801623,51492.67974234382,0.5190921336103975,0.5123680573789816,0.6980058367173293,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.880947604912173,2.678920827585296,0.6933618946500282,33.915049802260334,16.668465803155463,28.14525999458897,1572248139363081.2,26.0469399980419,792.73901858896,1274.71053462734,0.0180153380162,0.0215322138210517,0.386198101976913,33.9148114733529,17.935828855616,17.932598237428437,14.95684791607469,0.650241579246857,693905854004387.5,23.66486696348049,1364466391131508.2,0.0013455187434839,9.721302199210452e-06,3.0968000000000004,35.8,2023-02-06 01:05:00,0.0001801533801623,0.5190924376021547,0.0,5,514.9267974234381,0.0001801533801623,28.273552,-1.4029464,0.5190924376021547,0.0018267324,1.813212e-08,0.745908469817361,638.0698403571546,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.321078607485368,241.8907050607811,0.3764913526644886,0.9909152952951442,0.0,233.04967689371895,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00017572161,7.4681407e-07,50151.027,0.50453395,-228.1473,0.0,0.0,1.0,-6.464746834430007e-13,2.1175093e-12,2.6850442e-16,0.0,0.0,0.0,7.48e-16,2.0139955276352842e-14,1.4710346811159116e-12,704.3182797299309,11.776905178293267,9.172844786196149e-14,0.00017572161,7.4681407e-07,50151.027,0.50453395,-228.1473,0.0,0.0,0.0,-6.464746834430007e-13,2.1175093e-12,2.6850442e-16,0.0,0.0,0.0,7.48e-16,2.0139955276352842e-14,1.4710346811159116e-12,704.3182797299309,11.776905178293267,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,0.4574569249336606,34610D,237.36125,31.884224,-1.3415315,212.30996168038368,70398.91759519924,0.4389467658784839,0.76980959449881,61.44680754612304,68.8272951706458,1404.0682714628429,0.0001510283297126,47596.28928252322,0.5637374811603557,0.5120567295510253,0.7168414301854031,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.48140865383379,2.6195711101250563,0.6874208046879192,34.41389220376503,16.567697628484805,31.498116679921253,1521876296412328.2,25.577078650742,794.122306985422,1286.15419297093,0.0151028329713,0.0219651145585555,0.384904797249405,34.4136475853229,17.5234595851212,17.520813445931253,14.966298553472368,0.6551682503991237,708757129332889.6,20.808847248753377,1322899671761126.0,0.0013410272170107,9.970547043461072e-06,3.0968000000000004,35.8,2023-02-06 01:06:00,0.0001510283297126,0.5637374640461769,0.0,6,475.96289282523225,0.0001510283297126,31.884224,-1.3415315,0.5637374640461769,0.00017264903,1.3748692e-09,0.698563232738655,640.6065122726919,12351.486589520808,-0.9280124073797156,-0.372549287677892,4.002733709676704,241.0020768369947,0.3963908736875724,0.9271062983956474,0.0,232.3413465328448,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00014784618,7.113734e-07,55600.516,0.55449283,-228.67317,0.0,0.0,1.0,-6.267707742585313e-13,1.8441104e-12,2.6577255e-16,0.0,0.0,0.0,7.48e-16,1.6839186801265505e-14,1.2173395588508365e-12,705.8138038962544,12.351486589520809,7.540217915827222e-14,0.00014784618,7.113734e-07,55600.516,0.55449283,-228.67317,0.0,0.0,0.0,-6.267707742585313e-13,1.8441104e-12,2.6577255e-16,0.0,0.0,0.0,7.48e-16,1.6839186801265505e-14,1.2173395588508365e-12,705.8138038962544,12.351486589520809,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,0.4599210198779294,34610D,234.98634,34.73412,-1.4227859,216.8626877230038,70337.47078765312,0.4407692070465594,0.621172827883896,49.874715639012535,54.5977520361256,714.4290629663275,0.0001414358958823,44739.09919617161,0.6448473193629678,0.4156226303251045,0.5988343960296317,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.189263409105642,2.276241204287786,0.7057010121419797,27.29896785302503,15.065030009521108,24.242830836485748,1502993730913072.5,21.6967778328719,769.006184149692,1230.09912570972,0.0141435895882,0.0203807081093641,0.310586413941948,27.2988760180628,15.2392356671477,15.237080597002834,14.952971206838791,0.57332655326853,507298708097020.5,19.85321568721537,1266342901583771.2,0.0012192722466566,6.562922553393066e-06,3.0968000000000004,35.8,2023-02-06 01:07:00,0.0001414358958823,0.6448473963822543,0.0,7,447.3909919617161,0.0001414358958823,34.73412,-1.4227859,0.6448473963822543,3.0107085e-06,2.2259557e-11,0.6632649798051896,644.0569920923755,12963.734149278178,-0.9351760437679651,-0.3541832395279273,3.774680860769255,240.3261551682056,0.4428958828681716,0.8195612739895342,0.0,231.97573617104604,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00013830604,5.7015836e-07,59779.73,0.63106304,-227.05049,0.0,0.0,1.0,-6.117657069833007e-13,1.6600056e-12,2.548872e-16,0.0,0.0,0.0,7.48e-16,1.4630005598835268e-14,1.0482398771008834e-12,707.9019536697439,12.963734149278178,4.7634878948177525e-14,0.00013830604,5.7015836e-07,59779.73,0.63106304,-227.05049,0.0,0.0,0.0521801607656777,-6.117657069833007e-13,1.6600056e-12,2.548872e-16,0.0,0.0,0.0,7.48e-16,1.4630005598835268e-14,1.0482398771008834e-12,707.9019536697439,12.963734149278178,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,0.4624626834716849,34610D,233.49033,35.64563,-1.4313227,219.3233767273466,70287.5960720141,0.4436435690128522,0.975019861788018,82.25011565649848,85.2901014165114,2474.8572255032595,0.000135446679356,43340.51238880016,0.7074914388172449,0.6854176304708206,0.997898903332011,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.35596575659694,2.900773162202081,0.7159912246003869,42.64505383580534,21.18499358126457,36.28235539,1450000000000000.0,29.5517801489239,834.749749334758,1390.02222270921,0.0135446679356,0.0251434838232017,0.487509930894009,42.6450507082557,19.3891162546118,19.3864904188602,14.976403336671517,0.8132488205513014,1028738878353628.0,19.40906973391959,1239804358202047.0,0.0015461652164553,1.5936620728542996e-05,3.0968000000000004,35.8,2023-02-06 01:08:00,0.000135446679356,0.7074908651499946,0.0,8,433.4051238880015,0.000135446679356,35.64563,-1.4313227,0.7074908651499946,3.6785054e-06,2.7196889e-11,0.6466474826550426,647.6160946287496,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.675553649217168,240.02101772445292,0.4787890506878016,0.7022840229980111,0.0,231.9015094899859,,,,,,,,,,,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.00013260859,5.619438e-07,62021.117,0.6849724,-224.15277,0.0,0.0,1.0,-6.038526291734063e-13,1.5726716e-12,2.5425399e-16,0.0,0.0,0.0,7.480000000000001e-16,1.3596900051410444e-14,9.68818927253638e-13,710.1105600503245,12.8771154182302,8.763210151508657e-14,0.00013260859,5.619438e-07,62021.117,0.6849724,-224.15277,0.0,0.0,0.3318975222399695,-6.038526291734063e-13,1.5726716e-12,2.5425399e-16,0.0,0.0,0.0,7.480000000000001e-16,1.3596900051410444e-14,9.68818927253638e-13,710.1105600503245,12.8771154182302,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,0.4650072339005209,34610D,228.32259,37.635315,-1.7574707,224.1421163734822,70205.3459563576,0.4518371322971201,0.869630118800294,73.44816127422625,75.8104238169206,2259.23234914914,8.032837263502274e-05,38763.39764052093,0.68126207112405,0.6120680106185521,0.921505249038586,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.732846265509004,2.658502489143655,0.7399565527189004,37.90558790576135,18.927893562071905,36.28235538999999,1450000000000000.0,26.7952422575168,820.439384104313,1364.63391150102,0.0080328372635,0.0244793981004571,0.434815059400147,37.9052119084603,17.7624898135068,17.761063096212016,14.976182405465002,0.7544526226974891,891956980429775.5,17.54706548824249,1131238678804578.5,0.0014499851344067,1.341964903502696e-05,3.0968000000000004,35.8,2023-02-06 01:09:00,8.032837263502273e-05,0.6812618859494384,0.0,9,387.6339764052093,8.032837263502273e-05,37.635315,-1.7574707,0.6812618859494384,0.0,0.0,0.5914464137961202,651.1792381050913,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.3363639107017806,238.91868370862528,0.4381274864328173,0.0,1.0,230.65505423565332,28.117254249628648,56.90731884583906,0.690580161530298,228.49754,8.278836653839181e-05,7378.186340577081,0.0,0.0041952420847121,0.002350369,113.81463769167812,,,,0.0,0 days 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,11709.442181463151,0.0,8.701835e-05,6.576751e-07,69468.44,0.712861,-223.16049,0.0,0.0,1.0,-5.76689030023485e-13,1.2952848e-12,2.6163328e-16,0.0,0.0,0.0,7.48e-16,1.0351378880793813e-14,7.185958149055689e-13,712.3087653370308,11.709442181463151,5.4366835676300256e-14,8.701835e-05,6.576751e-07,69468.44,0.712861,-223.16049,0.0,0.0,1.0,-5.76689030023485e-13,1.2952848e-12,2.6163328e-16,0.0,0.0,0.0,7.48e-16,1.0351378880793813e-14,7.185958149055689e-13,712.3087653370308,11.709442181463151,0.0
