Unnamed: 0.1,Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity_emissions,air_pressure,rhi_emissions,fuel_flow_per_engine,thrust_setting,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,nvpm_ei_n,ei_mass_meem,ei_number_meem,ei_nox,nvpm_ei_m,ei_co2,wingspan,time,issr_specific_humidity,issr_rhi,issr_issr,cocip_level,cocip_waypoint,cocip_specific_humidity,cocip_u_wind,cocip_v_wind,cocip_rhi,cocip_tau_cirrus,cocip_specific_cloud_ice_water_content,cocip_rho_air,cocip_sdr,cocip_segment_length,cocip_sin_a,cocip_cos_a,cocip_G,cocip_T_sat_liquid,cocip_rh,cocip_rh_critical_sac,cocip_sac,cocip_T_critical_sac,cocip_ef,cocip_persistent_1,cocip_cocip,cocip_contrail_age,accf_issr_specific_humidity,accf_issr_potential_vorticity,accf_issr_geopotential,accf_issr_relative_humidity,accf_issr_olr,accf_issr_pcfa,accf_issr_issr,accf_issr_sac,accf_issr_aCCF_CH4,accf_issr_aCCF_O3,accf_issr_aCCF_H2O,accf_issr_aCCF_nCont,accf_issr_aCCF_dCont,accf_issr_aCCF_Cont,accf_issr_aCCF_CO2,accf_issr_aCCF_merged,accf_issr_aCCF_NOx,accf_issr_Fin,accf_issr_segment_length_km,accf_issr_nox_impact,accf_sac_specific_humidity,accf_sac_potential_vorticity,accf_sac_geopotential,accf_sac_relative_humidity,accf_sac_olr,accf_sac_pcfa,accf_sac_issr,accf_sac_sac,accf_sac_aCCF_CH4,accf_sac_aCCF_O3,accf_sac_aCCF_H2O,accf_sac_aCCF_nCont,accf_sac_aCCF_dCont,accf_sac_aCCF_Cont,accf_sac_aCCF_CO2,accf_sac_aCCF_merged,accf_sac_aCCF_NOx,accf_sac_Fin,accf_sac_segment_length_km,accf_sac_accf_contrail_cocip
0,0,0,141.68274619362572,42.55723571777344,2674.6200000000003,885974.0,TVJ571,127.067777668,-0.8793646885641607,34610D,272.722,12.53833,9.746758,158.02605824280997,69434.13138689307,0.3637597924877486,0.905539826083326,67.31112626250714,90.142467736034,1741.0427156864605,0.0014002957284261,73058.20758235783,0.2787997825462194,0.5609260521875595,0.8257335842000121,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,19.24328210643776,2.85954603023112,0.4773378174917618,45.0713702825928,17.051497558272573,26.99129967096411,1589584731304908.0,28.964129791811,834.603439270969,1350.31047365849,0.140029572843,0.0234095788757099,0.452769913041663,45.071233868017,19.3412241820148,19.31417862019488,14.945453538639336,0.8126296472865719,837803510113020.0,25.930173911055583,1616173066621272.2,0.0015054208571774,1.2975156720051868e-05,3.0968000000000004,35.8,2023-11-05 15:00:00,0.0014002957284261,0.2787993276801984,0.0,730.5820758235783,0,0.0014002957284261,12.53833,9.746758,0.2787993276801984,0.5794388,5.559124e-10,0.9332355812016536,0.0,8181.733683333497,-0.4708636641506514,-0.8822059905615143,5.423794655493248,244.57609206060235,0.2776190551884719,inf,0.0,235.0019722254928,0.0,0.0,0.0,0 days,0.0013627431,6.1008257e-07,27252.115,0.26738295,-249.28773,0.0,0.0,1.0,-7.356474638062332e-13,6.110054e-12,2.579647e-16,0.0,0.0,0.0,7.48e-16,7.087324679735888e-14,5.374406314215228e-12,723.9521666282023,8.181733683333496,4.395894201258298e-13,0.0013627431,6.1008257e-07,27252.115,0.26738295,-249.28773,0.0,0.0,0.0,-7.356474638062332e-13,6.110054e-12,2.579647e-16,0.0,0.0,0.0,7.48e-16,7.087324679735888e-14,5.374406314215228e-12,723.9521666282023,8.181733683333496,0.0
1,1,1,141.59485556862572,42.52262878417969,3200.4,885974.0,TVJ571,149.703333204,-0.8792553460112074,34610D,270.3949,16.111332,9.532145,172.27068158948288,69366.82026063057,0.3807357983882285,0.99479857661418,75.15878868177344,95.0787355823584,2100.5410966922104,0.00125886605271,68339.94069049528,0.2846215421224276,0.6263232390147787,0.9627558480831874,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.17849299163588,3.001371928923364,0.5225999411874,47.539561340256014,19.68575299308113,35.58975245926548,1460405361555360.5,30.8536956199126,854.395229072664,1390.52479331091,0.125886605271,0.0245491791154787,0.49739928830709,47.5393677911792,20.2613409583814,20.23586671272958,14.957828184700952,0.8984615213256905,855539658591950.0,25.4739655278928,1564759880569833.5,0.0016260420788691,1.558780658986613e-05,3.0968000000000004,35.8,2023-11-05 15:01:00,0.00125886605271,0.2846215124199351,0.0,683.3994069049528,1,0.00125886605271,16.111332,9.532145,0.2846215124199351,0.6115805,3.650491e-08,0.8804780839212781,0.0,9587.418296793368,-0.4794178129158185,-0.877586782409018,5.211959597530233,244.10037839865203,0.2770881233127849,inf,0.0,234.56681432154477,0.0,0.0,0.0,0 days,0.0012289855,4.5781374e-07,32463.79,0.27757487,-249.70885,0.0,0.0,1.0000000000000002,-7.163719841421926e-13,5.588034e-12,2.4622732e-16,0.0,0.0,0.0,7.480000000000001e-16,6.4325830986409e-14,4.871661821462476e-12,724.6480735872897,9.587418296793368,4.728194339596448e-13,0.0012289855,4.5781374e-07,32463.79,0.27757487,-249.70885,0.0,0.0,0.0,-7.163719841421926e-13,5.588034e-12,2.4622732e-16,0.0,0.0,0.0,7.480000000000001e-16,6.4325830986409e-14,4.871661821462476e-12,724.6480735872897,9.587418296793368,0.0
2,2,2,141.49248296564275,42.48133850097656,3832.86,885974.0,TVJ571,164.107777636,-0.8792253578541901,34610D,266.71988,19.593914,8.688758,186.13641703511928,69291.6614719488,0.3962244853200297,1.077512530605996,75.0448683188879,99.1900686604974,2486.346993532168,0.002032741755689,62994.42896063308,0.5794473107276802,0.6253739026573991,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,20.85716812880656,3.086177982760132,0.5685397840488108,49.59539142546144,19.903426400923905,36.28235538999999,1450000000000000.0,32.3907907157482,871.965764942477,1430.82999088236,0.203274175569,0.0257203138852796,0.538756265302998,49.5950343302487,20.9467220231453,20.904229123735,14.966688623873225,0.9826896713753998,791608007098086.2,24.65314119205625,1505557301830671.0,0.0017336917993695,1.81534479957376e-05,3.0968000000000004,35.8,2023-11-05 15:02:00,0.002032741755689,0.5794473224224206,0.0,629.9442896063307,2,0.002032741755689,19.593914,8.688758,0.5794473224224206,0.6407169,2.289622e-07,0.822790379684956,0.0,9904.532106848184,-0.4803242924734069,-0.8770909725107887,4.930813177858874,243.4418032105232,0.5442732538190408,inf,0.0,235.46614706131243,0.0,0.0,0.0,0 days,0.001982296,2.840597e-07,38762.8,0.5694768,-249.18076,0.0,0.0,1.0000000000000002,-6.930377414220246e-13,4.9122525e-12,2.3283377000000004e-16,0.0,0.0,0.0,7.48e-16,5.583062765077064e-14,4.2192149151437926e-12,725.4773447947114,9.904532106848183,4.729085025225714e-13,0.001982296,2.840597e-07,38762.8,0.5694768,-249.18076,0.0,0.0,0.0,-6.930377414220246e-13,4.9122525e-12,2.3283377000000004e-16,0.0,0.0,0.0,7.48e-16,5.583062765077064e-14,4.2192149151437926e-12,725.4773447947114,9.904532106848183,0.0
3,3,3,141.3869268243963,42.43862915039063,4579.62,885974.0,TVJ571,165.136666524,-0.8792083441305645,34610D,262.63748,23.207321,5.2441816,198.9561845145953,69216.61660362991,0.4096717228234907,0.846858558593872,65.49539028125604,75.4093725173312,1297.4325226671097,0.0023721587870954,57124.037489563314,0.8773920422552043,0.545794919010467,0.9171009579378584,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.77164060802577,2.623588937774435,0.6124015714415454,37.70388169449777,17.42980145326164,34.06327136158863,1483338541627103.2,26.8865051661695,842.070612141417,1363.21416134318,0.23721587871,0.0236914645515408,0.423429279296936,37.7046862586656,17.8726510712652,17.83035463883167,14.951387250605178,0.8441900373917313,757832364527170.4,23.29934913121537,1439364226025176.0,0.0014723317377596,1.189572209604986e-05,3.0968000000000004,35.8,2023-11-05 15:03:00,0.0023721587870954,0.8773927552273677,0.0,571.2403748956332,3,0.0023721587870954,23.207321,5.2441816,0.8773927552273677,0.63825244,1.9132538e-07,0.7577128310179633,0.0,10425.44396869136,-0.4806838213428572,-0.8768939866935046,4.574505086553751,242.5575689754359,0.7918640227407997,inf,0.0,236.7647835092688,0.0,0.0,0.0,0 days,0.002332641,1.796706e-07,46219.88,0.8356012,-243.27415,0.0,0.0,1.0,-6.653399086421294e-13,4.2209595e-12,2.247871e-16,0.0,0.0,0.0,7.479999999999999e-16,4.7195844519344167e-14,3.555619801029716e-12,726.3338239550211,10.42544396869136,2.6600090937916725e-13,0.002332641,1.796706e-07,46219.88,0.8356012,-243.27415,0.0,0.0,0.0,-6.653399086421294e-13,4.2209595e-12,2.247871e-16,0.0,0.0,0.0,7.479999999999999e-16,4.7195844519344167e-14,3.555619801029716e-12,726.3338239550211,10.42544396869136,0.0
4,4,4,141.27568444540336,42.39354020458157,4968.240000000001,885974.0,TVJ571,186.743333172,-0.8792179724344413,34610D,260.64902,24.484037,3.6593487,210.79242662178711,69151.12121334866,0.4199797697959088,0.803569021358466,62.66126839860296,69.2360774312832,1299.579847380258,0.0021065925692247,54249.21360051817,0.8846592609663693,0.5221772366550247,0.9064813521647096,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.116943776201616,2.531483139863458,0.6513046689857755,34.61762229701984,17.04280592115333,33.19429818545084,1496393612113210.8,25.7912384904976,839.526697868452,1352.80003455041,0.210659256922,0.0233428091754971,0.401784510679233,34.6180387156416,17.212346108753,17.176162931553595,14.949010016351854,0.8335079212371592,697802373675890.4,23.37658477660328,1402162758736418.0,0.0014518258393786,1.0905304583535635e-05,3.0968000000000004,35.8,2023-11-05 15:04:00,0.0021065925692247,0.8846601185449866,0.0,542.4921360051817,4,0.0021065925692247,24.484037,3.6593487,0.8846601185449866,0.6362994,1.6238769e-08,0.725069771261694,0.0,11784.876773848331,-0.4816600386620713,-0.8763581500482848,4.42048399288897,242.1563082057073,0.7829939017524015,inf,0.0,236.28694930041092,0.0,0.0,0.0,0 days,0.0020604243,1.680825e-07,50087.094,0.84013855,-238.68703,0.0,0.0,1.0,-6.510450354532314e-13,3.906428e-12,2.2389386e-16,0.0,0.0,0.0,7.48e-16,4.3291871464745085e-14,3.2553828926322173e-12,727.2380227292008,11.784876773848332,2.278720370462648e-13,0.0020604243,1.680825e-07,50087.094,0.84013855,-238.68703,0.0,0.0,0.0,-6.510450354532314e-13,3.906428e-12,2.2389386e-16,0.0,0.0,0.0,7.48e-16,4.3291871464745085e-14,3.2553828926322173e-12,727.2380227292008,11.784876773848332,0.0
5,5,5,141.15009654651988,42.34245300292969,5356.860000000001,885974.0,TVJ571,201.662222048,-0.8793035768103766,34610D,258.3541,26.052368,3.7662323,217.10703658688405,69088.45994495005,0.4266359680224338,0.784877205219014,61.48579890886036,66.6992859501674,1937.8311910322925,0.0017152693517287,51492.67974234382,0.8431433820538481,0.5123816575738364,0.9115394495362312,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,16.75917314231208,2.4851294752954884,0.6737882295364982,33.34970453567201,17.07655776502692,33.95716429777701,1484932647446676.8,25.2300277149694,839.341508545122,1351.14111274887,0.171526935173,0.0233010792368434,0.392438602609507,33.3496429750837,16.8420783698717,16.813239136078302,14.95231637843268,0.8327345298606585,674883980160797.9,22.702590987533704,1368966837925193.8,0.0014517448457176,1.054371016128595e-05,3.0968000000000004,35.8,2023-11-05 15:05:00,0.0017152693517287,0.8431436684339894,0.0,514.9267974234381,5,0.0017152693517287,26.052368,3.7662323,0.8431436684339894,0.6275451,6.4810997e-09,0.6943406383472033,0.0,11776.905178293267,-0.6955962148912547,-0.7184329515194577,4.243148351059662,241.67866944175864,0.7295994353934484,inf,0.0,235.2912821399312,0.0,0.0,0.0,0 days,0.0016761479,1.0373623e-07,54016.082,0.79870117,-235.39363,0.0,0.0,1.0,-6.365149641516329e-13,3.5907022e-12,2.1893384000000001e-16,0.0,0.0,0.0,7.48e-16,3.9371367291290575e-14,2.954187189089433e-12,728.2625085378846,11.776905178293267,2.0196739778927402e-13,0.0016761479,1.0373623e-07,54016.082,0.79870117,-235.39363,0.0,0.0,0.0,-6.365149641516329e-13,3.5907022e-12,2.1893384000000001e-16,0.0,0.0,0.0,7.48e-16,3.9371367291290575e-14,2.954187189089433e-12,728.2625085378846,11.776905178293267,0.0
6,6,6,141.04739876680597,42.268826759467686,5935.9800000000005,885974.0,TVJ571,202.176666492,-0.8794985112017256,34610D,254.55566,26.781696,1.9171643,212.664689683718,69026.97414604119,0.426646669380342,0.747890359750504,58.671518831654495,64.88537360737,1504.4013814510283,0.0012765803718822,47596.28928252322,0.8274221222402123,0.4889293235971208,0.8874090864784713,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,15.991529589684138,2.378314965662056,0.6649074606436314,32.44299033377991,16.42466384555124,34.67139867968918,1474202304490744.0,24.0193625360409,833.44205191967,1346.20318854371,0.127658037188,0.0232837731214348,0.373945179875252,32.442686803685,16.0603342905365,16.039858122489555,14.955189225431154,0.8077083171489576,644902990939782.0,20.06888160467024,1284373479790314.8,0.0014207640965233,9.96545028474332e-06,3.0968000000000004,35.8,2023-11-05 15:06:00,0.0012765803718822,0.8274222060503744,0.0,475.96289282523225,6,0.0012765803718822,26.781696,1.9171643,0.8274222060503744,0.57796633,2.58811e-11,0.6513775499114343,0.0,12351.486589520808,-0.9280124073797156,-0.372549287677892,3.920665600699805,240.76285891172765,0.6896901629534591,inf,0.0,234.07466743162504,0.0,0.0,0.0,0 days,0.0012450893,3.30407e-07,59860.47,0.7896693,-234.75127,0.0,0.0,1.0,-6.148413542656085e-13,3.1407433e-12,2.3640637000000004e-16,0.0,0.0,0.0,7.48e-16,3.3821132770443016e-14,2.5259020304873893e-12,729.7389848202912,12.351486589520809,1.6103773789177028e-13,0.0012450893,3.30407e-07,59860.47,0.7896693,-234.75127,0.0,0.0,0.0,-6.148413542656085e-13,3.1407433e-12,2.3640637000000004e-16,0.0,0.0,0.0,7.48e-16,3.3821132770443016e-14,2.5259020304873893e-12,729.7389848202912,12.351486589520809,0.0
7,7,7,140.99160627885297,42.165802001953125,6385.56,885974.0,TVJ571,208.34999982,-0.8797893391967951,34610D,251.54533,26.696058,-0.38950926,213.93654744359463,68968.30262720953,0.426419158703377,0.60664503498184,48.00967417158062,52.2904374638066,765.1539395210477,0.0009855005201757,44739.09919617161,0.8017632030803838,0.4000806180965052,0.7399531788011416,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,13.929971056266115,2.075767664717933,0.6728744795870409,26.14493701276108,14.562128742893975,26.140292225721254,1592554392274314.5,20.4266186744273,806.403911117483,1288.53024562997,0.0985500520176,0.0216783190609951,0.30332251749092,26.1452187319033,13.9919758832536,13.978200359528165,14.948585187642148,0.7000036434995917,481763113301946.1,18.81122708083954,1212063297354687.0,0.001274212564678,7.010034864127498e-06,3.0968000000000004,35.8,2023-11-05 15:07:00,0.0009855005201757,0.8017642104664955,0.0,447.3909919617161,7,0.0009855005201757,26.696058,-0.38950926,0.8017642104664955,0.5495666,8.7313573e-10,0.6196028765654102,0.0,12963.734149278178,-0.9351760437679651,-0.3541832395279273,3.68292362704489,240.0439534015908,0.6487292217881384,inf,0.0,233.0692000612608,0.0,0.0,0.0,0 days,0.0009618716,5.673838e-07,64333.133,0.7731712,-234.91907,0.0,0.0,1.0,-5.983418568680425e-13,2.8161434e-12,2.5470768e-16,0.0,0.0,0.0,7.48e-16,2.983412734221641e-14,2.2178015121923023e-12,731.8003276270877,12.963734149278178,1.0286093231752053e-13,0.0009618716,5.673838e-07,64333.133,0.7731712,-234.91907,0.0,0.0,0.0,-5.983418568680425e-13,2.8161434e-12,2.5470768e-16,0.0,0.0,0.0,7.48e-16,2.983412734221641e-14,2.2178015121923023e-12,731.8003276270877,12.963734149278178,0.0
8,8,8,140.93600250953853,42.056781316207626,6614.160000000001,885974.0,TVJ571,221.725555364,-0.8801122389257483,34610D,250.19347,27.472477,-1.6974546,215.25703470112268,68920.29295303795,0.4287954461047169,0.980036061685202,64.05048211528579,84.4249416139468,2654.1552180761573,0.0008079654282191,43340.51238880016,0.7267391229478575,0.5337540176273816,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,18.10468807348953,2.701075248971358,0.6788542915282544,42.2124751533595,18.70863534143045,36.28235538999999,1450000000000000.0,28.4627379026968,879.4995384668,1464.06437299346,0.0807965428219,0.0270003320917351,0.490018030842601,42.2124708069734,18.1485927349981,18.133941137481653,14.97593284272097,1.0,681449999225225.0,18.24733838459569,1179273188116478.5,0.0017495140877262,1.6333541024740102e-05,3.0968000000000004,35.8,2023-11-05 15:08:00,0.0008079654282191,0.7267390451316676,0.0,433.4051238880015,8,0.0008079654282191,27.472477,-1.6974546,0.7267390451316676,0.5337391,9.780504e-09,0.6034767179127224,0.0,12877.115418230198,-0.9398759916806336,-0.3415159150937853,3.582086269281336,239.726555598751,0.5802185439297248,inf,0.0,232.27321375443935,0.0,0.0,0.0,0 days,0.00079322036,4.5827835e-07,66727.73,0.6858881,-234.37718,0.0,0.0,1.0,-5.896214509887099e-13,2.6921516e-12,2.4688027000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,2.8327772399819125e-14,2.102530163341732e-12,733.9805306134251,12.8771154182302,2.1629824004084438e-13,0.00079322036,4.5827835e-07,66727.73,0.6858881,-234.37718,0.0,0.0,0.0,-5.896214509887099e-13,2.6921516e-12,2.4688027000000003e-16,0.0,0.0,0.0,7.480000000000001e-16,2.8327772399819125e-14,2.102530163341732e-12,733.9805306134251,12.8771154182302,0.0
9,9,9,140.88292902166194,41.94813537597656,7406.64,885974.0,TVJ571,205.7777776,-0.8804126765129959,34610D,245.0768,30.706104,-3.970817,218.57602747118705,68856.24247092266,0.4277975212163468,1.00051485401861,61.66587725517695,84.6827937717442,2421.178161403258,0.0004237460572303,38763.39764052093,0.5696118227493635,0.5138823104598079,1.0,climb,15,GTF2035_wi,20,43245.0,1.263891304347826,3.0968000000000004,2.5659200000000006,17.56409234122738,2.627171136305682,0.6964799832291532,42.34096395003109,18.420372571802773,36.28235539,1450000000000000.0,28.0429706851482,892.818497166648,1505.26463960517,0.042374605723,0.0284275389218886,0.500257427009305,42.3413968858721,17.5976340542134,17.590180284671803,14.97781639079112,1.0,649665159903021.8,16.281980657933786,1065250366412397.8,0.0018382150109298,1.5571696461493736e-05,3.0968000000000004,35.8,2023-11-05 15:09:00,0.0004237460572303,0.5696114463607509,0.0,387.6339764052093,9,0.0004237460572303,30.706104,-3.970817,0.5696114463607509,0.5410425,8.442445e-08,0.5510133029488793,0.0,11709.442181463151,-0.9150288307110056,-0.4033884467453792,3.1971418824484066,238.4372818587473,0.4323167535791412,inf,0.0,230.1803187117069,0.0,0.0,0.0,0 days,0.00040385898,2.7877587e-07,74705.59,0.51341814,-235.9365,0.0,0.0,1.0,-5.597826126745333e-13,2.2674215e-12,2.3404865e-16,0.0,0.0,0.0,7.48e-16,2.3181355500226814e-14,1.7076389887722718e-12,736.1503359180955,11.709442181463151,1.884374251859469e-13,0.00040385898,2.7877587e-07,74705.59,0.51341814,-235.9365,0.0,0.0,0.0,-5.597826126745333e-13,2.2674215e-12,2.3404865e-16,0.0,0.0,0.0,7.48e-16,2.3181355500226814e-14,1.7076389887722718e-12,736.1503359180955,11.709442181463151,0.0
